Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7361.0,6014.0,6654.0,6707.0,7188.0,7188.0
Total Revenues,7361.0,6014.0,6654.0,6707.0,7188.0,7188.0
Cost Of Revenues,4899.0,3794.0,4287.0,4336.0,4601.0,4601.0
Gross Profit,2462.0,2220.0,2367.0,2371.0,2587.0,2587.0
Selling General & Admin Expenses,1407.0,1217.0,1264.0,1295.0,1327.0,1327.0
Total Operating Expenses,1407.0,1217.0,1264.0,1295.0,1327.0,1327.0
Operating Income,1055.0,1003.0,1103.0,1076.0,1260.0,1260.0
Interest Expense,(229.0),(279.0),(156.0),(159.0),(144.0),(144.0)
Interest And Investment Income,4.0,4.0,5.0,3.0,13.0,13.0
Net Interest Expenses,(225.0),(275.0),(151.0),(156.0),(131.0),(131.0)
Currency Exchange Gains (Loss),(3.0),,(8.0),2.0,(10.0),(10.0)
Other Non Operating Income (Expenses),(5.0),1.0,(1.0),,9.0,9.0
"EBT, Excl. Unusual Items",824.0,730.0,946.0,923.0,1131.0,1131.0
"EBT, Incl. Unusual Items",832.0,718.0,907.0,914.0,1131.0,1131.0
Income Tax Expense,296.0,245.0,221.0,230.0,269.0,269.0
Earnings From Continuing Operations,536.0,473.0,686.0,684.0,862.0,862.0
Earnings Of Discontinued Operations,,107.0,98.0,296.0,414.0,414.0
Net Income to Company,536.0,580.0,784.0,980.0,1276.0,1276.0
Minority Interest,(43.0),(47.0),(50.0),(45.0),(52.0),(52.0)
Net Income,493.0,533.0,734.0,935.0,1224.0,1224.0
Preferred Dividend and Other Adjustments,6.0,5.0,7.0,6.0,9.0,9.0
NI to Common Incl Extra Items,487.0,528.0,727.0,929.0,1215.0,1215.0
NI to Common Excl. Extra Items,487.0,421.0,629.0,633.0,801.0,801.0
Revenue Per Share,$22.58,$19.15,$21.82,$23.37,$27.23,$27.23
Basic EPS,$1.49,$1.68,$2.38,$3.24,$4.60,$4.60
Basic EPS - Continuing Ops,$1.49,$1.34,$2.06,$2.21,$3.03,$3.03
Basic Weighted Average Shares Outst.,326.0,314.0,305.0,287.0,264.0,264.0
Diluted EPS,$1.48,$1.67,$2.37,$3.23,$4.60,$4.60
Diluted EPS - Continuing Ops,$1.48,$1.33,$2.05,$2.20,$3.03,$3.03
Diluted Weighted Average Shares Outst.,330.0,318.0,307.0,288.0,264.0,264.0
Normalized Basic EPS,$1.45,$1.30,$1.77,$1.85,$2.48,$2.48
Normalized Diluted EPS,$1.43,$1.29,$1.76,$1.85,$2.48,$2.48
Dividend Per Share,$0.39,$0.41,$0.45,$0.51,$0.55,$0.55
Payout Ratio,25.96%,24.20%,18.26%,15.40%,11.85%,11.85%
EBITDA,1189.0,1130.0,1223.0,1206.0,1393.0,1393.0
EBITA,1065.0,1014.0,1103.0,1076.0,1284.0,1284.0
EBIT,1055.0,1003.0,1103.0,1076.0,1260.0,1260.0
EBITDAR,1252.0,1179.0,1286.0,1264.0,1450.0,1450.0
Effective Tax Rate,35.6%,34.1%,24.4%,25.2%,23.8%,23.8%
Normalized Net Income,472.0,409.3,541.3,531.9,654.9,654.9
Interest on Long-Term Debt,189.0,172.0,156.0,157.0,138.0,138.0
Foreign Earnings,208.0,1140.0,1171.0,1188.0,1389.0,1389.0
Foreign Sales,1523.0,1586.0,6417.0,6463.0,6914.0,6914.0
