Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,4.01%,4.95%,2.86%,7.81%,5.64%
Total Revenues,4.01%,4.95%,2.86%,7.81%,5.64%
Cost Of Revenues,4.36%,5.29%,2.73%,8.13%,5.81%
Gross Profit,(1.49%),(0.77%),5.10%,2.29%,2.52%
Selling General & Admin Expenses,0.92%,9.28%,3.26%,8.13%,(7.35%)
R&D Expenses,(13.01%),(63.34%),(43.20%),35.21%,35.21%
Other Operating Expense/(Income),,,50.00%,,
Total Operating Expenses,0.22%,6.28%,2.63%,8.09%,(1.21%)
Operating Income,(5.12%),(16.54%),12.11%,(12.83%),14.91%
Interest Expense,-12.75%,-8.12%,-6.71%,-5.68%,-9.45%
Interest And Investment Income,61.11%,65.52%,(18.75%),25.64%,25.64%
Net Interest Expenses,-16.72%,-15.77%,-4.26%,-11.11%,-15.81%
Other Non Operating Income (Expenses),(3.45%),(75.00%),528.57%,45.45%,12.82%
"EBT, Excl. Unusual Items",(3.49%),(24.49%),18.84%,(44.55%),200.35%
"EBT, Incl. Unusual Items",112.03%,(96.53%),155.23%,87.54%,(604.64%)
Income Tax Expense,77.75%,,,(94.94%),
Earnings From Continuing Operations,125.32%,(94.47%),(13.01%),343.31%,(476.81%)
Earnings Of Discontinued Operations,(287.50%),,(80.00%),,
Net Income to Company,123.07%,(94.24%),(14.14%),339.22%,(466.24%)
Minority Interest,(59.62%),(177.11%),-3.91%,-0.45%,-2.79%
Net Income,124.53%,(98.68%),(49.25%),"2,547.06%",(356.27%)
NI to Common Incl Extra Items,124.53%,(98.68%),(49.25%),"2,547.06%",(356.27%)
NI to Common Excl. Extra Items,126.81%,(98.81%),(46.77%),"2,645.45%",(362.87%)
Revenue Per Share,8.24%,11.51%,9.16%,16.74%,18.63%
Basic EPS,133.62%,(98.60%),(45.79%),"2,824.93%",(412.41%)
Basic EPS - Continuing Ops,135.97%,(98.73%),(43.88%),"2,844.43%",(419.83%)
Basic Weighted Average Shares Outst.,(3.91%),(5.88%),(5.77%),(7.65%),(10.96%)
Diluted EPS,134.27%,(98.58%),(45.79%),"2,815.90%",(411.74%)
Diluted EPS - Continuing Ops,136.59%,(98.72%),(43.88%),"2,835.29%",(419.14%)
Diluted Weighted Average Shares Outst.,(4.29%),(6.28%),(5.74%),(7.61%),(10.96%)
Normalized Basic EPS,(1.23%),(28.87%),30.25%,(46.54%),337.16%
Normalized Diluted EPS,(0.79%),(28.56%),30.42%,(46.51%),337.16%
Dividend Per Share,3.70%,16.07%,16.15%,7.28%,3.75%
Payout Ratio,(53.84%),"7,736.57%",119.63%,(96.20%),-79.33%
EBITDA,(3.58%),(12.18%),9.07%,(10.58%),10.37%
EBITA,(4.82%),(12.63%),9.45%,(11.54%),7.76%
EBIT,(5.12%),(16.54%),12.11%,(12.83%),14.91%
EBITDAR,(2.45%),(9.06%),8.09%,(9.22%),
Effective Tax Rate,(16.17%),,,(97.30%),
Normalized Net Income,(5.08%),(33.05%),22.84%,(50.61%),289.26%
Interest on Long-Term Debt,,(8.12%),(6.71%),(5.68%),
R&D Expense From Footnotes,(13.01%),(63.34%),(43.20%),35.21%,35.21%
Foreign Sales,4.52%,12.63%,(1.02%),0.84%,
