Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3604.2,4204.0,4443.0,4829.0,5371.0,5371.0
Total Revenues,3604.2,4204.0,4443.0,4829.0,5371.0,5371.0
Cost Of Revenues,1019.6,1216.0,1246.0,1387.0,1475.0,1475.0
Gross Profit,2584.6,2988.0,3197.0,3442.0,3896.0,3896.0
Selling General & Admin Expenses,943.4,998.0,1089.0,1171.0,1235.0,1235.0
Depreciation & Amortization,126.7,158.0,192.0,200.0,220.0,220.0
Total Operating Expenses,1070.1,1156.0,1281.0,1371.0,1455.0,1455.0
Operating Income,1514.5,1832.0,1916.0,2071.0,2441.0,2441.0
Interest Expense,(141.1),(189.0),(196.0),(175.0),(163.0),(163.0)
Interest And Investment Income,10.9,16.0,15.0,17.0,11.0,11.0
Net Interest Expenses,(130.2),(173.0),(181.0),(158.0),(152.0),(152.0)
Currency Exchange Gains (Loss),13.5,(17.0),(11.0),(18.0),2.0,2.0
Other Non Operating Income (Expenses),(13.6),93.0,(9.0),(21.0),15.0,15.0
"EBT, Excl. Unusual Items",1395.6,1748.0,1729.0,1887.0,2312.0,2312.0
"EBT, Incl. Unusual Items",558.0,1787.0,1672.0,1810.0,2229.0,2229.0
Income Tax Expense,282.2,779.0,352.0,381.0,452.0,452.0
Earnings From Continuing Operations,275.8,1008.0,1320.0,1429.0,1777.0,1777.0
Net Income to Company,275.8,1008.0,1320.0,1429.0,1777.0,1777.0
Minority Interest,(9.2),(7.0),(10.0),(7.0),1.0,1.0
Net Income,266.6,1001.0,1310.0,1422.0,1778.0,1778.0
NI to Common Incl Extra Items,266.6,1001.0,1310.0,1422.0,1778.0,1778.0
NI to Common Excl. Extra Items,266.6,1001.0,1310.0,1422.0,1778.0,1778.0
Revenue Per Share,$18.70,$22.00,$23.19,$25.51,$28.63,$28.63
Basic EPS,$1.38,$5.24,$6.84,$7.51,$9.48,$9.48
Basic EPS - Continuing Ops,$1.38,$5.24,$6.84,$7.51,$9.48,$9.48
Basic Weighted Average Shares Outst.,192.7,191.1,191.6,189.3,187.6,187.6
Diluted EPS,$1.36,$5.15,$6.74,$7.42,$9.39,$9.39
Diluted EPS - Continuing Ops,$1.36,$5.15,$6.74,$7.42,$9.39,$9.39
Diluted Weighted Average Shares Outst.,195.4,194.2,194.4,191.6,189.3,189.3
Normalized Basic EPS,$4.48,$5.68,$5.59,$6.19,$7.71,$7.71
Normalized Diluted EPS,$4.42,$5.59,$5.51,$6.12,$7.64,$7.64
Dividend Per Share,$1.48,$1.52,$1.76,$2.00,$2.24,$2.24
Payout Ratio,106.94%,28.97%,25.73%,26.58%,23.62%,23.62%
EBITDA,1641.2,1990.0,2108.0,2271.0,2661.0,2661.0
EBITA,1548.7,1893.0,2018.0,2174.0,2565.0,2565.0
EBIT,1514.5,1832.0,1916.0,2071.0,2441.0,2441.0
EBITDAR,1736.6,,,2383.0,2771.0,2771.0
Effective Tax Rate,50.6%,43.6%,21.1%,21.0%,20.3%,20.3%
Normalized Net Income,863.1,1085.5,1070.6,1172.4,1446.0,1446.0
Interest Capitalized,0.8,1.0,1.0,1.0,,
Interest on Long-Term Debt,141.9,190.0,197.0,176.0,163.0,163.0
R&D Expense From Footnotes,40.1,,,,,
Foreign Sales,1498.7,1856.0,2113.0,2285.0,2416.0,2416.0
