Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,25923.0,25896.0,25938.0,25868.0,26581.0,27112.0
Total Revenues,25923.0,25896.0,25938.0,25868.0,26581.0,27112.0
Cost Of Revenues,15819.0,15862.0,15586.0,15531.0,16135.0,16151.0
Gross Profit,10104.0,10034.0,10352.0,10337.0,10446.0,10961.0
Selling General & Admin Expenses,6532.0,6106.0,6411.0,6076.0,5956.0,5972.0
Total Operating Expenses,6708.0,6284.0,6587.0,6250.0,6150.0,6161.0
Operating Income,3396.0,3750.0,3765.0,4087.0,4296.0,4800.0
Interest Expense,(612.0),(396.0),(446.0),(583.0),(515.0),(543.0)
Net Interest Expenses,(612.0),(396.0),(446.0),(583.0),(515.0),(543.0)
Currency Exchange Gains (Loss),32.0,11.0,94.0,97.0,(74.0),(74.0)
Other Non Operating Income (Expenses),(108.0),(57.0),(18.0),42.0,177.0,177.0
"EBT, Excl. Unusual Items",2970.0,3652.0,3879.0,4144.0,4305.0,4738.0
"EBT, Incl. Unusual Items",1759.0,3508.0,4104.0,3946.0,4793.0,5082.0
Income Tax Expense,114.0,666.0,773.0,2.0,1224.0,1288.0
Earnings From Continuing Operations,1645.0,2842.0,3331.0,3944.0,3569.0,3794.0
Net Income to Company,1645.0,2842.0,3331.0,3944.0,3569.0,3794.0
Minority Interest,(10.0),(14.0),(14.0),(15.0),(14.0),(14.0)
Net Income,1635.0,2828.0,3317.0,3929.0,3555.0,3780.0
NI to Common Incl Extra Items,1635.0,2828.0,3317.0,3929.0,3555.0,3780.0
NI to Common Excl. Extra Items,1635.0,2828.0,3317.0,3929.0,3555.0,3780.0
Revenue Per Share,$16.66,$17.12,$17.62,$17.90,$18.58,$19.02
Basic EPS,$1.05,$1.87,$2.25,$2.72,$2.48,$2.65
Basic EPS - Continuing Ops,$1.05,$1.87,$2.25,$2.72,$2.48,$2.65
Basic Weighted Average Shares Outst.,1556.0,1513.0,1472.0,1445.0,1431.0,1425.5
Diluted EPS,$1.04,$1.85,$2.23,$2.69,$2.47,$2.64
Diluted EPS - Continuing Ops,$1.04,$1.85,$2.23,$2.69,$2.47,$2.64
Diluted Weighted Average Shares Outst.,1573.0,1531.0,1486.0,1458.0,1441.0,1435.3
Normalized Basic EPS,$1.19,$1.50,$1.64,$1.78,$1.87,$2.07
Normalized Diluted EPS,$1.17,$1.48,$1.62,$1.77,$1.86,$2.05
Dividend Per Share,$0.72,$0.82,$0.96,$1.09,$1.20,$0.92
Payout Ratio,66.91%,42.36%,40.97%,39.25%,47.20%,45.56%
EBITDA,4219.0,4566.0,4576.0,5134.0,5412.0,5944.0
EBITA,3572.0,3928.0,3941.0,4261.0,4490.0,4994.0
EBIT,3396.0,3750.0,3765.0,4087.0,4296.0,4800.0
EBITDAR,4536.0,4850.0,4836.0,5863.0,6109.0,
Effective Tax Rate,6.5%,19.0%,18.8%,0.1%,25.5%,25.3%
Normalized Net Income,1846.3,2268.5,2410.4,2575.0,2676.6,2947.3
Interest on Long-Term Debt,,,,4.0,7.0,
R&D Expense From Footnotes,376.0,366.0,362.0,351.0,332.0,332.0
Foreign Sales,19594.0,19621.0,19537.0,19243.0,19451.0,
