Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(0.10%),0.16%,(0.27%),2.76%,4.13%
Total Revenues,(0.10%),0.16%,(0.27%),2.76%,4.13%
Cost Of Revenues,0.27%,(1.74%),(0.35%),3.89%,1.95%
Gross Profit,(0.69%),3.17%,(0.14%),1.05%,7.51%
Selling General & Admin Expenses,(6.52%),5.00%,(5.23%),(1.97%),0.62%
Total Operating Expenses,(6.32%),4.82%,(5.12%),(1.60%),0.87%
Operating Income,10.42%,0.40%,8.55%,5.11%,17.45%
Interest Expense,-35.29%,(12.63%),(30.72%),-11.66%,-20.73%
Net Interest Expenses,-35.29%,(12.63%),(30.72%),-11.66%,-20.73%
Currency Exchange Gains (Loss),(65.63%),754.55%,3.19%,,(105.56%)
Other Non Operating Income (Expenses),-47.22%,-68.42%,,321.43%,14.19%
"EBT, Excl. Unusual Items",22.96%,6.22%,6.83%,3.89%,20.93%
"EBT, Incl. Unusual Items",99.43%,16.99%,(3.85%),21.46%,40.54%
Income Tax Expense,484.21%,16.07%,(99.74%),"61,100.00%",
Earnings From Continuing Operations,72.77%,17.21%,18.40%,(9.51%),3.80%
Net Income to Company,72.77%,17.21%,18.40%,(9.51%),3.80%
Minority Interest,(40.00%),0.00%,(7.14%),-6.67%,-12.50%
Net Income,72.97%,17.29%,18.45%,(9.52%),3.87%
NI to Common Incl Extra Items,72.97%,17.29%,18.45%,(9.52%),3.87%
NI to Common Excl. Extra Items,72.97%,17.29%,18.45%,(9.52%),3.87%
Revenue Per Share,2.74%,2.93%,1.60%,3.77%,5.26%
Basic EPS,78.01%,20.50%,20.85%,(8.67%),5.00%
Basic EPS - Continuing Ops,78.01%,20.50%,20.85%,(8.67%),5.00%
Basic Weighted Average Shares Outst.,(2.76%),(2.71%),(1.83%),(0.97%),(1.08%)
Diluted EPS,77.88%,20.54%,20.63%,(8.18%),5.57%
Diluted EPS - Continuing Ops,77.88%,20.54%,20.63%,(8.18%),5.57%
Diluted Weighted Average Shares Outst.,(2.67%),(2.94%),(1.88%),(1.17%),(1.27%)
Normalized Basic EPS,25.99%,9.17%,8.66%,5.08%,22.47%
Normalized Diluted EPS,26.64%,9.60%,9.02%,4.94%,22.71%
Dividend Per Share,13.89%,17.07%,13.54%,10.09%,(17.94%)
Payout Ratio,(36.69%),(3.28%),(4.21%),20.26%,5.59%
EBITDA,8.22%,0.22%,12.19%,5.41%,15.82%
EBITA,9.97%,0.33%,8.12%,5.37%,17.23%
EBIT,10.42%,0.40%,8.55%,5.11%,17.45%
EBITDAR,6.92%,(0.29%),21.24%,4.20%,
Effective Tax Rate,192.98%,(0.82%),(99.73%),"50,974.40%",
Normalized Net Income,22.87%,6.25%,6.83%,3.95%,21.15%
Interest on Long-Term Debt,,,,75.00%,
R&D Expense From Footnotes,(2.66%),(1.09%),(3.04%),(5.41%),(5.41%)
Foreign Sales,0.14%,(0.43%),(1.50%),1.08%,
