Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,14.47%,9.06%,9.92%,(60.55%),0.00%
Total Revenues,14.47%,9.06%,9.92%,(60.55%),0.00%
Cost Of Revenues,13.02%,12.13%,10.37%,(55.24%),0.00%
Gross Profit,16.36%,5.21%,9.33%,(67.72%),0.00%
Selling General & Admin Expenses,17.57%,9.83%,11.77%,1.12%,0.00%
Depreciation & Amortization,16.95%,18.58%,10.75%,(7.21%),0.00%
Other Operating Expense/(Income),,-100.00%,,,
Total Operating Expenses,12.96%,16.01%,6.81%,(1.97%),0.00%
Operating Income,23.49%,(15.55%),15.97%,,0.00%
Interest Expense,-3.75%,(15.07%),(10.19%),-20.23%,0.00%
Net Interest Expenses,-3.75%,(15.07%),(10.19%),-20.23%,0.00%
Currency Exchange Gains (Loss),,,,(36.36%),0.00%
Other Non Operating Income (Expenses),(254.69%),-26.93%,-28.30%,,0.00%
"EBT, Excl. Unusual Items",(10.56%),(35.96%),20.85%,,0.00%
"EBT, Incl. Unusual Items",(23.60%),(34.01%),349.01%,,0.00%
Income Tax Expense,,,"1,161.86%",,0.00%
Earnings From Continuing Operations,68.97%,(72.04%),279.24%,,0.00%
Net Income to Company,68.97%,(72.04%),279.24%,,0.00%
Minority Interest,(0.51%),-13.96%,(41.08%),,0.00%
Net Income,77.39%,(76.09%),339.00%,,0.00%
Preferred Dividend and Other Adjustments,"65,482.14%",16.14%,(87.28%),,0.00%
NI to Common Incl Extra Items,75.73%,(76.96%),359.41%,,0.00%
NI to Common Excl. Extra Items,75.73%,(76.96%),359.41%,,0.00%
Revenue Per Share,13.68%,14.65%,14.14%,(58.16%),0.00%
Basic EPS,74.18%,(75.79%),376.11%,,0.00%
Basic EPS - Continuing Ops,74.18%,(75.79%),376.11%,,0.00%
Basic Weighted Average Shares Outst.,0.73%,(4.89%),(3.69%),(5.73%),0.00%
Diluted EPS,73.98%,(75.74%),378.77%,,0.00%
Diluted EPS - Continuing Ops,73.98%,(75.74%),378.77%,,0.00%
Diluted Weighted Average Shares Outst.,0.96%,(5.06%),(3.98%),(6.35%),0.00%
Normalized Basic EPS,(13.81%),(40.06%),16.07%,,0.00%
Normalized Diluted EPS,(14.78%),(39.86%),15.31%,,0.00%
Dividend Per Share,,9.09%,8.33%,(69.71%),0.00%
Payout Ratio,,332.44%,(76.29%),,0.00%
EBITDA,25.72%,(2.35%),13.52%,,0.00%
EBITA,20.10%,(13.84%),15.17%,,0.00%
EBIT,23.49%,(15.55%),15.97%,,0.00%
EBITDAR,22.09%,(2.09%),17.86%,,
Effective Tax Rate,,,181.18%,(42.93%),0.00%
Normalized Net Income,(13.51%),(42.78%),11.42%,,0.00%
Interest Capitalized,(7.38%),(53.46%),(90.19%),(43.43%),
Interest on Long-Term Debt,(4.28%),5.31%,3.87%,(20.37%),
