Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.05%,6.90%,11.10%,0.22%,0.00%
Total Revenues,4.05%,6.90%,11.10%,0.22%,0.00%
Cost Of Revenues,3.17%,9.47%,7.62%,(1.96%),0.00%
Gross Profit,6.61%,(0.35%),21.90%,6.20%,0.00%
Selling General & Admin Expenses,7.23%,4.50%,8.74%,(3.53%),0.00%
Other Operating Expense/(Income),,(100.00%),,,0.00%
Total Operating Expenses,13.79%,0.93%,7.02%,2.57%,0.00%
Operating Income,3.95%,(0.87%),28.05%,7.45%,0.00%
Interest Expense,(12.03%),(49.84%),-5.69%,-8.66%,0.00%
Interest And Investment Income,,,,25.00%,0.00%
Net Interest Expenses,(12.03%),(49.84%),-5.98%,-8.77%,0.00%
Other Non Operating Income (Expenses),(15.83%),32.12%,,-55.00%,0.00%
"EBT, Excl. Unusual Items",2.12%,(7.31%),30.14%,10.40%,0.00%
"EBT, Incl. Unusual Items",1.96%,(6.92%),29.89%,18.84%,0.00%
Income Tax Expense,,,28.95%,23.40%,0.00%
Earnings From Continuing Operations,67.68%,(34.06%),30.10%,17.83%,0.00%
Net Income to Company,67.68%,(34.06%),30.10%,17.83%,0.00%
Minority Interest,(72.41%),(300.00%),-75.00%,0.00%,0.00%
Net Income,67.68%,(34.11%),30.19%,17.83%,0.00%
Preferred Dividend and Other Adjustments,12.68%,(60.00%),12.50%,(33.33%),0.00%
NI to Common Incl Extra Items,67.91%,(34.04%),30.22%,17.91%,0.00%
NI to Common Excl. Extra Items,67.91%,(34.04%),30.22%,17.91%,0.00%
Revenue Per Share,5.22%,6.89%,11.82%,0.54%,0.00%
Basic EPS,69.80%,(34.05%),31.05%,18.24%,0.00%
Basic EPS - Continuing Ops,69.80%,(34.05%),31.05%,18.24%,0.00%
Basic Weighted Average Shares Outst.,(1.12%),0.00%,(0.64%),(0.32%),0.00%
Diluted EPS,69.68%,(33.96%),31.09%,18.48%,0.00%
Diluted EPS - Continuing Ops,69.68%,(33.96%),31.09%,18.48%,0.00%
Diluted Weighted Average Shares Outst.,(1.04%),(0.16%),(0.63%),(0.48%),0.00%
Normalized Basic EPS,3.30%,(7.44%),31.11%,10.71%,0.00%
Normalized Diluted EPS,3.15%,(7.28%),31.15%,10.97%,0.00%
Dividend Per Share,4.88%,6.98%,11.96%,8.74%,0.00%
Payout Ratio,(38.17%),62.19%,(14.36%),(8.26%),0.00%
EBITDA,4.02%,4.12%,21.36%,6.99%,0.00%
EBITA,3.54%,(0.89%),27.85%,7.38%,0.00%
EBIT,3.95%,(0.87%),28.05%,7.45%,0.00%
EBITDAR,4.14%,6.72%,20.17%,5.75%,
Effective Tax Rate,,,(0.74%),3.86%,0.00%
Normalized Net Income,2.11%,(7.39%),30.25%,10.41%,0.00%
Interest Capitalized,1.61%,(16.67%),70.00%,(17.65%),
Interest on Long-Term Debt,,,,(14.29%),
Foreign Sales,12.61%,21.15%,(19.38%),(11.62%),
