Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.48%,13.00%,10.34%,9.47%,0.00%
Total Revenues,10.48%,13.00%,10.34%,9.47%,0.00%
Cost Of Revenues,11.19%,22.78%,11.27%,11.44%,0.00%
Gross Profit,10.08%,7.38%,9.72%,8.15%,0.00%
Selling General & Admin Expenses,16.30%,9.04%,12.05%,7.28%,0.00%
Depreciation & Amortization,,,,43.58%,0.00%
Total Operating Expenses,16.30%,9.04%,12.10%,(1.25%),0.00%
Operating Income,5.93%,6.16%,7.94%,15.49%,0.00%
Interest Expense,,,,-30.36%,0.00%
Interest And Investment Income,67.08%,102.94%,28.99%,(54.49%),0.00%
Net Interest Expenses,70.00%,102.94%,28.58%,(54.57%),0.00%
Currency Exchange Gains (Loss),-65.98%,(21.21%),(2.50%),(173.17%),0.00%
Other Non Operating Income (Expenses),,-77.86%,(322.45%),(521.10%),0.00%
"EBT, Excl. Unusual Items",6.69%,6.70%,8.14%,13.95%,0.00%
"EBT, Incl. Unusual Items",11.29%,7.63%,9.49%,14.84%,0.00%
Income Tax Expense,3.80%,(21.18%),2.62%,(29.72%),0.00%
Earnings From Continuing Operations,15.15%,21.00%,11.56%,27.24%,0.00%
Net Income to Company,15.15%,21.00%,11.56%,27.24%,0.00%
Net Income,15.15%,21.00%,11.56%,27.24%,0.00%
NI to Common Incl Extra Items,15.15%,21.00%,11.56%,27.24%,0.00%
NI to Common Excl. Extra Items,15.15%,21.00%,11.56%,27.24%,0.00%
Revenue Per Share,14.53%,15.04%,13.44%,12.03%,0.00%
Basic EPS,19.67%,22.91%,14.79%,30.46%,0.00%
Basic EPS - Continuing Ops,19.67%,22.91%,14.79%,30.46%,0.00%
Basic Weighted Average Shares Outst.,(3.59%),(1.70%),(2.69%),(2.32%),0.00%
Diluted EPS,19.33%,23.94%,15.34%,30.05%,0.00%
Diluted EPS - Continuing Ops,19.33%,23.94%,15.34%,30.05%,0.00%
Diluted Weighted Average Shares Outst.,(3.78%),(2.23%),(3.13%),(2.16%),0.00%
Normalized Basic EPS,10.90%,8.86%,11.17%,16.31%,0.00%
Normalized Diluted EPS,10.71%,9.10%,11.78%,16.60%,0.00%
EBITDA,6.39%,6.56%,8.18%,14.55%,0.00%
EBITA,5.98%,6.10%,7.84%,15.09%,0.00%
EBIT,5.93%,6.16%,7.94%,15.49%,0.00%
EBITDAR,6.41%,6.15%,8.35%,14.46%,
Effective Tax Rate,(6.73%),(26.76%),(6.28%),(38.80%),0.00%
Normalized Net Income,6.69%,6.70%,8.14%,13.95%,0.00%
Interest on Long-Term Debt,,,,(30.36%),
Foreign Sales,23.93%,318.69%,10.34%,9.47%,
