Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,0.81%,0.68%,0.86%,5.28%,0.00%
Total Revenues,0.81%,0.68%,0.86%,5.28%,0.00%
Cost Of Revenues,(3.17%),(0.53%),(4.94%),3.81%,0.00%
Gross Profit,3.47%,1.44%,4.41%,6.10%,0.00%
Selling General & Admin Expenses,(11.29%),14.69%,(18.74%),(0.79%),0.00%
Total Operating Expenses,(11.29%),14.69%,(18.74%),(0.79%),0.00%
Operating Income,7.12%,(1.27%),9.92%,7.31%,0.00%
Interest Expense,-2.02%,-6.73%,(85.27%),(0.08%),0.00%
Interest And Investment Income,138.46%,3.23%,31.25%,(66.67%),0.00%
Net Interest Expenses,-4.52%,-7.17%,(87.94%),(2.38%),0.00%
Currency Exchange Gains (Loss),,,,11.11%,0.00%
"EBT, Excl. Unusual Items",4.61%,2.87%,12.68%,(9.43%),0.00%
"EBT, Incl. Unusual Items",(55.02%),(4.96%),(91.80%),799.48%,0.00%
Income Tax Expense,,,(13.06%),18.02%,0.00%
Earnings From Continuing Operations,(28.20%),(31.88%),,,0.00%
Net Income to Company,(28.20%),(31.88%),,,0.00%
Minority Interest,0.00%,-20.00%,,160.00%,0.00%
Net Income,(28.21%),(31.88%),,,0.00%
Preferred Dividend and Other Adjustments,(41.67%),(42.86%),(12.50%),14.29%,0.00%
NI to Common Incl Extra Items,(28.19%),(31.87%),,,0.00%
NI to Common Excl. Extra Items,(28.19%),(31.87%),,,0.00%
Revenue Per Share,2.40%,2.47%,1.84%,5.92%,0.00%
Basic EPS,(27.01%),(30.59%),,,0.00%
Basic EPS - Continuing Ops,(27.01%),(30.59%),,,0.00%
Basic Weighted Average Shares Outst.,(1.59%),(1.77%),(0.95%),(0.59%),0.00%
Diluted EPS,(27.06%),(30.70%),,,0.00%
Diluted EPS - Continuing Ops,(27.06%),(30.70%),,,0.00%
Diluted Weighted Average Shares Outst.,(1.59%),(1.72%),(1.01%),(0.54%),0.00%
Normalized Basic EPS,6.15%,4.89%,13.77%,(8.78%),0.00%
Normalized Diluted EPS,6.15%,4.83%,14.11%,(8.83%),0.00%
Dividend Per Share,8.09%,18.11%,9.33%,3.66%,0.00%
Payout Ratio,48.39%,65.36%,,,0.00%
EBITDA,7.02%,(1.07%),9.69%,7.44%,0.00%
EBITA,7.10%,(1.10%),9.95%,7.54%,0.00%
EBIT,7.12%,(1.27%),9.92%,7.31%,0.00%
Effective Tax Rate,,,960.42%,(86.88%),0.00%
Normalized Net Income,4.62%,2.89%,12.83%,(9.31%),0.00%
Interest on Long-Term Debt,,,89.67%,(7.49%),
R&D Expense From Footnotes,18.72%,4.56%,(33.33%),(22.02%),0.00%
