Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,21.17%,23.67%,7.82%,34.48%,0.00%
Total Revenues,21.17%,23.67%,7.82%,34.48%,0.00%
Cost Of Revenues,19.60%,22.13%,8.43%,34.41%,0.00%
Gross Profit,22.48%,24.93%,7.33%,34.54%,0.00%
Selling General & Admin Expenses,13.21%,17.01%,17.34%,21.06%,0.00%
R&D Expenses,11.84%,13.47%,15.30%,27.69%,0.00%
Total Operating Expenses,12.57%,15.39%,16.42%,24.02%,0.00%
Operating Income,53.29%,46.71%,(9.00%),58.71%,0.00%
Interest And Investment Income,115.15%,18.08%,15.57%,27.68%,0.00%
Net Interest Expenses,115.15%,18.08%,15.57%,27.68%,0.00%
Currency Exchange Gains (Loss),,,,(340.00%),0.00%
Other Non Operating Income (Expenses),109.90%,,,2.28%,0.00%
"EBT, Excl. Unusual Items",56.22%,41.31%,(4.47%),53.93%,0.00%
"EBT, Incl. Unusual Items",44.84%,42.85%,(4.53%),49.70%,0.00%
Income Tax Expense,290.43%,(25.52%),(67.60%),16.02%,0.00%
Earnings From Continuing Operations,23.68%,61.45%,3.39%,51.03%,0.00%
Net Income to Company,23.68%,61.45%,3.39%,51.03%,0.00%
Net Income,23.68%,61.45%,3.39%,51.03%,0.00%
NI to Common Incl Extra Items,23.68%,61.45%,3.39%,51.03%,0.00%
NI to Common Excl. Extra Items,23.68%,61.45%,3.39%,51.03%,0.00%
Revenue Per Share,18.51%,21.03%,5.49%,29.43%,0.00%
Basic EPS,21.30%,57.70%,1.26%,45.47%,0.00%
Basic EPS - Continuing Ops,21.30%,57.70%,1.26%,45.47%,0.00%
Basic Weighted Average Shares Outst.,2.26%,2.17%,2.17%,3.88%,0.00%
Diluted EPS,19.05%,57.33%,0.85%,47.06%,0.00%
Diluted EPS - Continuing Ops,19.05%,57.33%,0.85%,47.06%,0.00%
Diluted Weighted Average Shares Outst.,3.97%,2.35%,2.60%,2.73%,0.00%
Normalized Basic EPS,53.22%,38.56%,(6.44%),48.54%,0.00%
Normalized Diluted EPS,50.70%,37.59%,(7.10%),49.69%,0.00%
Dividend Per Share,0.00%,50.00%,33.33%,25.00%,0.00%
Payout Ratio,(17.12%),(13.32%),37.09%,(12.64%),0.00%
EBITDA,43.61%,34.77%,(6.13%),55.03%,0.00%
EBITA,47.27%,46.71%,(9.00%),58.71%,0.00%
EBIT,53.29%,46.71%,(9.00%),58.71%,0.00%
EBITDAR,42.21%,,,53.99%,
Effective Tax Rate,169.38%,(47.86%),(66.06%),(22.40%),0.00%
Normalized Net Income,56.22%,41.31%,(4.47%),53.93%,0.00%
R&D Expense From Footnotes,11.84%,13.47%,15.30%,27.69%,0.00%
Foreign Sales,20.97%,22.82%,8.03%,35.12%,
