Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.73%,12.54%,8.63%,8.83%,9.60%
Total Revenues,10.73%,12.54%,8.63%,8.83%,9.60%
Cost Of Revenues,8.56%,4.99%,0.22%,1.30%,5.45%
Gross Profit,11.34%,14.61%,10.74%,10.54%,10.50%
Selling General & Admin Expenses,4.33%,10.56%,10.00%,3.11%,1.43%
R&D Expenses,0.86%,7.33%,20.79%,2.77%,(2.33%)
Depreciation & Amortization,3.26%,(11.55%),(4.30%),(0.65%),(1.13%)
Total Operating Expenses,2.50%,7.41%,13.93%,1.06%,1.80%
Operating Income,18.78%,19.83%,8.67%,17.01%,16.10%
Interest Expense,(14.21%),(14.66%),(11.21%),(5.60%),(0.87%)
Interest And Investment Income,117.27%,211.51%,(16.60%),(69.33%),(87.77%)
Net Interest Expenses,(11.18%),(3.33%),(16.04%),(14.93%),(11.12%)
Currency Exchange Gains (Loss),,,,-30.00%,-30.00%
Other Non Operating Income (Expenses),-4.16%,-77.23%,,140.68%,
"EBT, Excl. Unusual Items",20.98%,24.35%,6.81%,17.91%,16.51%
"EBT, Incl. Unusual Items",20.98%,34.91%,(4.22%),13.74%,15.92%
Income Tax Expense,30.26%,(25.11%),(67.49%),112.76%,(14.77%)
Earnings From Continuing Operations,16.53%,67.08%,10.98%,6.77%,21.92%
Net Income to Company,16.53%,67.08%,10.98%,6.77%,21.92%
Net Income,16.53%,67.08%,10.98%,6.77%,21.92%
NI to Common Incl Extra Items,16.53%,67.08%,10.98%,6.77%,21.92%
NI to Common Excl. Extra Items,16.53%,67.08%,10.98%,6.77%,21.92%
Revenue Per Share,17.64%,16.66%,11.88%,10.06%,11.76%
Basic EPS,23.71%,73.39%,14.22%,7.94%,24.32%
Basic EPS - Continuing Ops,23.71%,73.39%,14.22%,7.94%,24.32%
Basic Weighted Average Shares Outst.,(5.89%),(3.49%),(2.91%),(1.10%),(1.93%)
Diluted EPS,22.59%,71.00%,16.43%,8.04%,24.17%
Diluted EPS - Continuing Ops,22.59%,71.00%,16.43%,8.04%,24.17%
Diluted Weighted Average Shares Outst.,(4.79%),(2.41%),(4.64%),(1.19%),(1.76%)
Normalized Basic EPS,28.70%,28.87%,10.07%,19.18%,18.81%
Normalized Diluted EPS,26.99%,27.61%,11.88%,19.36%,18.60%
Dividend Per Share,32.00%,45.45%,31.25%,15.87%,15.27%
Payout Ratio,6.79%,(14.53%),17.50%,3.54%,13.69%
EBITDA,15.40%,16.48%,7.55%,15.55%,14.91%
EBITA,16.18%,18.08%,8.06%,16.17%,15.48%
EBIT,18.78%,19.83%,8.67%,17.01%,16.10%
EBITDAR,14.77%,16.05%,8.62%,14.58%,
Effective Tax Rate,7.67%,(44.50%),(66.05%),86.92%,(26.47%)
Normalized Net Income,20.98%,24.35%,6.81%,17.91%,16.51%
Interest on Long-Term Debt,14.21%,14.66%,11.21%,10.73%,
R&D Expense From Footnotes,4.70%,12.76%,23.31%,9.71%,3.40%
Foreign Sales,9.79%,18.34%,11.41%,13.00%,
