Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,5.94%,14.28%,14.03%,13.65%,15.34%
Total Revenues,5.94%,14.28%,14.03%,13.65%,15.34%
Cost Of Revenues,4.52%,11.94%,11.88%,7.38%,14.56%
Gross Profit,6.74%,15.56%,15.17%,16.89%,15.70%
Selling General & Admin Expenses,3.88%,11.44%,3.94%,6.97%,3.73%
R&D Expenses,8.75%,12.96%,14.60%,14.18%,9.02%
Total Operating Expenses,5.75%,12.04%,8.19%,10.02%,6.03%
Operating Income,7.88%,19.53%,22.54%,23.28%,23.62%
Interest Expense,(78.76%),(23.00%),-1.72%,-3.54%,(0.58%)
Interest And Investment Income,53.60%,59.63%,24.75%,(2.97%),(4.08%)
Net Interest Expenses,(145.59%),-37.84%,,17.11%,(59.17%)
Currency Exchange Gains (Loss),(13.08%),-73.67%,-92.57%,"(1,454.55%)",-25.33%
Other Non Operating Income (Expenses),-51.46%,(241.38%),,693.75%,
"EBT, Excl. Unusual Items",6.53%,22.21%,26.61%,23.15%,25.32%
"EBT, Incl. Unusual Items",16.62%,21.98%,19.78%,21.40%,24.73%
Income Tax Expense,(13.49%),351.11%,(77.65%),96.83%,53.16%
Earnings From Continuing Operations,24.10%,(34.99%),136.80%,12.85%,21.07%
Net Income to Company,24.10%,(34.99%),136.80%,12.85%,21.07%
Net Income,24.10%,(34.99%),136.80%,12.85%,21.07%
NI to Common Incl Extra Items,24.10%,(34.99%),136.80%,12.85%,21.07%
NI to Common Excl. Extra Items,24.10%,(34.99%),136.80%,12.85%,21.07%
Revenue Per Share,8.41%,14.94%,14.45%,14.59%,16.35%
Basic EPS,27.05%,(34.59%),137.86%,13.87%,22.14%
Basic EPS - Continuing Ops,27.05%,(34.59%),137.86%,13.87%,22.14%
Basic Weighted Average Shares Outst.,(2.26%),(0.59%),(0.35%),(0.82%),(0.88%)
Diluted EPS,26.95%,(34.46%),137.56%,13.83%,22.26%
Diluted EPS - Continuing Ops,26.95%,(34.46%),137.56%,13.83%,22.26%
Diluted Weighted Average Shares Outst.,(2.26%),(0.49%),(0.53%),(0.90%),(1.01%)
Normalized Basic EPS,8.96%,23.18%,27.02%,24.02%,26.43%
Normalized Diluted EPS,8.82%,22.80%,27.09%,24.26%,26.60%
Dividend Per Share,8.33%,7.69%,9.52%,10.87%,2.51%
Payout Ratio,(13.28%),64.91%,(54.07%),(2.89%),(9.70%)
EBITDA,12.29%,21.08%,21.36%,19.61%,17.92%
EBITA,10.17%,20.07%,20.40%,21.62%,22.91%
EBIT,7.88%,19.53%,22.54%,23.28%,23.62%
EBITDAR,13.36%,20.76%,20.89%,19.61%,
Effective Tax Rate,(25.82%),269.70%,(81.34%),62.16%,22.80%
Normalized Net Income,6.53%,22.21%,26.61%,23.15%,25.32%
Interest on Long-Term Debt,142.86%,157.35%,41.14%,36.03%,
R&D Expense From Footnotes,8.75%,12.96%,14.60%,14.18%,9.02%
Foreign Sales,1.69%,19.65%,13.25%,13.32%,
