Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,3485.1,3742.9,4164.6,4442.2,3975.1,3871.6
Total Interest Income,3895.9,4167.8,4598.7,4879.6,4192.7,4089.3
Interest On Deposits,191.3,195.9,272.5,485.3,217.0,109.0
Total Interest On Borrowings,234.6,190.9,253.9,264.0,109.4,109.4
Total Interest Expense,426.0,386.8,526.4,749.3,326.4,218.3
Net Interest Income,3469.9,3781.0,4072.3,4130.3,3866.3,3870.9
Service Charges On Deposits,419.1,427.4,429.3,433.0,370.8,357.4
Trust Income,472.2,501.4,537.6,572.6,601.9,609.2
Total Mortgage Banking Activities,373.7,363.8,360.4,457.8,566.6,577.5
Income From Trading Activities,41.1,35.3,32.5,62.0,40.5,25.8
Gain (Loss) on Sale of Assets,8.0,,,,,
Gain (Loss) on Sale of Invest. & Securities,30.3,21.3,(6.3),(30.0),(9.4),(0.9)
Total Other Non Interest Income,492.6,502.0,478.4,481.2,465.0,442.8
Total Non Interest Income,1826.0,1851.1,1856.0,2013.7,2088.4,2064.7
Revenue Before Loan Losses,5295.9,5632.2,5928.3,6143.9,5954.8,5935.6
Provision For Loan Losses,190.0,168.0,132.0,176.0,800.0,525.0
Total Revenues,5105.9,5464.2,5796.3,5967.9,5154.8,5410.6
Salaries And Other Employee Benefits,1547.7,1587.8,1686.3,1824.8,1870.7,1874.9
Amort. of Goodwill & Intang. Assets,42.6,31.4,24.5,19.5,14.9,13.7
Total Selling General & Admin Expenses,644.9,645.9,685.2,763.2,762.3,757.2
Total Other Non Interest Expense,671.5,773.4,688.5,721.7,683.6,696.7
Total Non Interest Expense,3011.7,3140.3,3153.1,3370.7,3385.2,3398.3
"EBT, Excl. Unusual Items",2094.2,2323.9,2643.2,2597.3,1769.5,2012.3
Legal Settlements,,,(135.0),(50.0),,
"EBT, Incl. Unusual Items",2058.4,2323.9,2508.2,2547.3,1769.5,2012.3
Income Tax Expense,743.3,915.6,590.2,618.1,416.4,480.7
Earnings From Continuing Operations,1315.1,1408.3,1918.1,1929.1,1353.2,1531.6
Net Income to Company,1315.1,1408.3,1918.1,1929.1,1353.2,1531.6
Net Income,1315.1,1408.3,1918.1,1929.1,1353.2,1531.6
Preferred Dividend and Other Adjustments,91.7,80.8,82.1,79.6,74.1,75.1
Net Income to Common Incl Extra Items,1223.5,1327.5,1836.0,1849.5,1279.1,1456.5
Net Income to Common Excl. Extra Items,1223.5,1327.5,1836.0,1849.5,1279.1,1456.5
Revenue Per Share,$32.57,$35.91,$40.25,$44.40,$40.07,$42.17
Basic EPS,$7.80,$8.72,$12.75,$13.76,$9.94,$11.35
Basic EPS - Continuing Ops,$7.80,$8.72,$12.75,$13.76,$9.94,$11.35
Basic Weighted Average Shares Outst.,156.8,152.2,144.0,134.4,128.6,128.3
Diluted EPS,$7.78,$8.70,$12.74,$13.75,$9.94,$11.35
Diluted EPS - Continuing Ops,$7.78,$8.70,$12.74,$13.75,$9.94,$11.35
Diluted Weighted Average Shares Outst.,157.3,152.6,144.2,134.5,128.7,128.4
Normalized Basic EPS,$8.35,$9.55,$11.47,$12.08,$8.60,$9.80
Normalized Diluted EPS,$8.32,$9.52,$11.46,$12.07,$8.59,$9.80
Dividend Per Share,$2.80,$3.00,$3.55,$4.10,$4.40,$4.40
Payout Ratio,39.78%,37.64%,30.39%,32.12%,47.03%,
Effective Tax Rate,36.1%,39.4%,23.5%,24.3%,23.5%,23.9%
Normalized Net Income,1308.8,1452.4,1652.0,1623.3,1106.0,1257.7
Interest on Long-Term Debt,231.0,189.4,248.6,239.2,109.3,
