Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3513.0,3712.0,4180.0,4252.0,5627.0,5926.0
Other Revenues,191.0,236.0,97.0,10.0,,
Total Revenues,3704.0,3948.0,4277.0,4262.0,5627.0,5926.0
Cost Of Revenues,1428.0,1537.0,1751.0,1727.0,2724.0,2873.0
Gross Profit,2276.0,2411.0,2526.0,2535.0,2903.0,3053.0
Selling General & Admin Expenses,1118.0,1155.0,1235.0,1208.0,1356.0,1365.0
Depreciation & Amortization,170.0,188.0,210.0,190.0,202.0,217.0
Total Operating Expenses,1288.0,1343.0,1445.0,1398.0,1558.0,1582.0
Operating Income,988.0,1068.0,1081.0,1137.0,1345.0,1471.0
Interest Expense,(135.0),(143.0),(150.0),(124.0),(101.0),(104.0)
Interest And Investment Income,8.0,7.0,10.0,10.0,4.0,3.0
Net Interest Expenses,(127.0),(136.0),(140.0),(114.0),(97.0),(101.0)
Other Non Operating Income (Expenses),(35.0),(31.0),(25.0),(26.0),(19.0),(23.0)
"EBT, Excl. Unusual Items",828.0,916.0,934.0,1081.0,1299.0,1457.0
"EBT, Incl. Unusual Items",133.0,872.0,1064.0,1019.0,1212.0,1334.0
Income Tax Expense,27.0,143.0,606.0,245.0,279.0,306.0
Earnings From Continuing Operations,106.0,729.0,458.0,774.0,933.0,1028.0
Net Income to Company,106.0,729.0,458.0,774.0,933.0,1028.0
Net Income,106.0,729.0,458.0,774.0,933.0,1028.0
NI to Common Incl Extra Items,106.0,729.0,458.0,774.0,933.0,1028.0
NI to Common Excl. Extra Items,106.0,729.0,458.0,774.0,933.0,1028.0
Revenue Per Share,$22.42,$23.73,$25.87,$25.84,$34.22,$36.05
Basic EPS,$0.64,$4.38,$2.77,$4.69,$5.67,$6.25
Basic EPS - Continuing Ops,$0.64,$4.38,$2.77,$4.69,$5.67,$6.25
Basic Weighted Average Shares Outst.,165.2,166.4,165.3,164.9,164.4,164.4
Diluted EPS,$0.63,$4.30,$2.73,$4.63,$5.59,$6.15
Diluted EPS - Continuing Ops,$0.63,$4.30,$2.73,$4.63,$5.59,$6.15
Diluted Weighted Average Shares Outst.,168.8,169.6,167.7,167.0,166.9,167.0
Normalized Basic EPS,$3.13,$3.44,$3.53,$4.10,$4.94,$5.54
Normalized Diluted EPS,$3.07,$3.38,$3.48,$4.05,$4.86,$5.45
Dividend Per Share,$1.21,$1.46,$1.70,$1.85,$1.94,$1.96
Payout Ratio,188.68%,33.33%,61.14%,39.41%,34.30%,
EBITDA,1158.0,1256.0,1291.0,1327.0,1547.0,1675.5
EBITA,1070.0,1160.0,1190.0,1238.0,1448.0,1471.0
EBIT,988.0,1068.0,1081.0,1137.0,1345.0,1471.0
EBITDAR,1244.0,1350.0,1386.0,1424.0,1654.0,
Effective Tax Rate,20.3%,16.4%,57.0%,24.0%,23.0%,22.9%
Normalized Net Income,517.5,572.5,583.8,675.6,811.9,910.6
Foreign Sales,1025.0,867.0,898.0,853.0,963.0,
