Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,32.41%,35.08%,27.62%,24.01%,23.31%
Total Revenues,32.41%,35.08%,27.62%,24.01%,23.31%
Cost Of Revenues,28.37%,24.08%,24.81%,22.80%,18.04%
Gross Profit,42.22%,59.21%,32.43%,25.96%,31.73%
Selling General & Admin Expenses,32.14%,60.65%,18.90%,(7.34%),(4.15%)
R&D Expenses,22.23%,28.11%,26.46%,18.41%,16.90%
Total Operating Expenses,28.61%,49.65%,21.09%,0.44%,2.52%
Operating Income,120.83%,91.40%,62.24%,76.07%,80.02%
Interest Expense,(58.68%),(76.53%),(48.88%),(22.60%),(15.31%)
Interest And Investment Income,64.10%,232.59%,80.22%,(46.03%),(47.15%)
Net Interest Expenses,(58.38%),(67.63%),(45.33%),(32.22%),(23.19%)
Currency Exchange Gains (Loss),,-99.22%,,,(793.48%)
"EBT, Excl. Unusual Items",86.30%,152.71%,68.15%,55.14%,80.52%
"EBT, Incl. Unusual Items",86.30%,152.71%,68.15%,55.14%,80.52%
Income Tax Expense,,,"1,183.62%",124.23%,199.74%
Earnings From Continuing Operations,199.41%,116.71%,54.13%,47.91%,68.42%
Net Income to Company,199.41%,116.71%,54.13%,47.91%,68.42%
Net Income,199.41%,116.71%,54.13%,47.91%,68.42%
NI to Common Incl Extra Items,199.41%,116.71%,54.13%,47.91%,68.42%
NI to Common Excl. Extra Items,199.41%,116.71%,54.13%,47.91%,68.42%
Revenue Per Share,31.49%,34.01%,26.90%,23.13%,22.33%
Basic EPS,194.13%,115.66%,53.39%,47.01%,67.09%
Basic EPS - Continuing Ops,194.13%,115.66%,53.39%,47.01%,67.09%
Basic Weighted Average Shares Outst.,0.71%,0.81%,0.56%,0.71%,0.80%
Diluted EPS,190.70%,114.40%,54.10%,47.22%,67.25%
Diluted EPS - Continuing Ops,190.70%,114.40%,54.10%,47.22%,67.25%
Diluted Weighted Average Shares Outst.,1.86%,0.99%,0.12%,0.54%,0.68%
Normalized Basic EPS,84.82%,151.52%,67.27%,54.25%,79.09%
Normalized Diluted EPS,83.48%,149.81%,67.82%,54.47%,79.30%
EBITDA,108.22%,85.42%,60.38%,73.61%,77.77%
EBITA,120.83%,91.40%,62.24%,76.07%,80.02%
EBIT,120.83%,91.40%,62.24%,76.07%,80.02%
EBITDAR,101.01%,82.16%,63.63%,64.00%,
Effective Tax Rate,,,663.79%,44.55%,66.04%
Normalized Net Income,86.30%,152.71%,68.15%,55.14%,80.52%
R&D Expense From Footnotes,22.23%,28.11%,26.46%,18.41%,16.90%
Foreign Sales,,,28.72%,24.66%,
