Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.25%,15.73%,12.45%,8.74%,0.00%
Total Revenues,5.25%,15.73%,12.45%,8.74%,0.00%
Cost Of Revenues,6.79%,15.95%,14.21%,10.30%,0.00%
Gross Profit,0.36%,15.01%,6.44%,3.02%,0.00%
Selling General & Admin Expenses,(50.29%),77.18%,63.93%,(24.27%),0.00%
Total Operating Expenses,(50.29%),77.18%,63.93%,(24.27%),0.00%
Operating Income,51.57%,(5.61%),(29.36%),42.44%,0.00%
Interest Expense,(19.60%),(56.11%),-6.05%,(12.31%),0.00%
Net Interest Expenses,(19.60%),(56.11%),-6.05%,(12.31%),0.00%
Other Non Operating Income (Expenses),209.09%,(4.41%),(17.69%),(14.02%),0.00%
"EBT, Excl. Unusual Items",57.74%,(10.83%),(32.43%),46.31%,0.00%
"EBT, Incl. Unusual Items",57.74%,(11.52%),(31.91%),46.31%,0.00%
Income Tax Expense,113.17%,(62.28%),(41.52%),79.67%,0.00%
Earnings From Continuing Operations,40.43%,12.55%,(30.38%),41.86%,0.00%
Net Income to Company,40.43%,12.55%,(30.38%),41.86%,0.00%
Net Income,40.43%,12.55%,(30.38%),41.86%,0.00%
NI to Common Incl Extra Items,40.43%,12.55%,(30.38%),41.86%,0.00%
NI to Common Excl. Extra Items,40.43%,12.55%,(30.38%),41.86%,0.00%
Revenue Per Share,7.97%,16.20%,15.37%,10.17%,0.00%
Basic EPS,44.05%,13.01%,(28.57%),43.71%,0.00%
Basic EPS - Continuing Ops,44.05%,13.01%,(28.57%),43.71%,0.00%
Basic Weighted Average Shares Outst.,(2.52%),(0.40%),(2.53%),(1.30%),0.00%
Diluted EPS,44.35%,13.16%,(28.50%),43.95%,0.00%
Diluted EPS - Continuing Ops,44.35%,13.16%,(28.50%),43.95%,0.00%
Diluted Weighted Average Shares Outst.,(2.71%),(0.57%),(2.63%),(1.41%),0.00%
Normalized Basic EPS,61.75%,(10.50%),(30.68%),48.18%,0.00%
Normalized Diluted EPS,62.20%,(10.31%),(30.61%),48.37%,0.00%
Dividend Per Share,11.43%,20.51%,9.79%,9.88%,0.00%
Payout Ratio,(23.35%),5.85%,53.94%,(23.67%),0.00%
EBITDA,45.20%,1.52%,(15.37%),29.81%,0.00%
EBITA,51.22%,(1.37%),(25.08%),36.05%,0.00%
EBIT,51.57%,(5.61%),(29.36%),42.44%,0.00%
EBITDAR,41.60%,2.87%,(13.76%),28.01%,
Effective Tax Rate,35.12%,(57.37%),(14.12%),22.84%,0.00%
Normalized Net Income,57.74%,(10.83%),(32.43%),46.31%,0.00%
R&D Expense From Footnotes,(9.36%),19.56%,24.74%,12.59%,0.00%
Foreign Sales,,28.45%,16.24%,0.66%,
