Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.78%,4.45%,3.62%,(7.41%),0.00%
Total Revenues,1.78%,4.45%,3.62%,(7.41%),0.00%
Depreciation & Amortization,(21.16%),(29.36%),(11.40%),16.62%,0.00%
Other Operating Expenses,4.87%,4.54%,2.74%,(10.45%),0.00%
Total Operating Expenses,(0.79%),1.04%,2.05%,(7.18%),0.00%
Operating Income,37.75%,38.73%,15.10%,(8.92%),0.00%
"Interest Expense, Total",-4.46%,-13.29%,-14.49%,-2.91%,0.00%
Net Interest Expenses,-4.46%,-13.29%,-14.49%,-2.91%,0.00%
Other Non-Operating Inc. (Exp.),8.51%,(64.71%),266.67%,1.52%,0.00%
"EBT, Excl. Unusual Items",616.67%,126.91%,41.43%,(9.21%),0.00%
Impairment of Goodwill,-73.29%,,,,
Gain (Loss) on Sale of Assets,,100.00%,(78.13%),(57.14%),0.00%
Other Unusual Items,-65.49%,-10.20%,(15.91%),-82.35%,0.00%
"EBT, Incl. Unusual Items",(49.19%),,68.31%,(3.18%),0.00%
Income Tax Expense,,,,,0.00%
Earnings From Continuing Operations,(40.69%),,795.65%,(87.62%),0.00%
Earnings Of Discontinued Operations,,-80.65%,,,
Net Income to Company,(162.29%),,"1,557.09%",(88.52%),0.00%
Minority Interest,57.26%,,,,
Net Income,(178.17%),,"1,555.97%",(88.51%),0.00%
NI to Common Incl Extra Items,(207.13%),,"1,555.97%",(88.51%),0.00%
NI to Common Excl. Extra Items,(51.57%),,795.00%,(87.61%),0.00%
Revenue Per Share,1.47%,8.94%,20.22%,(0.98%),0.00%
Basic EPS,(205.94%),,"1,824.88%",(87.71%),0.00%
Basic EPS - Continuing Ops,(51.34%),,940.65%,(86.75%),0.00%
Basic Weighted Average Shares Outst.,0.32%,(4.10%),(13.82%),(6.49%),0.00%
Diluted EPS,(205.94%),,"1,831.71%",(87.69%),0.00%
Diluted EPS - Continuing Ops,(51.34%),,946.31%,(86.72%),0.00%
Diluted Weighted Average Shares Outst.,0.32%,(2.84%),(14.29%),(6.82%),0.00%
Normalized Basic EPS,160.87%,20.02%,63.78%,(2.30%),0.00%
Normalized Diluted EPS,160.87%,18.46%,63.71%,(2.27%),0.00%
Dividend Per Share,0.00%,0.00%,225.00%,214.10%,0.00%
Payout Ratio,,,(94.78%),"7,933.76%",0.00%
EBITDA,5.45%,9.64%,8.27%,(3.28%),0.00%
EBITA,55.27%,27.06%,15.50%,(4.63%),0.00%
EBIT,37.75%,38.73%,15.10%,(8.92%),0.00%
EBITDAR,4.14%,,,(3.57%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,159.77%,14.71%,40.73%,(8.76%),0.00%
Interest Capitalized,(31.03%),(65.00%),(57.14%),(33.33%),
