Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9888.0,10551.0,11458.0,11296.0,9789.0,9789.0
Total Revenues,9888.0,10551.0,11458.0,11296.0,9789.0,9789.0
Cost Of Revenues,5788.0,5910.0,6336.0,6137.0,5157.0,5157.0
Gross Profit,4100.0,4641.0,5122.0,5159.0,4632.0,4632.0
Depreciation & Amortization,1026.0,1055.0,1102.0,1138.0,1154.0,1154.0
Other Operating Expense/(Income),,,,(31.0),,
Total Operating Expenses,1026.0,1055.0,1102.0,1107.0,1154.0,1154.0
Operating Income,3074.0,3586.0,4020.0,4052.0,3478.0,3478.0
Interest Expense,(563.0),(550.0),(557.0),(604.0),(625.0),(625.0)
Net Interest Expenses,(563.0),(550.0),(557.0),(604.0),(625.0),(625.0)
Other Non Operating Income (Expenses),71.0,,(165.0),50.0,27.0,27.0
"EBT, Excl. Unusual Items",2582.0,3036.0,3298.0,3498.0,2880.0,2880.0
"EBT, Incl. Unusual Items",2582.0,3128.0,3469.0,3491.0,2530.0,2530.0
Income Tax Expense,914.0,"(2,276.0)",803.0,769.0,517.0,517.0
Earnings From Continuing Operations,1668.0,5404.0,2666.0,2722.0,2013.0,2013.0
Net Income to Company,1668.0,5404.0,2666.0,2722.0,2013.0,2013.0
Net Income,1668.0,5404.0,2666.0,2722.0,2013.0,2013.0
Preferred Dividend and Other Adjustments,5.0,4.0,6.0,5.0,3.0,3.0
NI to Common Incl Extra Items,1663.0,5400.0,2660.0,2717.0,2010.0,2010.0
NI to Common Excl. Extra Items,1663.0,5400.0,2660.0,2717.0,2010.0,2010.0
Revenue Per Share,$33.64,$36.65,$41.26,$42.91,$38.37,$38.37
Basic EPS,$5.66,$18.76,$9.58,$10.32,$7.88,$7.88
Basic EPS - Continuing Ops,$5.66,$18.76,$9.58,$10.32,$7.88,$7.88
Basic Weighted Average Shares Outst.,293.9,287.9,277.7,263.3,255.1,255.1
Diluted EPS,$5.62,$18.61,$9.51,$10.25,$7.84,$7.84
Diluted EPS - Continuing Ops,$5.62,$18.61,$9.51,$10.25,$7.84,$7.84
Diluted Weighted Average Shares Outst.,296.0,290.3,280.2,265.6,256.6,256.6
Normalized Basic EPS,$5.49,$6.59,$7.42,$8.30,$7.06,$7.06
Normalized Diluted EPS,$5.45,$6.54,$7.36,$8.23,$7.01,$7.01
Dividend Per Share,$2.36,$2.44,$3.04,$3.60,$3.76,$3.76
Payout Ratio,41.67%,13.01%,31.66%,34.86%,47.69%,47.69%
EBITDA,4104.0,4645.0,5124.0,5191.0,4632.0,4632.0
EBITA,3074.0,3586.0,4020.0,4052.0,3478.0,3478.0
EBIT,3074.0,3586.0,4020.0,4052.0,3478.0,3478.0
EBITDAR,4410.0,4826.0,5487.0,5482.0,4932.0,4932.0
Effective Tax Rate,35.4%,NM,23.1%,22.0%,20.4%,20.4%
Normalized Net Income,1613.8,1897.5,2061.3,2186.3,1800.0,1800.0
Interest Capitalized,20.0,20.0,17.0,16.0,14.0,14.0
