Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.71%,8.60%,(1.41%),(13.34%),0.00%
Total Revenues,6.71%,8.60%,(1.41%),(13.34%),0.00%
Cost Of Revenues,2.11%,7.21%,(3.14%),(15.97%),0.00%
Gross Profit,13.20%,10.36%,0.72%,(10.22%),0.00%
Depreciation & Amortization,2.83%,4.45%,3.27%,1.41%,0.00%
Total Operating Expenses,2.83%,4.45%,0.45%,4.25%,0.00%
Operating Income,16.66%,12.10%,0.80%,(14.17%),0.00%
Interest Expense,-2.31%,(1.27%),(8.44%),(3.48%),0.00%
Net Interest Expenses,-2.31%,(1.27%),(8.44%),(3.48%),0.00%
Other Non Operating Income (Expenses),,,,(46.00%),0.00%
"EBT, Excl. Unusual Items",17.58%,8.63%,6.06%,(17.67%),0.00%
"EBT, Incl. Unusual Items",21.15%,10.90%,0.63%,(27.53%),0.00%
Income Tax Expense,,,(4.23%),(32.77%),0.00%
Earnings From Continuing Operations,223.98%,(50.67%),2.10%,(26.05%),0.00%
Net Income to Company,223.98%,(50.67%),2.10%,(26.05%),0.00%
Net Income,223.98%,(50.67%),2.10%,(26.05%),0.00%
Preferred Dividend and Other Adjustments,(20.00%),50.00%,(16.67%),(40.00%),0.00%
NI to Common Incl Extra Items,224.71%,(50.74%),2.14%,(26.02%),0.00%
NI to Common Excl. Extra Items,224.71%,(50.74%),2.14%,(26.02%),0.00%
Revenue Per Share,8.96%,12.58%,3.99%,(10.58%),0.00%
Basic EPS,231.43%,(48.94%),7.73%,(23.66%),0.00%
Basic EPS - Continuing Ops,231.43%,(48.94%),7.73%,(23.66%),0.00%
Basic Weighted Average Shares Outst.,(2.07%),(3.53%),(5.20%),(3.10%),0.00%
Diluted EPS,231.11%,(48.89%),7.77%,(23.54%),0.00%
Diluted EPS - Continuing Ops,231.11%,(48.89%),7.77%,(23.54%),0.00%
Diluted Weighted Average Shares Outst.,(1.93%),(3.48%),(5.21%),(3.39%),0.00%
Normalized Basic EPS,20.07%,12.63%,11.92%,(14.99%),0.00%
Normalized Diluted EPS,19.93%,12.48%,11.84%,(14.77%),0.00%
Dividend Per Share,3.39%,24.59%,18.42%,4.44%,0.00%
Payout Ratio,(68.78%),143.34%,10.12%,36.80%,0.00%
EBITDA,13.18%,10.31%,1.31%,(10.77%),0.00%
EBITA,16.66%,12.10%,0.80%,(14.17%),0.00%
EBIT,16.66%,12.10%,0.80%,(14.17%),0.00%
EBITDAR,9.43%,13.70%,(0.09%),(10.03%),
Effective Tax Rate,,,(4.85%),(7.24%),0.00%
Normalized Net Income,17.58%,8.63%,6.06%,(17.67%),0.00%
Interest Capitalized,0.00%,(15.00%),(5.88%),(12.50%),
