Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5709.2,6175.5,7004.3,7220.8,7328.9,7736.9
Other Revenues,123.7,144.7,182.8,204.7,233.9,280.6
Total Revenues,5832.9,6320.2,7187.1,7425.6,7562.8,8017.5
Cost Of Revenues,4768.2,5058.0,5774.5,5927.9,5988.7,6274.7
Gross Profit,1064.8,1262.2,1412.6,1497.7,1574.1,1742.8
Selling General & Admin Expenses,382.5,392.3,428.9,447.5,431.0,442.3
Total Operating Expenses,382.5,392.3,428.9,447.5,431.0,442.3
Operating Income,682.3,869.9,983.8,1050.1,1143.1,1300.5
Interest Expense,(20.6),(23.0),(24.0),(24.3),(39.5),(46.3)
Net Interest Expenses,(20.6),(23.0),(24.0),(24.3),(39.5),(46.3)
"EBT, Excl. Unusual Items",661.7,846.9,959.7,1025.8,1103.6,1254.3
"EBT, Incl. Unusual Items",661.7,846.9,959.7,1025.8,1078.0,1228.7
Income Tax Expense,236.4,309.4,162.5,147.3,176.8,254.4
Earnings From Continuing Operations,425.3,537.5,797.2,878.5,901.2,974.3
Net Income to Company,425.3,537.5,797.2,878.5,901.2,974.3
Net Income,425.3,537.5,797.2,878.5,901.2,974.3
NI to Common Incl Extra Items,425.3,537.5,797.2,878.5,901.2,974.3
NI to Common Excl. Extra Items,425.3,537.5,797.2,878.5,901.2,974.3
Revenue Per Share,"$1,516.23","$1,693.07","$1,979.37","$2,039.44","$2,048.43","$2,170.12"
Basic EPS,$110.54,$143.99,$219.55,$241.29,$244.11,$263.72
Basic EPS - Continuing Ops,$110.54,$143.99,$219.55,$241.29,$244.11,$263.72
Basic Weighted Average Shares Outst.,3.8,3.7,3.6,3.6,3.7,3.7
Diluted EPS,$103.61,$126.77,$194.80,$221.13,$230.11,$248.33
Diluted EPS - Continuing Ops,$103.61,$126.77,$194.80,$221.13,$230.11,$248.33
Diluted Weighted Average Shares Outst.,4.1,4.2,4.1,4.0,3.9,3.9
Normalized Basic EPS,$107.50,$141.79,$165.20,$176.08,$186.83,$212.18
Normalized Diluted EPS,$100.77,$124.84,$146.59,$161.37,$176.10,$199.79
EBITDA,704.6,892.6,1003.9,1070.9,1165.1,1322.4
EBITA,682.3,869.9,983.8,1050.1,1143.1,1300.5
EBIT,682.3,869.9,983.8,1050.1,1143.1,1300.5
EBITDAR,750.4,942.0,1056.8,1128.8,1221.1,
Effective Tax Rate,35.7%,36.5%,16.9%,14.4%,16.4%,20.7%
Normalized Net Income,413.6,529.3,599.8,641.1,689.8,783.9
Interest Capitalized,26.0,26.4,26.3,26.5,41.3,
Interest on Long-Term Debt,,,1.2,1.2,0.7,
