Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.17%,13.42%,3.09%,1.50%,8.46%
Other Revenues,16.97%,26.33%,12.00%,14.24%,50.08%
Total Revenues,8.35%,13.72%,3.32%,1.85%,9.52%
Cost Of Revenues,6.08%,14.16%,2.66%,1.03%,6.62%
Gross Profit,18.54%,11.92%,6.02%,5.10%,21.44%
Selling General & Admin Expenses,2.57%,9.33%,4.35%,(3.70%),0.06%
Total Operating Expenses,2.57%,9.33%,4.35%,(3.70%),0.06%
Operating Income,27.50%,13.08%,6.75%,8.85%,30.95%
Interest Expense,(11.72%),(4.34%),(1.24%),(62.15%),(88.35%)
Net Interest Expenses,(11.72%),(4.34%),(1.24%),(62.15%),(88.35%)
"EBT, Excl. Unusual Items",27.99%,13.32%,6.88%,7.59%,29.50%
"EBT, Incl. Unusual Items",27.99%,13.32%,6.88%,5.09%,26.85%
Income Tax Expense,30.86%,(47.47%),(9.40%),20.05%,147.60%
Earnings From Continuing Operations,26.40%,48.31%,10.20%,2.58%,12.53%
Net Income to Company,26.40%,48.31%,10.20%,2.58%,12.53%
Net Income,26.40%,48.31%,10.20%,2.58%,12.53%
NI to Common Incl Extra Items,26.40%,48.31%,10.20%,2.58%,12.53%
NI to Common Excl. Extra Items,26.40%,48.31%,10.20%,2.58%,12.53%
Revenue Per Share,11.66%,16.91%,3.03%,0.44%,8.35%
Basic EPS,30.26%,52.48%,9.90%,1.17%,11.32%
Basic EPS - Continuing Ops,30.26%,52.48%,9.90%,1.17%,11.32%
Basic Weighted Average Shares Outst.,(2.96%),(2.73%),0.28%,1.40%,1.08%
Diluted EPS,22.35%,53.66%,13.52%,4.06%,13.61%
Diluted EPS - Continuing Ops,22.35%,53.66%,13.52%,4.06%,13.61%
Diluted Weighted Average Shares Outst.,3.31%,(3.49%),(2.91%),(1.41%),(0.95%)
Normalized Basic EPS,31.90%,16.51%,6.59%,6.10%,28.11%
Normalized Diluted EPS,23.89%,17.42%,10.08%,9.13%,30.74%
EBITDA,26.69%,12.47%,6.67%,8.79%,30.35%
EBITA,27.50%,13.08%,6.75%,8.85%,30.95%
EBIT,27.50%,13.08%,6.75%,8.85%,30.95%
EBITDAR,25.54%,12.19%,6.81%,8.18%,
Effective Tax Rate,2.24%,(53.64%),(15.26%),14.20%,95.19%
Normalized Net Income,27.99%,13.32%,6.88%,7.59%,29.50%
Interest Capitalized,1.67%,(0.41%),0.71%,56.17%,
Interest on Long-Term Debt,,,(3.09%),(36.50%),
