Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,21.67%,(9.10%),(4.32%),(3.40%),0.00%
Total Revenues,21.67%,(9.10%),(4.32%),(3.40%),0.00%
Cost Of Revenues,24.38%,(9.84%),(2.35%),(2.75%),0.00%
Gross Profit,16.75%,(7.68%),(8.04%),(4.70%),0.00%
Selling General & Admin Expenses,11.11%,(9.40%),(8.71%),(8.17%),0.00%
R&D Expenses,19.05%,(13.71%),(1.32%),(3.36%),0.00%
Total Operating Expenses,11.56%,(9.66%),(8.29%),(7.87%),0.00%
Operating Income,37.49%,(1.25%),(7.33%),4.62%,0.00%
Interest Expense,(13.99%),-6.26%,-32.06%,-9.57%,0.00%
Net Interest Expenses,(13.99%),-6.26%,-32.06%,-9.57%,0.00%
Currency Exchange Gains (Loss),(270.97%),-30.43%,(62.50%),(30.77%),0.00%
Other Non Operating Income (Expenses),(73.26%),(74.03%),,,0.00%
"EBT, Excl. Unusual Items",60.02%,3.92%,15.40%,13.55%,0.00%
"EBT, Incl. Unusual Items","4,789.89%",,-89.34%,(18.08%),0.00%
Income Tax Expense,,-10.30%,-23.62%,-77.26%,0.00%
Earnings From Continuing Operations,,,,,0.00%
Earnings Of Discontinued Operations,(44.44%),,-74.43%,,
Net Income to Company,420.80%,,,,0.00%
Net Income,420.80%,,,,0.00%
NI to Common Incl Extra Items,420.80%,,,,0.00%
NI to Common Excl. Extra Items,,,,,0.00%
Revenue Per Share,5.33%,(6.60%),7.05%,(3.58%),0.00%
Basic EPS,351.83%,,,,0.00%
Basic EPS - Continuing Ops,,,,,0.00%
Basic Weighted Average Shares Outst.,15.52%,(2.67%),(10.64%),0.19%,0.00%
Diluted EPS,350.76%,,,,0.00%
Diluted EPS - Continuing Ops,,,,,0.00%
Diluted Weighted Average Shares Outst.,15.83%,(2.93%),(10.51%),0.05%,0.00%
Normalized Basic EPS,37.83%,6.28%,30.04%,13.52%,0.00%
Normalized Diluted EPS,37.47%,6.28%,29.85%,13.52%,0.00%
Dividend Per Share,15.79%,4.55%,0.00%,0.00%,0.00%
Payout Ratio,(74.96%),,,,0.00%
EBITDA,44.54%,(3.03%),0.71%,(4.02%),0.00%
EBITA,41.98%,(2.38%),(5.76%),0.30%,0.00%
EBIT,37.49%,(1.25%),(7.33%),4.62%,0.00%
EBITDAR,42.43%,(2.52%),1.01%,(5.26%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,60.02%,3.92%,15.40%,13.55%,0.00%
R&D Expense From Footnotes,19.05%,(13.71%),(1.32%),(3.36%),0.00%
Foreign Sales,27.42%,(7.12%),(3.83%),(2.89%),
