Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10090.0,12508.0,17824.0,20911.0,17809.0,17809.0
Total Revenues,10090.0,12508.0,17824.0,20911.0,17809.0,17809.0
Cost Of Revenues,5189.0,5594.0,6568.0,8387.0,8468.0,8468.0
Gross Profit,4901.0,6914.0,11256.0,12524.0,9341.0,9341.0
Selling General & Admin Expenses,1330.0,546.0,585.0,893.0,864.0,864.0
Depreciation & Amortization,4268.0,4002.0,3977.0,6140.0,8097.0,8097.0
Other Operating Expense/(Income),277.0,1189.0,1467.0,2212.0,1484.0,1484.0
Total Operating Expenses,6478.0,6220.0,6555.0,9777.0,17676.0,17676.0
Operating Income,"(1,577.0)",694.0,4701.0,2747.0,"(8,335.0)","(8,335.0)"
Interest Expense,(275.0),(324.0),(356.0),(880.0),"(1,852.0)","(1,852.0)"
Interest And Investment Income,106.0,99.0,136.0,217.0,118.0,118.0
Net Interest Expenses,(169.0),(225.0),(220.0),(663.0),"(1,734.0)","(1,734.0)"
Other Non Operating Income (Expenses),(17.0),(45.0),(178.0),12.0,(153.0),(153.0)
"EBT, Excl. Unusual Items","(1,582.0)",781.0,4634.0,2469.0,"(9,852.0)","(9,852.0)"
"EBT, Incl. Unusual Items","(1,664.0)",1328.0,5608.0,354.0,"(15,705.0)","(15,705.0)"
Income Tax Expense,(662.0),17.0,1477.0,861.0,"(2,172.0)","(2,172.0)"
Earnings From Continuing Operations,"(1,002.0)",1311.0,4131.0,(507.0),"(13,533.0)","(13,533.0)"
Earnings Of Discontinued Operations,428.0,,,(15.0),"(1,298.0)","(1,298.0)"
Net Income to Company,(574.0),1311.0,4131.0,(522.0),"(14,831.0)","(14,831.0)"
Minority Interest,,,,(145.0),,
Net Income,(574.0),1311.0,4131.0,(667.0),"(14,831.0)","(14,831.0)"
Preferred Dividend and Other Adjustments,,6.0,17.0,318.0,844.0,844.0
NI to Common Incl Extra Items,(574.0),1305.0,4114.0,(985.0),"(15,675.0)","(15,675.0)"
NI to Common Excl. Extra Items,"(1,002.0)",1305.0,4114.0,(970.0),"(14,377.0)","(14,377.0)"
Revenue Per Share,$13.21,$16.35,$23.40,$25.83,$19.39,$19.39
Basic EPS,($0.75),$1.71,$5.40,($1.22),($17.06),($17.06)
Basic EPS - Continuing Ops,($1.31),$1.71,$5.40,($1.20),($15.65),($15.65)
Basic Weighted Average Shares Outst.,763.8,765.1,761.7,809.5,918.7,918.7
Diluted EPS,($0.75),$1.70,$5.39,($1.22),($17.06),($17.06)
Diluted EPS - Continuing Ops,($1.31),$1.70,$5.39,($1.20),($15.65),($15.65)
Diluted Weighted Average Shares Outst.,763.8,765.9,763.3,809.5,918.7,918.7
Normalized Basic EPS,($1.29),$0.64,$3.80,$1.73,($6.70),($6.70)
Normalized Diluted EPS,($1.29),$0.64,$3.79,$1.73,($6.70),($6.70)
Dividend Per Share,$3.02,$3.06,$3.10,$3.14,$0.82,$0.82
Payout Ratio,NM,178.95%,57.47%,NM,NM,NM
EBITDA,2691.0,5097.0,9094.0,9172.0,6861.0,6861.0
EBITA,"(1,577.0)",694.0,4701.0,2747.0,"(8,335.0)","(8,335.0)"
EBIT,"(1,577.0)",694.0,4701.0,2747.0,"(8,335.0)","(8,335.0)"
EBITDAR,2928.0,,,9655.0,7525.0,7525.0
Effective Tax Rate,NM,1.3%,26.3%,243.2%,NM,NM
Normalized Net Income,(988.8),488.1,2896.3,1398.1,"(6,157.5)","(6,157.5)"
Interest Capitalized,,52.0,46.0,89.0,83.0,83.0
Interest on Long-Term Debt,292.0,345.0,389.0,1066.0,1424.0,1424.0
Foreign Sales,3800.0,,,5129.0,3721.0,3721.0
