Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,14.65%,9.01%,12.35%,10.42%,0.00%
Other Revenue,30.40%,81.74%,7.64%,78.53%,0.00%
Total Revenues,10.21%,9.22%,12.33%,10.73%,0.00%
Property Expenses,10.52%,(4.54%),33.56%,18.08%,0.00%
Selling General & Admin Exp.,12.47%,12.06%,1.51%,4.92%,0.00%
Depreciation & Amortization,10.86%,8.22%,10.04%,13.99%,0.00%
Total Operating Expenses,10.97%,7.16%,11.53%,13.67%,0.00%
Operating Income,9.41%,11.40%,13.15%,7.77%,0.00%
Total Interest Expense,(12.47%),(7.52%),(9.39%),(6.30%),0.00%
Net Interest Expenses,(12.47%),(7.52%),(9.39%),(6.30%),0.00%
"EBT, Excl. Unusual Items",7.29%,14.22%,16.30%,9.18%,0.00%
Gain (Loss) on Sale of Assets,86.08%,(39.75%),21.72%,154.14%,0.00%
Asset Writedown,-28.61%,(78.08%),(52.98%),(266.38%),0.00%
Other Unusual Items,,-56.04%,,,0.00%
"EBT, Incl. Unusual Items",1.76%,13.70%,19.92%,(7.31%),0.00%
Income Tax Expense,85.29%,(11.65%),15.32%,138.60%,0.00%
Earnings From Continuing Operations,0.90%,14.18%,19.99%,(9.37%),0.00%
Net Income to Company,0.90%,14.18%,19.99%,(9.37%),0.00%
Minority Interest,-42.60%,(89.23%),(1.22%),(2.41%),0.00%
Net Income,1.02%,14.06%,20.04%,(9.39%),0.00%
Pref. Dividends and Other Adj.,(36.17%),,,,
NI to Common Incl Extra Items,4.51%,20.60%,20.04%,(9.39%),0.00%
NI to Common Excl. Extra Items,4.51%,20.60%,20.04%,(9.39%),0.00%
Revenue Per Share,2.67%,3.10%,2.89%,1.34%,0.00%
Basic EPS,(2.43%),14.21%,9.68%,(17.00%),0.00%
Basic EPS - Continuing Ops,(2.43%),14.21%,9.68%,(17.00%),0.00%
Basic Weighted Average Shares Outst.,7.21%,5.84%,9.12%,9.32%,0.00%
Diluted EPS,(2.65%),14.21%,9.52%,(17.39%),0.00%
Diluted EPS - Continuing Ops,(2.65%),14.21%,9.52%,(17.39%),0.00%
Diluted Weighted Average Shares Outst.,7.16%,5.84%,9.05%,9.25%,0.00%
Normalized Basic EPS,(0.14%),7.60%,6.54%,0.44%,0.00%
Normalized Diluted EPS,(0.31%),7.41%,6.43%,0.40%,0.00%
Dividend Per Share,5.71%,3.90%,2.92%,2.98%,0.00%
Payout Ratio,7.97%,(3.99%),(6.79%),24.87%,0.00%
FFO,5.07%,16.90%,15.09%,9.86%,0.00%
FFO Payout Ratio %,7.46%,(5.49%),(2.79%),2.99%,0.00%
FFO (Diluted),4.98%,16.88%,15.14%,9.85%,0.00%
AFFO,13.89%,10.25%,13.57%,11.68%,
Funds Available for Distribution,13.89%,10.25%,13.57%,11.68%,
AFFO (Diluted),13.82%,10.20%,13.61%,11.66%,0.00%
FFO Per Share (Basic),(1.74%),10.25%,5.45%,0.61%,0.00%
FFO Shares (Basic),7.21%,5.84%,9.12%,9.32%,0.00%
FFO Per Share (Diluted),(2.08%),10.64%,5.45%,0.61%,0.00%
FFO Shares (Diluted),7.08%,5.84%,9.20%,9.25%,0.00%
Adjusted FFO Per Share (Basic),6.23%,3.91%,4.08%,2.41%,
Adjusted FFO Per Share (Diluted),6.25%,4.25%,4.08%,2.11%,0.00%
EBITDA,10.45%,10.08%,11.79%,10.65%,0.00%
EBITA,10.31%,10.15%,12.08%,9.60%,0.00%
EBIT,9.41%,11.40%,13.15%,7.77%,0.00%
Effective Tax Rate,82.12%,(22.40%),(3.61%),157.06%,0.00%
Normalized Net Income,7.52%,14.03%,16.36%,9.20%,0.00%
Interest Capitalized,(1.71%),,,,
Interest on Long-Term Debt,"2,269.34%",9.31%,7.18%,5.94%,
Foreign Sales,,,,154.27%,
