Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,329.1,433.0,566.3,737.7,841.4,841.4
Total Revenues,329.1,433.0,566.3,737.7,841.4,841.4
Cost Of Revenues,48.3,62.4,76.2,89.3,97.8,97.8
Gross Profit,280.9,370.6,490.1,648.3,743.7,743.7
Selling General & Admin Expenses,144.5,191.1,240.5,306.8,413.9,413.9
R&D Expenses,21.0,30.4,46.2,73.1,90.2,90.2
Depreciation & Amortization,13.6,19.4,29.7,42.2,53.4,53.4
Total Operating Expenses,179.1,240.9,316.4,422.1,557.5,557.5
Operating Income,101.7,129.7,173.7,226.2,186.1,186.1
Interest Expense,(1.0),(0.9),(0.8),(2.3),(1.4),(1.4)
Net Interest Expenses,(1.0),(0.9),(0.8),(2.3),(1.4),(1.4)
Other Non Operating Income (Expenses),0.2,(0.1),1.8,2.2,1.2,1.2
"EBT, Excl. Unusual Items",100.9,128.7,174.7,226.1,185.9,185.9
"EBT, Incl. Unusual Items",101.0,127.7,174.7,226.1,185.9,185.9
Income Tax Expense,30.6,4.2,37.6,45.5,42.5,42.5
Earnings From Continuing Operations,70.4,123.5,137.1,180.6,143.5,143.5
Net Income to Company,70.4,123.5,137.1,180.6,143.5,143.5
Net Income,70.4,123.5,137.1,180.6,143.5,143.5
Preferred Dividend and Other Adjustments,0.5,0.3,0.2,0.1,,
NI to Common Incl Extra Items,69.9,123.2,136.9,180.5,143.5,143.5
NI to Common Excl. Extra Items,69.9,123.2,136.9,180.5,143.5,143.5
Revenue Per Share,$5.72,$7.49,$9.81,$12.82,$14.60,$14.60
Basic EPS,$1.21,$2.13,$2.37,$3.14,$2.49,$2.49
Basic EPS - Continuing Ops,$1.21,$2.13,$2.37,$3.14,$2.49,$2.49
Basic Weighted Average Shares Outst.,57.6,57.8,57.7,57.6,57.6,57.6
Diluted EPS,$1.19,$2.10,$2.34,$3.09,$2.46,$2.46
Diluted EPS - Continuing Ops,$1.19,$2.10,$2.34,$3.09,$2.46,$2.46
Diluted Weighted Average Shares Outst.,59.0,58.8,58.6,58.4,58.3,58.3
Normalized Basic EPS,$1.10,$1.39,$1.89,$2.45,$2.02,$2.02
Normalized Diluted EPS,$1.07,$1.37,$1.86,$2.42,$1.99,$1.99
EBITDA,111.8,142.1,190.9,249.4,212.4,212.4
EBITA,103.3,130.6,173.9,226.4,186.3,186.3
EBIT,101.7,129.7,173.7,226.2,186.1,186.1
EBITDAR,117.4,148.2,198.5,259.5,223.7,223.7
Effective Tax Rate,30.3%,3.3%,21.5%,20.1%,22.8%,22.8%
Normalized Net Income,63.1,80.4,109.2,141.3,116.2,116.2
Interest Capitalized,0.4,0.8,0.8,0.6,1.5,1.5
R&D Expense From Footnotes,21.0,30.4,46.2,73.1,90.2,90.2
