Income Statement,May 2016,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,2905.8,3102.4,3314.2,3691.9,3953.6,3872.6
Other Revenues,46.1,50.6,63.5,80.6,86.9,70.1
Total Revenues,2951.9,3153.0,3377.7,3772.5,4040.5,3942.7
Cost Of Revenues,857.1,919.4,1018.2,1177.8,1280.8,1247.1
Gross Profit,2094.8,2233.6,2359.5,2594.7,2759.7,2695.6
Selling General & Admin Expenses,948.2,979.7,1068.0,1218.1,1299.2,1289.1
Total Operating Expenses,948.2,979.7,1068.0,1218.1,1299.2,1289.1
Operating Income,1146.6,1253.9,1291.5,1376.6,1460.5,1406.5
Interest Expense,(1.1),(2.5),(3.9),(17.6),(38.8),(35.9)
Interest And Investment Income,5.6,9.9,11.9,13.3,12.3,2.8
Net Interest Expenses,4.5,7.4,8.0,(4.3),(26.5),(33.1)
Other Non Operating Income (Expenses),,,0.5,1.0,(8.2),(3.4)
"EBT, Excl. Unusual Items",1151.1,1259.1,1300.0,1373.3,1425.8,1370.0
"EBT, Incl. Unusual Items",1151.1,1259.1,1300.1,1368.0,1437.1,1379.9
Income Tax Expense,394.3,432.8,306.0,333.6,339.0,324.7
Earnings From Continuing Operations,756.8,826.3,994.1,1034.4,1098.1,1055.2
Net Income to Company,756.8,826.3,994.1,1034.4,1098.1,1055.2
Net Income,756.8,826.3,994.1,1034.4,1098.1,1055.2
NI to Common Incl Extra Items,756.8,826.3,994.1,1034.4,1098.1,1055.2
NI to Common Excl. Extra Items,756.8,826.3,994.1,1034.4,1098.1,1055.2
Revenue Per Share,$8.18,$8.76,$9.41,$10.50,$11.27,$10.97
Basic EPS,$2.10,$2.30,$2.77,$2.88,$3.06,$2.94
Basic EPS - Continuing Ops,$2.10,$2.30,$2.77,$2.88,$3.06,$2.94
Basic Weighted Average Shares Outst.,360.7,359.8,359.0,359.2,358.5,359.5
Diluted EPS,$2.09,$2.28,$2.75,$2.86,$3.04,$2.92
Diluted EPS - Continuing Ops,$2.09,$2.28,$2.75,$2.86,$3.04,$2.92
Diluted Weighted Average Shares Outst.,362.5,362.6,361.5,361.8,361.0,361.7
Normalized Basic EPS,$1.99,$2.19,$2.26,$2.39,$2.49,$2.38
Normalized Diluted EPS,$1.98,$2.17,$2.25,$2.37,$2.47,$2.37
Dividend Per Share,$1.68,$1.84,$2.06,$2.30,$2.48,$2.48
Payout Ratio,80.14%,80.15%,74.41%,79.93%,80.99%,84.64%
EBITDA,1261.7,1380.8,1429.5,1558.1,1670.2,1602.8
EBITA,1162.5,1272.0,1312.6,1432.4,1542.4,1478.5
EBIT,1146.6,1253.9,1291.5,1376.6,1460.5,1406.5
EBITDAR,1301.5,1420.5,1469.4,1601.0,1717.2,
Effective Tax Rate,34.3%,34.4%,23.5%,24.4%,23.6%,23.5%
Normalized Net Income,719.4,786.9,812.5,858.3,891.1,856.3
Foreign Sales,,,,37.7,40.4,
