Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,16.18%,19.40%,23.60%,(4.37%),(12.03%)
Total Interest Income,15.53%,19.49%,20.87%,(3.51%),(10.66%)
Interest On Deposits,29.53%,65.34%,65.16%,(47.55%),(63.06%)
Total Interest On Borrowings,31.37%,46.35%,7.39%,(53.53%),(66.97%)
Total Interest Expense,30.17%,58.64%,46.36%,(48.98%),(63.98%)
Net Interest Income,13.20%,12.31%,14.26%,11.58%,6.11%
Trust Income,26.33%,17.28%,(1.84%),0.00%,15.51%
Gain (Loss) on Sale of Assets,,,,596.33%,596.33%
Gain (Loss) on Sale of Invest. & Securities,,-63.78%,,,
Total Other Non Interest Income,6.91%,(6.25%),15.99%,(2.03%),(21.99%)
Total Non Interest Income,3.14%,4.09%,17.06%,13.03%,(0.11%)
Revenue Before Loan Losses,10.58%,10.32%,14.90%,11.92%,4.64%
Provision For Loan Losses,(28.96%),15.38%,(5.67%),450.53%,93.42%
Total Revenues,11.72%,10.23%,15.30%,5.07%,1.98%
Salaries And Other Employee Benefits,11.27%,8.47%,13.12%,6.35%,4.51%
Amort. of Goodwill & Intang. Assets,27.12%,(27.33%),49.08%,25.54%,12.60%
Occupancy Expense,7.17%,7.11%,12.60%,7.43%,1.81%
Total Selling General & Admin Expenses,5.63%,9.82%,6.78%,3.37%,(5.91%)
Total Other Non Interest Expense,(14.76%),13.70%,17.09%,(9.39%),(9.78%)
Total Non Interest Expense,7.67%,7.05%,11.05%,5.58%,1.30%
"EBT, Excl. Unusual Items",20.18%,16.19%,22.63%,4.27%,3.05%
"EBT, Incl. Unusual Items",14.07%,23.38%,13.20%,(46.57%),(45.91%)
Income Tax Expense,1.09%,(16.71%),22.00%,(2.27%),(5.01%)
Earnings From Continuing Operations,20.00%,38.82%,11.17%,(57.80%),(56.42%)
Net Income to Company,20.00%,38.82%,11.17%,(57.80%),(56.42%)
Net Income,20.00%,38.82%,11.17%,(57.80%),(56.42%)
Preferred Dividend and Other Adjustments,440.74%,(2.05%),0.00%,(1.40%),(1.40%)
Net Income to Common Incl Extra Items,15.92%,40.67%,11.52%,(59.40%),(57.92%)
Net Income to Common Excl. Extra Items,15.92%,40.67%,11.52%,(59.40%),(57.92%)
Revenue Per Share,2.58%,4.56%,1.80%,(1.48%),(0.49%)
Basic EPS,6.16%,33.03%,(1.19%),(61.80%),(58.94%)
Basic EPS - Continuing Ops,6.16%,33.03%,(1.19%),(61.80%),(58.94%)
Basic Weighted Average Shares Outst.,8.97%,5.39%,13.19%,6.68%,2.48%
Diluted EPS,5.43%,32.99%,(1.55%),(61.50%),(58.84%)
Diluted EPS - Continuing Ops,5.43%,32.99%,(1.55%),(61.50%),(58.84%)
Diluted Weighted Average Shares Outst.,9.51%,5.65%,12.94%,6.39%,2.37%
Normalized Basic EPS,10.42%,10.08%,8.84%,(2.16%),0.56%
Normalized Diluted EPS,9.55%,10.12%,9.02%,(1.82%),0.66%
Dividend Per Share,1.10%,1.09%,1.07%,1.06%,1.41%
Payout Ratio,(2.81%),(23.23%),0.75%,161.03%,
Effective Tax Rate,(11.38%),(32.49%),7.79%,82.92%,75.60%
Normalized Net Income,20.18%,16.19%,22.63%,4.27%,3.05%
Interest on Long-Term Debt,21.34%,43.00%,(3.19%),(46.47%),
