Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,(6.21%),(15.93%),4.82%,10.53%,0.00%
Other Revenue,(23.67%),(72.49%),0.08%,202.43%,0.00%
Total Revenues,(13.19%),(35.55%),4.11%,32.61%,0.00%
Property Expenses,(9.89%),(43.67%),7.22%,95.20%,0.00%
Selling General & Admin Exp.,(9.15%),7.90%,(2.89%),7.91%,0.00%
Depreciation & Amortization,(5.88%),(24.32%),7.54%,27.29%,0.00%
Total Operating Expenses,1.97%,(38.98%),6.28%,55.93%,0.00%
Operating Income,(43.09%),(23.43%),(1.98%),(38.57%),0.00%
Total Interest Expense,-33.74%,-15.09%,-16.71%,(0.33%),0.00%
Net Interest Expenses,-33.74%,-15.09%,-16.71%,(0.33%),0.00%
Other Non Operating Income,,,,,0.00%
"EBT, Excl. Unusual Items",(61.70%),(52.26%),46.02%,,0.00%
Gain (Loss) on Sale of Assets,85.58%,172.01%,,,0.00%
Asset Writedown,,,(62.21%),(92.28%),0.00%
Other Unusual Items,(26.90%),-31.39%,(28.60%),-55.00%,0.00%
"EBT, Incl. Unusual Items",11.27%,97.68%,(79.59%),(11.12%),0.00%
Income Tax Expense,,(229.78%),(24.64%),(71.98%),0.00%
Earnings From Continuing Operations,12.95%,98.10%,(79.04%),(8.53%),0.00%
Net Income to Company,(33.96%),153.98%,(94.40%),612.22%,0.00%
Minority Interest,-30.50%,(45.23%),(18.42%),-1.13%,0.00%
Net Income,(34.02%),156.20%,(95.71%),808.33%,0.00%
Pref. Dividends and Other Adj.,(3.51%),130.88%,(42.19%),56.58%,0.00%
NI to Common Incl Extra Items,(34.08%),156.27%,(95.84%),834.70%,0.00%
NI to Common Excl. Extra Items,14.47%,99.09%,(80.62%),(9.83%),0.00%
Revenue Per Share,(13.53%),(35.74%),0.82%,21.58%,0.00%
Basic EPS,(34.25%),155.61%,(95.98%),761.04%,0.00%
Basic EPS - Continuing Ops,14.43%,98.57%,(81.27%),(17.93%),0.00%
Basic Weighted Average Shares Outst.,0.33%,0.38%,3.34%,9.11%,0.00%
Diluted EPS,(34.33%),155.61%,(95.98%),759.58%,0.00%
Diluted EPS - Continuing Ops,14.29%,98.57%,(81.27%),(18.18%),0.00%
Diluted Weighted Average Shares Outst.,0.33%,1.38%,2.93%,8.53%,0.00%
Normalized Basic EPS,(64.75%),(67.12%),56.84%,,0.00%
Normalized Diluted EPS,(64.77%),(67.45%),55.85%,,0.00%
Dividend Per Share,(29.52%),0.00%,0.00%,0.00%,0.00%
Payout Ratio,7.53%,(60.86%),"2,308.11%",(87.97%),0.00%
FFO,(40.93%),18.01%,0.02%,(11.14%),0.00%
FFO Payout Ratio %,20.09%,(15.02%),3.31%,23.00%,0.00%
FFO (Diluted),,,,(11.04%),0.00%
AFFO,(28.38%),(6.66%),0.83%,1.14%,
Funds Available for Distribution,(33.89%),(7.13%),(0.08%),3.60%,0.00%
AFFO (Diluted),(28.58%),(7.35%),1.60%,1.14%,0.00%
FFO Per Share (Diluted),(41.00%),17.73%,(4.22%),(18.24%),0.00%
FFO Shares (Diluted),(0.56%),0.38%,5.02%,8.54%,0.00%
Adjusted FFO Per Share (Diluted),(28.83%),(6.67%),(3.30%),(6.82%),0.00%
EBITDA,(26.53%),(24.00%),2.99%,(0.63%),0.00%
EBITA,(39.52%),(27.29%),(1.21%),(23.36%),0.00%
EBIT,(43.09%),(23.43%),(1.98%),(38.57%),0.00%
EBITDAR,(26.04%),(23.98%),3.12%,(0.39%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,(64.13%),(66.95%),64.29%,,0.00%
Interest Capitalized,52.48%,24.32%,44.66%,(11.22%),
