Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8966.0,9094.0,9696.0,10076.0,9603.0,9603.0
Total Revenues,8966.0,9094.0,9696.0,10076.0,9603.0,9603.0
Fuel & Purchased Power,2839.0,2778.0,3225.0,3372.0,3056.0,3056.0
Operations And Maintenance,2909.0,2870.0,3039.0,3062.0,3080.0,3080.0
Depreciation & Amortization,905.0,1022.0,1158.0,1248.0,1285.0,1285.0
Other Operating Expenses,51.0,31.0,(46.0),(144.0),(214.0),(214.0)
Total Operating Expenses,6704.0,6701.0,7376.0,7538.0,7207.0,7207.0
Operating Income,2262.0,2393.0,2320.0,2538.0,2396.0,2396.0
"Interest Expense, Total",(385.0),(391.0),(476.0),(569.0),(600.0),(600.0)
Interest and Investment Income,65.0,66.0,70.0,73.0,67.0,67.0
Net Interest Expenses,(320.0),(325.0),(406.0),(496.0),(533.0),(533.0)
Other Non-Operating Inc. (Exp.),37.0,16.0,15.0,52.0,48.0,48.0
"EBT, Excl. Unusual Items",1990.0,2098.0,1944.0,2108.0,1925.0,1925.0
Impairment of Goodwill,,,,(16.0),,
Gain (Loss) on Sale of Assets,,,54.0,(402.0),123.0,123.0
"EBT, Incl. Unusual Items",1298.0,1268.0,1855.0,1950.0,2301.0,2301.0
Income Tax Expense,411.0,(306.0),417.0,257.0,396.0,396.0
Earnings From Continuing Operations,887.0,1574.0,1438.0,1693.0,1905.0,1905.0
Net Income to Company,887.0,1574.0,1438.0,1693.0,1905.0,1905.0
Net Income,887.0,1574.0,1438.0,1693.0,1905.0,1905.0
NI to Common Incl Extra Items,887.0,1574.0,1438.0,1693.0,1905.0,1905.0
NI to Common Excl. Extra Items,887.0,1574.0,1438.0,1693.0,1905.0,1905.0
Revenue Per Share,$17.75,$18.01,$19.24,$19.99,$19.05,$19.05
Basic EPS,$1.76,$3.12,$2.85,$3.36,$3.78,$3.78
Basic EPS - Continuing Ops,$1.76,$3.12,$2.85,$3.36,$3.78,$3.78
Basic Weighted Average Shares Outst.,505.0,505.0,504.0,504.0,504.0,504.0
Diluted EPS,$1.75,$3.10,$2.83,$3.33,$3.76,$3.76
Diluted EPS - Continuing Ops,$1.75,$3.10,$2.83,$3.33,$3.76,$3.76
Diluted Weighted Average Shares Outst.,508.0,507.0,507.0,507.0,507.0,507.0
Normalized Basic EPS,$2.46,$2.60,$2.41,$2.61,$2.39,$2.39
Normalized Diluted EPS,$2.45,$2.59,$2.40,$2.60,$2.37,$2.37
Dividend Per Share,$1.64,$1.72,$1.80,$1.88,$1.96,$1.96
Payout Ratio,93.57%,55.27%,63.28%,56.11%,52.02%,52.02%
EBITDA,3370.0,3614.0,3665.0,3964.0,3865.0,3865.0
EBITA,2262.0,2393.0,2320.0,2538.0,2396.0,2396.0
EBIT,2262.0,2393.0,2320.0,2538.0,2396.0,2396.0
EBITDAR,,,,4062.0,3995.0,3995.0
Effective Tax Rate,31.7%,NM,22.5%,13.2%,17.2%,17.2%
Normalized Net Income,1243.8,1311.3,1215.0,1317.5,1203.1,1203.1
Interest Capitalized,120.0,151.0,137.0,108.0,122.0,122.0
