Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.43%,13.09%,50.16%,(32.50%),0.00%
Total Revenues,3.43%,13.09%,50.16%,(32.50%),0.00%
Cost Of Revenues,2.58%,11.41%,45.38%,(36.84%),0.00%
Gross Profit,4.59%,15.34%,56.33%,(27.27%),0.00%
Selling General & Admin Expenses,12.96%,18.58%,101.16%,(6.86%),0.00%
Depreciation & Amortization,(1.52%),0.71%,53.98%,(11.47%),0.00%
Total Operating Expenses,7.60%,12.53%,86.86%,(8.01%),0.00%
Operating Income,0.52%,19.40%,14.81%,(69.91%),0.00%
Interest Expense,(1.65%),(15.55%),-0.70%,(1.59%),0.00%
Interest And Investment Income,(85.12%),(72.22%),40.00%,(35.71%),0.00%
Net Interest Expenses,(6.47%),(16.23%),-0.78%,(1.68%),0.00%
Other Non Operating Income (Expenses),-64.26%,(166.67%),,,0.00%
"EBT, Excl. Unusual Items",(16.40%),32.97%,80.62%,,0.00%
"EBT, Incl. Unusual Items",,,(4.23%),,0.00%
Income Tax Expense,,-99.28%,,,0.00%
Earnings From Continuing Operations,333.08%,(80.25%),(53.90%),,0.00%
Net Income to Company,333.08%,(80.25%),(53.90%),,0.00%
Minority Interest,,,,,0.00%
Net Income,333.08%,(80.25%),(53.05%),,0.00%
NI to Common Incl Extra Items,370.35%,(80.25%),(53.05%),,0.00%
NI to Common Excl. Extra Items,370.35%,(80.25%),(53.05%),,0.00%
Revenue Per Share,(5.65%),5.88%,26.02%,(41.71%),0.00%
Basic EPS,330.41%,(81.52%),(60.48%),,0.00%
Basic EPS - Continuing Ops,330.41%,(81.52%),(60.48%),,0.00%
Basic Weighted Average Shares Outst.,9.61%,6.82%,19.16%,15.82%,0.00%
Diluted EPS,326.05%,(81.66%),(60.22%),,0.00%
Diluted EPS - Continuing Ops,326.05%,(81.66%),(60.22%),,0.00%
Diluted Weighted Average Shares Outst.,10.83%,7.39%,17.45%,13.75%,0.00%
Normalized Basic EPS,(23.46%),23.86%,51.86%,,0.00%
Normalized Diluted EPS,(24.68%),23.43%,54.48%,,0.00%
EBITDA,(0.16%),13.26%,26.24%,(49.10%),0.00%
EBITA,2.25%,18.43%,15.56%,(68.06%),0.00%
EBIT,0.52%,19.40%,14.81%,(69.91%),0.00%
EBITDAR,0.45%,14.04%,64.12%,(33.57%),
Effective Tax Rate,"21,095.90%",,,(60.37%),0.00%
Normalized Net Income,(16.40%),32.97%,81.57%,,0.00%
Interest Capitalized,100.00%,,,633.33%,
Interest on Long-Term Debt,16.42%,19.79%,(4.28%),2.31%,
