Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,62799.0,63525.0,64661.0,67161.0,70372.0,71311.0
Total Revenues,62799.0,63525.0,64661.0,67161.0,70372.0,71311.0
Cost Of Revenues,28222.0,28796.0,29381.0,29983.0,31735.0,32279.0
Gross Profit,34577.0,34729.0,35280.0,37178.0,38637.0,39032.0
Selling General & Admin Expenses,23584.0,23366.0,24227.0,25795.0,27117.0,27381.0
R&D Expenses,760.0,737.0,680.0,711.0,719.0,719.0
Other Operating Expense/(Income),4.0,(1.0),(3.0),1.0,(6.0),(7.0)
Total Operating Expenses,24348.0,24102.0,24904.0,26507.0,27830.0,28093.0
Operating Income,10229.0,10627.0,10376.0,10671.0,10807.0,10939.0
Interest Expense,"(1,342.0)","(1,151.0)","(1,219.0)",(935.0),"(1,128.0)","(1,096.0)"
Interest And Investment Income,110.0,244.0,,,,
Net Interest Expenses,"(1,232.0)",(907.0),"(1,219.0)",(935.0),"(1,128.0)","(1,096.0)"
Other Non Operating Income (Expenses),89.0,,,55.0,9.0,152.0
"EBT, Excl. Unusual Items",9086.0,9720.0,9157.0,9791.0,9688.0,9995.0
"EBT, Incl. Unusual Items",8553.0,9602.0,9189.0,9312.0,9069.0,9532.0
Income Tax Expense,2174.0,4694.0,"(3,370.0)",1959.0,1894.0,1985.0
Earnings From Continuing Operations,6379.0,4908.0,12559.0,7353.0,7175.0,7547.0
Net Income to Company,6379.0,4908.0,12559.0,7353.0,7175.0,7547.0
Minority Interest,(50.0),(51.0),(44.0),(39.0),(55.0),(51.0)
Net Income,6329.0,4857.0,12515.0,7314.0,7120.0,7496.0
Preferred Dividend and Other Adjustments,6.0,4.0,2.0,,,
NI to Common Incl Extra Items,6323.0,4853.0,12513.0,7314.0,7120.0,7496.0
NI to Common Excl. Extra Items,6323.0,4853.0,12513.0,7314.0,7120.0,7496.0
Revenue Per Share,$43.64,$44.58,$45.70,$48.01,$50.81,$51.58
Basic EPS,$4.39,$3.41,$8.84,$5.23,$5.14,$5.42
Basic EPS - Continuing Ops,$4.39,$3.41,$8.84,$5.23,$5.14,$5.42
Basic Weighted Average Shares Outst.,1439.0,1425.0,1415.0,1399.0,1385.0,1382.5
Diluted EPS,$4.36,$3.38,$8.78,$5.20,$5.12,$5.40
Diluted EPS - Continuing Ops,$4.36,$3.38,$8.78,$5.20,$5.12,$5.40
Diluted Weighted Average Shares Outst.,1452.0,1438.0,1425.0,1407.0,1392.0,1389.8
Normalized Basic EPS,$3.91,$4.23,$4.01,$4.35,$4.33,$4.48
Normalized Diluted EPS,$3.88,$4.19,$3.99,$4.32,$4.31,$4.46
Dividend Per Share,$2.96,$3.17,$3.59,$3.79,$4.02,$4.09
Payout Ratio,66.79%,92.07%,39.39%,72.52%,77.37%,74.56%
EBITDA,12383.0,12772.0,12571.0,12525.0,12725.0,12884.0
EBITA,10299.0,10695.0,10445.0,10752.0,10897.0,11029.0
EBIT,10229.0,10627.0,10376.0,10671.0,10807.0,10939.0
EBITDAR,13084.0,13514.0,13342.0,13067.0,13333.0,
Effective Tax Rate,25.4%,48.9%,NM,21.0%,20.9%,20.8%
Normalized Net Income,5628.8,6024.0,5679.1,6080.4,6000.0,6195.9
R&D Expense From Footnotes,760.0,737.0,680.0,711.0,719.0,719.0
Foreign Sales,26067.0,26979.0,27513.0,28517.0,29572.0,
