Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.88%,19.05%,(0.04%),6.97%,0.00%
Other Revenues,6.09%,6.88%,14.14%,54.49%,0.00%
Total Revenues,11.74%,18.78%,0.24%,8.06%,0.00%
Cost Of Revenues,14.26%,18.19%,0.89%,5.75%,0.00%
Gross Profit,4.34%,20.66%,(1.81%),15.54%,0.00%
Selling General & Admin Expenses,(5.86%),13.51%,3.19%,(4.14%),0.00%
Other Operating Expense/(Income),(9.57%),(69.41%),91.36%,(19.70%),0.00%
Total Operating Expenses,(5.95%),11.59%,3.75%,(4.32%),0.00%
Operating Income,14.54%,28.03%,(5.75%),31.03%,0.00%
Interest Expense,-26.68%,(22.86%),-5.50%,(627.40%),0.00%
Interest And Investment Income,(21.60%),199.29%,120.45%,(59.16%),0.00%
Net Interest Expenses,(20.24%),242.92%,131.61%,(83.97%),0.00%
"EBT, Excl. Unusual Items",14.16%,27.97%,(5.21%),29.74%,0.00%
"EBT, Incl. Unusual Items",0.53%,43.53%,(0.59%),29.05%,0.00%
Income Tax Expense,48.46%,(33.79%),(0.81%),(0.32%),0.00%
Earnings From Continuing Operations,(25.80%),128.53%,(0.52%),38.37%,0.00%
Net Income to Company,(25.80%),128.53%,(0.52%),38.37%,0.00%
Net Income,(25.80%),128.53%,(0.52%),38.37%,0.00%
Preferred Dividend and Other Adjustments,(3.18%),144.79%,(7.34%),20.08%,0.00%
NI to Common Incl Extra Items,(25.98%),128.36%,(0.45%),38.56%,0.00%
NI to Common Excl. Extra Items,(25.98%),128.36%,(0.45%),38.56%,0.00%
Revenue Per Share,24.46%,27.77%,3.55%,10.44%,0.00%
Basic EPS,(17.56%),145.83%,2.98%,41.48%,0.00%
Basic EPS - Continuing Ops,(17.56%),145.83%,2.98%,41.48%,0.00%
Basic Weighted Average Shares Outst.,(10.20%),(7.05%),(3.20%),(2.16%),0.00%
Diluted EPS,(17.55%),146.43%,2.97%,41.41%,0.00%
Diluted EPS - Continuing Ops,(17.55%),146.43%,2.97%,41.41%,0.00%
Diluted Weighted Average Shares Outst.,(10.32%),(7.15%),(3.36%),(2.14%),0.00%
Normalized Basic EPS,27.28%,37.47%,(2.10%),32.74%,0.00%
Normalized Diluted EPS,27.26%,38.04%,(1.77%),32.74%,0.00%
Dividend Per Share,0.00%,0.00%,22.22%,9.09%,0.00%
Payout Ratio,21.91%,(59.63%),18.21%,(23.08%),0.00%
EBITDA,13.49%,26.68%,(5.25%),30.69%,0.00%
EBITA,14.34%,27.69%,(5.67%),31.11%,0.00%
EBIT,14.54%,28.03%,(5.75%),31.03%,0.00%
EBITDAR,12.87%,26.23%,(4.95%),30.05%,
Effective Tax Rate,47.67%,(53.86%),(0.24%),(22.75%),0.00%
Normalized Net Income,14.16%,27.97%,(5.21%),29.74%,0.00%
Interest Capitalized,13.22%,(4.90%),(5.03%),(2.77%),
