Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5779.0,6444.9,7014.6,6964.3,6658.2,6756.7
Total Revenues,5779.0,6444.9,7014.6,6964.3,6658.2,6756.7
Cost Of Revenues,4497.9,4974.1,5369.3,5320.3,5267.8,5328.4
Gross Profit,1281.1,1470.8,1645.3,1644.0,1390.4,1428.3
Selling General & Admin Expenses,471.5,521.2,538.5,565.5,537.3,532.2
Other Operating Expense/(Income),(1.8),3.9,6.7,6.7,5.1,13.8
Total Operating Expenses,469.7,525.1,545.2,572.2,542.4,546.0
Operating Income,811.4,945.7,1100.1,1071.8,848.0,882.3
Interest Expense,(86.1),(96.9),(89.8),(85.0),(93.5),(97.4)
Net Interest Expenses,(86.1),(96.9),(89.8),(85.0),(93.5),(97.4)
Other Non Operating Income (Expenses),(5.7),(3.9),(5.3),(5.1),,
"EBT, Excl. Unusual Items",719.6,844.9,1005.0,981.7,754.5,784.9
"EBT, Incl. Unusual Items",688.5,828.6,970.5,917.0,632.7,662.2
Income Tax Expense,238.9,160.0,232.5,220.6,171.7,176.4
Earnings From Continuing Operations,449.6,668.6,738.0,696.4,461.0,485.8
Net Income to Company,449.6,668.6,738.0,696.4,461.0,485.8
Net Income,449.6,668.6,738.0,696.4,461.0,485.8
Preferred Dividend and Other Adjustments,4.4,5.6,5.7,5.2,3.6,3.7
NI to Common Incl Extra Items,445.2,663.0,732.3,691.2,457.4,482.1
NI to Common Excl. Extra Items,445.2,663.0,732.3,691.2,457.4,482.1
Revenue Per Share,$61.81,$68.93,$74.86,$74.25,$70.76,$71.66
Basic EPS,$4.76,$7.09,$7.82,$7.37,$4.86,$5.11
Basic EPS - Continuing Ops,$4.76,$7.09,$7.82,$7.37,$4.86,$5.11
Basic Weighted Average Shares Outst.,93.5,93.5,93.7,93.8,94.1,94.3
Diluted EPS,$4.75,$7.07,$7.80,$7.34,$4.84,$5.10
Diluted EPS - Continuing Ops,$4.75,$7.07,$7.80,$7.34,$4.84,$5.10
Diluted Weighted Average Shares Outst.,93.7,93.7,93.9,94.1,94.4,94.5
Normalized Basic EPS,$4.81,$5.65,$6.70,$6.54,$5.01,$5.20
Normalized Diluted EPS,$4.80,$5.64,$6.69,$6.52,$5.00,$5.19
Dividend Per Share,$2.36,$2.52,$3.00,$3.16,$3.37,$2.58
Payout Ratio,48.06%,35.54%,36.33%,42.89%,64.99%,
EBITDA,1159.3,1319.1,1486.8,1455.4,1244.7,1277.9
EBITA,838.0,981.4,1140.6,1110.4,886.4,882.3
EBIT,811.4,945.7,1100.1,1071.8,848.0,882.3
EBITDAR,1247.6,1419.7,1601.9,1558.5,1350.0,
Effective Tax Rate,34.7%,19.3%,24.0%,24.1%,27.1%,26.6%
Normalized Net Income,449.8,528.1,628.1,613.6,471.6,490.6
Interest Capitalized,2.5,2.5,4.5,3.4,3.7,
Interest on Long-Term Debt,5.8,7.9,8.5,9.1,6.8,
R&D Expense From Footnotes,13.3,12.8,14.4,16.0,15.5,15.5
Foreign Sales,289.5,390.3,487.8,394.9,318.7,
