Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.52%,8.84%,(0.72%),(4.40%),(2.63%)
Total Revenues,11.52%,8.84%,(0.72%),(4.40%),(2.63%)
Cost Of Revenues,10.59%,7.95%,(0.91%),(0.99%),(0.42%)
Gross Profit,14.81%,11.86%,(0.08%),(15.43%),(10.08%)
Selling General & Admin Expenses,10.54%,3.32%,5.01%,(4.99%),(6.43%)
Other Operating Expense/(Income),,71.79%,0.00%,(23.88%),53.33%
Total Operating Expenses,11.79%,3.83%,4.95%,(5.21%),(5.50%)
Operating Income,16.55%,16.33%,(2.57%),(20.88%),(12.70%)
Interest Expense,(12.54%),-7.33%,-5.35%,(10.00%),(19.07%)
Net Interest Expenses,(12.54%),-7.33%,-5.35%,(10.00%),(19.07%)
Other Non Operating Income (Expenses),-31.58%,(35.90%),-3.77%,,
"EBT, Excl. Unusual Items",17.41%,18.95%,(2.32%),(23.14%),(15.15%)
"EBT, Incl. Unusual Items",20.35%,17.13%,(5.51%),(31.00%),(22.80%)
Income Tax Expense,(33.03%),45.31%,(5.12%),(22.17%),(14.58%)
Earnings From Continuing Operations,48.71%,10.38%,(5.64%),(33.80%),(25.41%)
Net Income to Company,48.71%,10.38%,(5.64%),(33.80%),(25.41%)
Net Income,48.71%,10.38%,(5.64%),(33.80%),(25.41%)
Preferred Dividend and Other Adjustments,27.27%,1.79%,(8.77%),(30.77%),(26.00%)
NI to Common Incl Extra Items,48.92%,10.45%,(5.61%),(33.83%),(25.41%)
NI to Common Excl. Extra Items,48.92%,10.45%,(5.61%),(33.83%),(25.41%)
Revenue Per Share,11.52%,8.61%,(0.82%),(4.70%),(3.08%)
Basic EPS,48.97%,10.23%,(5.77%),(34.05%),(25.75%)
Basic EPS - Continuing Ops,48.97%,10.23%,(5.77%),(34.05%),(25.75%)
Basic Weighted Average Shares Outst.,0.00%,0.21%,0.11%,0.32%,0.46%
Diluted EPS,48.84%,10.33%,(5.90%),(34.06%),(25.64%)
Diluted EPS - Continuing Ops,48.84%,10.33%,(5.90%),(34.06%),(25.64%)
Diluted Weighted Average Shares Outst.,0.00%,0.21%,0.21%,0.32%,0.32%
Normalized Basic EPS,17.42%,18.65%,(2.37%),(23.37%),(15.54%)
Normalized Diluted EPS,17.41%,18.60%,(2.54%),(23.38%),(15.42%)
Dividend Per Share,6.78%,19.05%,5.33%,6.65%,(18.35%)
Payout Ratio,(26.06%),2.22%,18.06%,51.53%,
EBITDA,13.78%,12.71%,(2.11%),(14.48%),(8.72%)
EBITA,17.11%,16.22%,(2.65%),(20.17%),(15.92%)
EBIT,16.55%,16.33%,(2.57%),(20.88%),(12.70%)
EBITDAR,13.79%,12.83%,(2.71%),(13.38%),
Effective Tax Rate,(44.35%),24.06%,0.40%,12.79%,10.66%
Normalized Net Income,17.41%,18.95%,(2.32%),(23.14%),(15.15%)
Interest Capitalized,0.00%,80.00%,(24.44%),8.82%,
Interest on Long-Term Debt,36.21%,7.59%,7.06%,(25.27%),
R&D Expense From Footnotes,(3.76%),12.50%,11.11%,(3.13%),(3.13%)
Foreign Sales,34.82%,24.98%,(19.04%),(19.30%),
