Income Statement,Jan 2017,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,2115.5,2257.0,2778.0,2883.7,3782.7,3782.7
Total Revenues,2115.5,2257.0,2778.0,2883.7,3782.7,3782.7
Cost Of Revenues,1100.8,1183.2,1437.1,1466.0,1662.1,1662.1
Gross Profit,1014.8,1073.8,1340.9,1417.6,2120.6,2120.6
Selling General & Admin Expenses,584.6,614.7,808.8,830.4,929.7,929.7
R&D Expenses,124.2,139.5,194.0,189.3,205.4,205.4
Total Operating Expenses,708.8,754.1,1002.8,1019.8,1135.1,1135.1
Operating Income,306.0,319.6,338.2,397.9,985.5,985.5
Interest Expense,(41.5),(43.9),(67.0),(63.6),(49.2),(49.2)
Interest And Investment Income,0.7,2.6,1.1,1.5,1.0,1.0
Net Interest Expenses,(40.8),(41.4),(65.8),(62.1),(48.2),(48.2)
Currency Exchange Gains (Loss),(3.9),33.7,(2.3),(0.4),(5.0),(5.0)
Other Non Operating Income (Expenses),0.2,(0.1),0.6,0.6,0.4,0.4
"EBT, Excl. Unusual Items",261.4,311.8,270.6,336.0,932.7,932.7
"EBT, Incl. Unusual Items",244.1,296.7,257.7,237.1,906.4,906.4
Income Tax Expense,28.4,139.8,20.2,9.4,178.3,178.3
Earnings From Continuing Operations,215.7,156.9,237.5,227.8,728.1,728.1
Earnings Of Discontinued Operations,18.6,135.7,0.5,(0.2),(0.2),(0.2)
Net Income to Company,234.3,292.6,237.9,227.6,727.9,727.9
Net Income,234.3,292.6,237.9,227.6,727.9,727.9
NI to Common Incl Extra Items,234.3,292.6,237.9,227.6,727.9,727.9
NI to Common Excl. Extra Items,215.7,156.9,237.5,227.8,728.1,728.1
Revenue Per Share,$19.32,$20.54,$25.13,$26.02,$33.92,$33.92
Basic EPS,$2.14,$2.66,$2.15,$2.05,$6.53,$6.53
Basic EPS - Continuing Ops,$1.97,$1.43,$2.15,$2.06,$6.53,$6.53
Basic Weighted Average Shares Outst.,109.5,109.9,110.6,110.8,111.5,111.5
Diluted EPS,$2.13,$2.64,$2.13,$2.04,$6.50,$6.50
Diluted EPS - Continuing Ops,$1.96,$1.42,$2.13,$2.04,$6.50,$6.50
Diluted Weighted Average Shares Outst.,110.3,110.9,111.5,111.5,112.1,112.1
Normalized Basic EPS,$1.49,$1.77,$1.53,$1.89,$5.23,$5.23
Normalized Diluted EPS,$1.48,$1.76,$1.52,$1.88,$5.20,$5.20
Dividend Per Share,$0.28,$0.28,$0.28,$0.28,$0.28,$0.28
Payout Ratio,13.15%,10.52%,13.03%,13.65%,4.29%,4.29%
EBITDA,406.0,424.6,518.8,611.9,1232.0,1232.0
EBITA,377.5,393.3,474.1,562.2,1178.1,1178.1
EBIT,306.0,319.6,338.2,397.9,985.5,985.5
EBITDAR,458.0,,,673.1,1289.0,1289.0
Effective Tax Rate,11.6%,47.1%,7.8%,4.0%,19.7%,19.7%
Normalized Net Income,163.4,194.9,169.1,210.0,582.9,582.9
Interest on Long-Term Debt,41.5,43.9,67.0,63.6,49.7,49.7
R&D Expense From Footnotes,124.2,139.5,194.0,189.3,205.4,205.4
Foreign Earnings,,,671.6,661.1,839.2,839.2
Foreign Sales,1273.2,1420.0,1200.0,1248.4,1674.2,1674.2
