Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.73%,3.05%,0.61%,(3.73%),(3.58%)
Total Revenues,7.73%,3.05%,0.61%,(3.73%),(3.58%)
Cost Of Revenues,11.09%,3.13%,(2.28%),(8.98%),(9.66%)
Gross Profit,5.91%,3.01%,2.25%,(0.87%),(0.36%)
Selling General & Admin Expenses,5.00%,10.77%,9.65%,(10.24%),(11.31%)
Total Operating Expenses,5.16%,10.54%,9.33%,(10.07%),(11.12%)
Operating Income,6.36%,(1.45%),(2.45%),5.99%,7.23%
Interest Expense,(2.53%),-21.99%,-6.90%,-8.54%,-0.91%
Interest And Investment Income,2.25%,4.40%,18.95%,(51.33%),(51.33%)
Net Interest Expenses,(2.58%),-27.24%,-14.29%,(8.42%),(19.93%)
"EBT, Excl. Unusual Items",6.29%,0.78%,(0.88%),4.52%,6.81%
"EBT, Incl. Unusual Items",6.29%,0.78%,(6.62%),9.46%,8.98%
Income Tax Expense,55.60%,(43.23%),(6.22%),3.66%,0.53%
Earnings From Continuing Operations,(12.54%),30.67%,(6.73%),11.18%,11.50%
Net Income to Company,(12.54%),30.67%,(6.73%),11.18%,11.50%
Minority Interest,(8.13%),(22.55%),(44.80%),-1.29%,-7.07%
Net Income,(13.38%),31.09%,(9.18%),12.12%,12.94%
Preferred Dividend and Other Adjustments,(26.32%),14.29%,6.25%,17.65%,22.22%
NI to Common Incl Extra Items,(13.34%),31.12%,(9.21%),12.11%,12.92%
NI to Common Excl. Extra Items,(13.34%),31.12%,(9.21%),12.11%,12.92%
Revenue Per Share,7.63%,2.87%,0.62%,(3.87%),(3.69%)
Basic EPS,(13.40%),30.85%,(9.26%),11.96%,12.79%
Basic EPS - Continuing Ops,(13.40%),30.85%,(9.26%),11.96%,12.79%
Basic Weighted Average Shares Outst.,0.06%,0.19%,0.00%,0.13%,0.11%
Diluted EPS,(13.40%),30.85%,(9.26%),11.93%,12.82%
Diluted EPS - Continuing Ops,(13.40%),30.85%,(9.26%),11.93%,12.82%
Diluted Weighted Average Shares Outst.,0.13%,0.13%,0.06%,0.13%,0.13%
Normalized Basic EPS,6.26%,(0.44%),(3.54%),4.80%,7.98%
Normalized Diluted EPS,6.19%,(0.44%),(3.60%),5.00%,7.97%
Dividend Per Share,2.43%,6.40%,2.90%,2.60%,2.58%
Payout Ratio,18.01%,(19.45%),14.52%,(8.29%),
EBITDA,7.09%,(0.43%),(2.46%),5.65%,6.83%
EBITA,6.45%,(1.49%),(2.57%),6.01%,6.63%
EBIT,6.36%,(1.45%),(2.45%),5.99%,7.23%
EBITDAR,7.17%,(0.43%),(2.24%),5.37%,
Effective Tax Rate,46.39%,(43.67%),0.45%,(5.29%),(7.75%)
Normalized Net Income,6.20%,(0.27%),(3.58%),5.04%,8.11%
R&D Expense From Footnotes,5.59%,(15.45%),21.41%,6.45%,6.45%
Foreign Earnings,6.22%,(1.76%),(7.44%),10.80%,
Foreign Sales,7.73%,3.05%,0.61%,(3.73%),
