Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.34%,4.20%,(0.27%),2.05%,6.56%
Total Revenues,2.34%,4.20%,(0.27%),2.05%,6.56%
Cost Of Revenues,2.01%,3.19%,(0.61%),2.41%,6.97%
Gross Profit,2.96%,6.10%,0.36%,1.40%,5.84%
Selling General & Admin Expenses,(1.21%),(1.97%),4.49%,(1.92%),(0.40%)
R&D Expenses,(0.14%),4.78%,2.87%,(4.06%),1.30%
Total Operating Expenses,(1.08%),(1.13%),4.28%,(2.20%),(0.18%)
Operating Income,9.49%,16.64%,(4.49%),6.26%,13.59%
Interest Expense,-37.69%,-62.66%,-7.67%,-20.60%,-25.59%
Net Interest Expenses,-37.69%,-62.66%,-7.67%,-20.60%,-25.59%
Other Non Operating Income (Expenses),(87.62%),607.69%,(76.09%),63.64%,175.00%
"EBT, Excl. Unusual Items",33.08%,41.03%,(5.73%),8.49%,16.83%
"EBT, Incl. Unusual Items",(21.77%),119.79%,7.29%,6.04%,12.41%
Income Tax Expense,37.47%,(1.02%),(21.17%),63.76%,37.70%
Earnings From Continuing Operations,(35.97%),181.95%,12.43%,(1.27%),8.77%
Earnings Of Discontinued Operations,60.58%,(95.35%),,,-79.59%
Net Income to Company,27.63%,(47.88%),2.39%,0.82%,9.92%
Net Income,27.63%,(47.88%),2.39%,0.82%,9.92%
NI to Common Incl Extra Items,27.63%,(47.88%),2.39%,0.82%,9.92%
NI to Common Excl. Extra Items,(35.97%),181.95%,12.43%,(1.27%),8.77%
Revenue Per Share,2.10%,7.70%,3.48%,3.81%,8.07%
Basic EPS,27.37%,(46.16%),6.05%,2.56%,11.47%
Basic EPS - Continuing Ops,(35.92%),190.46%,16.68%,0.22%,10.31%
Basic Weighted Average Shares Outst.,0.22%,(3.25%),(3.64%),(1.71%),(1.40%)
Diluted EPS,27.27%,(46.14%),6.91%,2.83%,11.24%
Diluted EPS - Continuing Ops,(36.08%),191.94%,17.13%,0.47%,10.08%
Diluted Weighted Average Shares Outst.,0.33%,(3.48%),(3.89%),(1.76%),(1.36%)
Normalized Basic EPS,32.30%,46.42%,(2.09%),10.17%,18.48%
Normalized Diluted EPS,32.48%,46.54%,(2.04%),10.29%,18.44%
Dividend Per Share,2.99%,(23.91%),(31.43%),5.56%,5.48%
Payout Ratio,(19.05%),42.71%,(35.99%),2.73%,(5.72%)
EBITDA,7.38%,13.14%,(4.63%),4.38%,11.02%
EBITA,8.91%,14.92%,(4.81%),5.16%,12.10%
EBIT,9.49%,16.64%,(4.49%),6.26%,13.59%
EBITDAR,,,,4.13%,
Effective Tax Rate,75.74%,(54.97%),(26.54%),54.42%,22.51%
Normalized Net Income,33.08%,41.03%,(5.73%),8.49%,16.83%
R&D Expense From Footnotes,(0.14%),4.78%,2.87%,(4.06%),1.30%
Foreign Sales,18.43%,4.20%,(0.27%),2.05%,
