Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.46%,7.53%,6.72%,23.04%,31.74%
Total Revenues,8.46%,7.53%,6.72%,23.04%,31.74%
Cost Of Revenues,8.37%,7.31%,6.89%,23.35%,31.56%
Gross Profit,8.66%,8.06%,6.29%,22.27%,32.18%
Selling General & Admin Expenses,7.36%,6.79%,4.92%,13.06%,15.21%
Total Operating Expenses,7.36%,6.79%,4.92%,13.06%,15.21%
Operating Income,11.14%,10.38%,8.72%,38.02%,61.40%
Interest Expense,(11.67%),(31.89%),(10.72%),-52.59%,-59.09%
Net Interest Expenses,(11.67%),(31.89%),(10.72%),-52.59%,-59.09%
Currency Exchange Gains (Loss),,,(116.67%),(30.77%),(30.77%)
"EBT, Excl. Unusual Items",11.50%,8.88%,8.36%,44.43%,69.15%
"EBT, Incl. Unusual Items",11.50%,8.88%,8.36%,42.25%,72.86%
Income Tax Expense,(16.09%),(24.63%),(4.45%),51.76%,98.68%
Earnings From Continuing Operations,28.76%,22.54%,11.56%,40.20%,67.20%
Net Income to Company,28.76%,22.54%,11.56%,40.20%,67.20%
Minority Interest,(16.48%),,,,
Net Income,28.65%,22.35%,11.56%,40.20%,67.20%
NI to Common Incl Extra Items,28.65%,22.35%,11.56%,40.20%,67.20%
NI to Common Excl. Extra Items,28.65%,22.35%,11.56%,40.20%,67.20%
Revenue Per Share,11.20%,8.94%,8.00%,22.21%,31.30%
Basic EPS,31.81%,24.01%,12.83%,39.18%,66.65%
Basic EPS - Continuing Ops,31.81%,24.01%,12.83%,39.18%,66.65%
Basic Weighted Average Shares Outst.,(2.47%),(1.29%),(1.19%),0.69%,0.34%
Diluted EPS,29.97%,24.61%,13.88%,40.16%,67.76%
Diluted EPS - Continuing Ops,29.97%,24.61%,13.88%,40.16%,67.76%
Diluted Weighted Average Shares Outst.,(1.24%),(1.78%),(1.99%),0.00%,(0.22%)
Normalized Basic EPS,14.38%,10.08%,9.57%,43.32%,68.59%
Normalized Diluted EPS,12.85%,10.72%,10.44%,44.42%,69.54%
Dividend Per Share,19.33%,21.13%,22.09%,9.05%,5.45%
Payout Ratio,(9.34%),(2.20%),8.16%,(21.74%),(36.81%)
EBITDA,11.66%,10.20%,8.51%,35.07%,56.55%
EBITA,11.10%,10.38%,8.65%,37.90%,61.27%
EBIT,11.14%,10.38%,8.72%,38.02%,61.40%
EBITDAR,10.13%,9.46%,7.98%,30.58%,
Effective Tax Rate,(24.75%),(30.79%),(11.80%),6.66%,14.94%
Normalized Net Income,11.44%,8.69%,8.36%,44.43%,69.15%
Foreign Sales,12.42%,14.45%,3.50%,23.94%,
