Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(0.93%),4.54%,(0.21%),(2.09%),0.00%
Total Revenues,(0.93%),4.54%,(0.21%),(2.09%),0.00%
Fuel & Purchased Power,(3.54%),6.93%,(7.25%),(11.59%),0.00%
Operations And Maintenance,(3.61%),10.94%,(0.66%),(2.93%),0.00%
Depreciation & Amortization,8.86%,8.53%,9.60%,7.34%,0.00%
Other Operating Expenses,(24.54%),(50.31%),(59.26%),124.24%,0.00%
Total Operating Expenses,(2.01%),6.78%,(1.45%),(2.04%),0.00%
Operating Income,0.66%,1.34%,1.67%,(2.15%),0.00%
"Interest Expense, Total",(1.46%),(6.88%),(3.22%),(0.70%),0.00%
Interest and Investment Income,(33.33%),200.00%,166.67%,(37.50%),0.00%
Net Interest Expenses,(1.58%),(6.45%),(2.19%),(1.33%),0.00%
Allow. For Equity Funds Used For Const.,(15.79%),31.25%,9.52%,(13.04%),0.00%
Other Non-Operating Inc. (Exp.),,,-71.25%,-86.96%,0.00%
"EBT, Excl. Unusual Items",(15.10%),19.51%,(2.67%),2.16%,0.00%
Other Unusual Items,,,,(336.23%),0.00%
"EBT, Incl. Unusual Items",(25.02%),19.51%,(5.69%),(8.54%),0.00%
Income Tax Expense,20.99%,(41.58%),(10.70%),22.74%,0.00%
Earnings From Continuing Operations,(40.69%),61.97%,(4.43%),(15.86%),0.00%
Net Income to Company,(40.69%),61.97%,(4.43%),(15.86%),0.00%
Net Income,(40.69%),61.97%,(4.43%),(15.86%),0.00%
Pref. Dividends and Other Adj.,(66.67%),0.00%,(50.00%),0.00%,0.00%
NI to Common Incl Extra Items,(40.61%),62.08%,(4.38%),(15.87%),0.00%
NI to Common Excl. Extra Items,(40.61%),62.08%,(4.38%),(15.87%),0.00%
Revenue Per Share,(2.00%),1.67%,(3.49%),(7.15%),0.00%
Basic EPS,(41.31%),57.97%,(7.52%),(20.42%),0.00%
Basic EPS - Continuing Ops,(41.31%),57.97%,(7.52%),(20.42%),0.00%
Basic Weighted Average Shares Outst.,1.13%,2.80%,3.42%,5.50%,0.00%
Diluted EPS,(41.22%),57.32%,(8.14%),(19.41%),0.00%
Diluted EPS - Continuing Ops,(41.22%),57.32%,(8.14%),(19.41%),0.00%
Diluted Weighted Average Shares Outst.,1.01%,3.10%,3.97%,4.43%,0.00%
Normalized Basic EPS,(16.16%),16.51%,(6.01%),(3.27%),0.00%
Normalized Diluted EPS,(16.01%),15.83%,(6.60%),(2.35%),0.00%
Dividend Per Share,3.95%,3.80%,0.61%,0.61%,0.00%
Payout Ratio,75.50%,(34.75%),10.10%,27.13%,0.00%
EBITDA,2.94%,2.59%,3.74%,0.25%,0.00%
EBITA,1.18%,0.70%,1.73%,(2.38%),0.00%
EBIT,0.66%,1.34%,1.67%,(2.15%),0.00%
EBITDAR,,,,0.22%,
Effective Tax Rate,61.37%,(51.11%),(5.29%),34.19%,0.00%
Normalized Net Income,(15.10%),19.51%,(2.67%),2.16%,0.00%
Interest Capitalized,0.00%,36.36%,(33.33%),(10.00%),
Interest on Long-Term Debt,,50.00%,14.29%,37.50%,
Foreign Sales,(5.26%),8.46%,(4.45%),(1.57%),
