Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,50.87%,77.16%,3.11%,(27.37%),0.00%
Other Revenues,,,0.00%,(60.00%),0.00%
Total Revenues,50.87%,77.26%,3.11%,(27.39%),0.00%
Cost Of Revenues,39.58%,93.99%,11.36%,(19.27%),0.00%
Gross Profit,63.78%,60.95%,(6.58%),(38.75%),0.00%
Selling General & Admin Expenses,0.31%,16.87%,(14.96%),(24.69%),0.00%
Depreciation & Amortization,(5.41%),9.57%,11.54%,(4.21%),0.00%
Other Operating Expense/(Income),(26.79%),52.74%,(83.77%),365.12%,0.00%
Total Operating Expenses,(9.13%),17.44%,(14.85%),6.93%,0.00%
Operating Income,,249.80%,5.47%,(92.49%),0.00%
Interest Expense,-20.62%,-18.18%,-3.97%,(6.61%),0.00%
Interest And Investment Income,45.45%,(9.38%),(41.38%),(70.59%),0.00%
Net Interest Expenses,-29.07%,-20.49%,(7.22%),(19.23%),0.00%
Other Non Operating Income (Expenses),0.00%,(62.50%),633.33%,(13.64%),0.00%
"EBT, Excl. Unusual Items",,328.35%,6.50%,(98.08%),0.00%
"EBT, Incl. Unusual Items",,304.85%,(19.42%),,0.00%
Income Tax Expense,(30.02%),,(14.86%),,0.00%
Earnings From Continuing Operations,,17.05%,(20.72%),,0.00%
Net Income to Company,,17.05%,(20.72%),,0.00%
Net Income,,17.41%,(20.96%),,0.00%
Preferred Dividend and Other Adjustments,,(16.67%),(40.00%),,
NI to Common Incl Extra Items,,17.65%,(20.86%),,0.00%
NI to Common Excl. Extra Items,,17.65%,(20.86%),,0.00%
Revenue Per Share,47.31%,76.23%,5.58%,(26.51%),0.00%
Basic EPS,,17.08%,(18.97%),,0.00%
Basic EPS - Continuing Ops,,17.08%,(18.97%),,0.00%
Basic Weighted Average Shares Outst.,2.41%,0.59%,(2.34%),(1.20%),0.00%
Diluted EPS,,17.32%,(19.33%),,0.00%
Diluted EPS - Continuing Ops,,17.32%,(19.33%),,0.00%
Diluted Weighted Average Shares Outst.,2.41%,0.59%,(2.34%),(1.20%),0.00%
Normalized Basic EPS,,326.02%,8.77%,(98.05%),0.00%
Normalized Diluted EPS,,326.02%,8.77%,(98.05%),0.00%
Dividend Per Share,0.00%,300.00%,275.00%,83.33%,0.00%
Payout Ratio,,234.74%,192.34%,,0.00%
EBITDA,146.92%,71.99%,8.29%,(49.75%),0.00%
EBITA,,239.73%,5.20%,(92.05%),0.00%
EBIT,,249.80%,5.47%,(92.49%),0.00%
EBITDAR,,,,(49.57%),
Effective Tax Rate,,,5.68%,0.26%,0.00%
Normalized Net Income,,329.59%,6.19%,(98.08%),0.00%
Interest Capitalized,75.00%,(14.29%),(16.67%),0.00%,
Interest on Long-Term Debt,(19.14%),(18.34%),(8.70%),21.43%,
