Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,20.77%,18.00%,15.02%,20.72%,0.00%
Total Revenues,20.77%,18.00%,15.02%,20.72%,0.00%
Cost Of Revenues,17.44%,23.41%,18.43%,17.05%,0.00%
Gross Profit,24.47%,12.35%,11.10%,25.22%,0.00%
Selling General & Admin Expenses,18.68%,20.46%,9.00%,26.32%,0.00%
R&D Expenses,108.63%,5.23%,13.87%,26.71%,0.00%
Other Operating Expense/(Income),,208.70%,,,
Total Operating Expenses,18.20%,18.28%,4.43%,26.65%,0.00%
Operating Income,38.52%,1.00%,26.05%,22.56%,0.00%
Interest Expense,(133.33%),"(1,000.00%)",(49.35%),(81.74%),0.00%
Interest And Investment Income,44.07%,97.65%,17.26%,(55.33%),0.00%
Net Interest Expenses,39.29%,16.67%,(9.89%),,0.00%
Currency Exchange Gains (Loss),,,(36.84%),,0.00%
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",38.84%,1.94%,26.15%,9.22%,0.00%
"EBT, Incl. Unusual Items",34.89%,8.00%,26.18%,68.95%,0.00%
Income Tax Expense,76.09%,(21.23%),68.97%,60.11%,0.00%
Earnings From Continuing Operations,28.12%,14.60%,19.54%,70.88%,0.00%
Net Income to Company,28.12%,14.60%,19.54%,70.88%,0.00%
Net Income,28.12%,14.60%,19.54%,70.88%,0.00%
NI to Common Incl Extra Items,28.12%,14.60%,19.54%,70.88%,0.00%
NI to Common Excl. Extra Items,28.12%,14.60%,19.54%,70.88%,0.00%
Revenue Per Share,21.48%,19.94%,16.00%,20.80%,0.00%
Basic EPS,28.63%,16.60%,20.38%,71.40%,0.00%
Basic EPS - Continuing Ops,28.63%,16.60%,20.38%,71.40%,0.00%
Basic Weighted Average Shares Outst.,(0.58%),(1.58%),(0.84%),(0.09%),0.00%
Diluted EPS,27.83%,16.33%,21.05%,71.01%,0.00%
Diluted EPS - Continuing Ops,27.83%,16.33%,21.05%,71.01%,0.00%
Diluted Weighted Average Shares Outst.,0.25%,(1.47%),(1.25%),(0.08%),0.00%
Normalized Basic EPS,40.40%,3.52%,27.38%,9.59%,0.00%
Normalized Diluted EPS,38.33%,3.64%,27.97%,9.00%,0.00%
EBITDA,28.92%,0.85%,24.81%,25.92%,0.00%
EBITA,33.81%,1.94%,27.03%,28.96%,0.00%
EBIT,38.52%,1.00%,26.05%,22.56%,0.00%
EBITDAR,27.59%,1.73%,25.26%,25.98%,
Effective Tax Rate,30.56%,(27.07%),33.87%,(5.24%),0.00%
Normalized Net Income,38.84%,1.94%,26.15%,9.22%,0.00%
Interest on Long-Term Debt,,,44.44%,98.08%,
R&D Expense From Footnotes,66.99%,5.23%,13.87%,26.71%,0.00%
Foreign Sales,18.26%,18.59%,17.23%,24.97%,
