Income Statement,Apr 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,16.16%,(1.95%),3.93%,4.82%,19.09%
Total Revenues,16.16%,(1.95%),3.93%,4.82%,19.09%
Cost Of Revenues,21.52%,(3.72%),2.59%,0.26%,11.14%
Gross Profit,8.19%,1.01%,6.06%,11.83%,30.27%
Selling General & Admin Expenses,2.15%,(3.27%),(9.79%),(27.83%),12.21%
R&D Expenses,4.92%,(5.47%),1.21%,7.53%,16.99%
Other Operating Expense/(Income),(33.26%),148.82%,(84.09%),31.57%,
Total Operating Expenses,2.75%,(2.50%),(7.13%),(10.42%),10.86%
Operating Income,119.98%,34.68%,97.81%,84.47%,64.17%
Interest Expense,(152.53%),(1.14%),-26.17%,(37.37%),(51.93%)
Interest And Investment Income,(41.39%),478.96%,56.35%,9.98%,(39.06%)
Net Interest Expenses,(171.40%),-8.91%,-37.20%,(46.48%),(77.29%)
Currency Exchange Gains (Loss),,,,(4.76%),(4.76%)
Other Non Operating Income (Expenses),,,92.24%,,587.34%
"EBT, Excl. Unusual Items",68.87%,98.62%,172.62%,88.78%,68.88%
"EBT, Incl. Unusual Items",,(37.21%),435.39%,330.42%,53.74%
Income Tax Expense,68.81%,30.94%,,,184.01%
Earnings From Continuing Operations,-42.60%,(143.31%),,151.14%,40.47%
Net Income to Company,-42.60%,(143.31%),,151.14%,40.47%
Net Income,-42.60%,(143.31%),,151.14%,40.47%
NI to Common Incl Extra Items,-42.60%,(143.31%),,151.14%,40.47%
NI to Common Excl. Extra Items,-42.60%,(143.31%),,151.14%,40.47%
Revenue Per Share,29.72%,(1.83%),5.96%,11.54%,23.13%
Basic EPS,-34.87%,(144.13%),,167.04%,45.23%
Basic EPS - Continuing Ops,-34.87%,(144.13%),,167.04%,45.23%
Basic Weighted Average Shares Outst.,(10.44%),(0.14%),(1.90%),(6.04%),(3.28%)
Diluted EPS,-34.87%,(146.15%),,166.67%,45.40%
Diluted EPS - Continuing Ops,-34.87%,(146.15%),,166.67%,45.40%
Diluted Weighted Average Shares Outst.,(10.44%),(0.14%),0.32%,(6.33%),(3.45%)
Normalized Basic EPS,89.72%,96.88%,179.64%,100.67%,74.61%
Normalized Diluted EPS,89.72%,96.88%,173.44%,101.62%,74.92%
EBITDA,12.16%,5.76%,10.47%,2.18%,37.81%
EBITA,10.78%,13.65%,8.14%,4.57%,50.65%
EBIT,119.98%,34.68%,97.81%,84.47%,64.17%
EBITDAR,12.01%,5.84%,10.62%,2.75%,
Effective Tax Rate,,108.53%,,,84.73%
Normalized Net Income,68.87%,98.62%,172.62%,88.78%,68.88%
Interest Capitalized,161.54%,0.00%,(35.29%),(36.36%),
Interest on Long-Term Debt,169.35%,3.95%,(29.03%),16.23%,
R&D Expense From Footnotes,4.92%,(5.47%),1.21%,7.53%,16.99%
Foreign Sales,11.33%,(41.15%),13.30%,3.51%,
