Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8496.4,8777.8,9493.8,10950.7,2208.8,2208.8
Total Revenues,8496.4,8777.8,9493.8,10950.7,2208.8,2208.8
Cost Of Revenues,5015.5,4896.6,5262.2,5958.7,2671.5,2671.5
Gross Profit,3480.9,3881.3,4231.6,4992.0,(462.7),(462.7)
Selling General & Admin Expenses,1100.3,1186.0,1303.1,1651.3,1293.2,1293.2
Depreciation & Amortization,894.9,951.2,1033.7,1245.9,1279.3,1279.3
Total Operating Expenses,1995.2,2137.2,2336.8,2897.3,2572.5,2572.5
Operating Income,1485.7,1744.1,1894.8,2094.7,"(3,035.2)","(3,035.2)"
Interest Expense,(305.9),(297.1),(333.7),(408.5),(844.2),(844.2)
Interest And Investment Income,20.9,30.1,32.8,26.9,21.0,21.0
Net Interest Expenses,(285.1),(267.0),(300.9),(381.6),(823.2),(823.2)
Currency Exchange Gains (Loss),(11.2),(13.6),(4.8),1.8,(89.5),(89.5)
Other Non Operating Income (Expenses),15.9,23.7,24.7,31.1,(66.6),(66.6)
"EBT, Excl. Unusual Items",1333.6,1643.4,1824.6,1976.9,"(4,227.8)","(4,227.8)"
"EBT, Incl. Unusual Items",1303.5,1643.4,1836.7,1940.2,"(5,790.1)","(5,790.1)"
Income Tax Expense,20.1,18.3,20.9,32.6,(15.0),(15.0)
Earnings From Continuing Operations,1283.4,1625.1,1815.8,1907.6,"(5,775.1)","(5,775.1)"
Net Income to Company,1283.4,1625.1,1815.8,1907.6,"(5,775.1)","(5,775.1)"
Minority Interest,,,(4.8),(28.7),(22.3),(22.3)
Net Income,1283.4,1625.1,1811.0,1878.9,"(5,797.5)","(5,797.5)"
NI to Common Incl Extra Items,1283.4,1625.1,1811.0,1878.9,"(5,797.5)","(5,797.5)"
NI to Common Excl. Extra Items,1283.4,1625.1,1811.0,1878.9,"(5,797.5)","(5,797.5)"
Revenue Per Share,$39.45,$40.90,$45.09,$52.29,$10.31,$10.31
Basic EPS,$5.96,$7.57,$8.60,$8.97,($27.05),($27.05)
Basic EPS - Continuing Ops,$5.96,$7.57,$8.60,$8.97,($27.05),($27.05)
Basic Weighted Average Shares Outst.,215.4,214.6,210.6,209.4,214.3,214.3
Diluted EPS,$5.93,$7.53,$8.56,$8.95,($27.05),($27.05)
Diluted EPS - Continuing Ops,$5.93,$7.53,$8.56,$8.95,($27.05),($27.05)
Diluted Weighted Average Shares Outst.,216.3,215.7,211.6,209.9,214.3,214.3
Normalized Basic EPS,$3.87,$4.79,$5.39,$5.76,($12.43),($12.43)
Normalized Diluted EPS,$3.85,$4.76,$5.37,$5.75,($12.43),($12.43)
Dividend Per Share,$1.71,$2.16,$2.60,$2.96,$0.78,$0.78
Payout Ratio,27.00%,26.92%,29.13%,32.08%,NM,NM
EBITDA,2380.6,2695.3,2928.5,3340.6,"(1,755.9)","(1,755.9)"
EBITA,1485.7,1744.1,1896.8,2107.0,"(3,023.9)","(3,023.9)"
EBIT,1485.7,1744.1,1894.8,2094.7,"(3,035.2)","(3,035.2)"
EBITDAR,2409.6,2724.6,2960.7,3463.6,"(1,640.3)","(1,640.3)"
Effective Tax Rate,1.5%,1.1%,1.1%,1.7%,NM,NM
Normalized Net Income,833.5,1027.1,1135.6,1206.9,"(2,664.7)","(2,664.7)"
Interest Capitalized,25.3,24.2,49.6,56.5,59.1,59.1
Interest on Long-Term Debt,,,,64.9,63.5,63.5
Foreign Sales,,8446.6,9125.7,10432.2,2014.5,2014.5
