Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.31%,8.16%,15.34%,(79.83%),0.00%
Total Revenues,3.31%,8.16%,15.34%,(79.83%),0.00%
Cost Of Revenues,(2.37%),7.47%,13.24%,(55.17%),0.00%
Gross Profit,11.50%,9.03%,17.97%,,0.00%
Selling General & Admin Expenses,7.79%,9.88%,26.72%,(21.69%),0.00%
Depreciation & Amortization,6.29%,8.67%,20.53%,2.67%,0.00%
Total Operating Expenses,7.12%,9.34%,23.98%,(11.21%),0.00%
Operating Income,17.39%,8.64%,10.55%,,0.00%
Interest Expense,-2.90%,(12.33%),(22.43%),(106.66%),0.00%
Interest And Investment Income,44.33%,8.97%,(17.85%),(21.93%),0.00%
Net Interest Expenses,-6.35%,(12.71%),(26.82%),(115.74%),0.00%
Currency Exchange Gains (Loss),(21.54%),-64.66%,,,0.00%
Other Non Operating Income (Expenses),49.41%,4.07%,25.74%,,0.00%
"EBT, Excl. Unusual Items",23.23%,11.02%,8.35%,,0.00%
"EBT, Incl. Unusual Items",26.08%,11.76%,5.64%,,0.00%
Income Tax Expense,(8.96%),14.21%,55.98%,,0.00%
Earnings From Continuing Operations,26.63%,11.73%,5.06%,,0.00%
Net Income to Company,26.63%,11.73%,5.06%,,0.00%
Minority Interest,,,(504.48%),-22.22%,0.00%
Net Income,26.63%,11.44%,3.75%,,0.00%
NI to Common Incl Extra Items,26.63%,11.44%,3.75%,,0.00%
NI to Common Excl. Extra Items,26.63%,11.44%,3.75%,,0.00%
Revenue Per Share,3.68%,10.24%,15.98%,(80.29%),0.00%
Basic EPS,27.05%,13.62%,4.33%,,0.00%
Basic EPS - Continuing Ops,27.05%,13.62%,4.33%,,0.00%
Basic Weighted Average Shares Outst.,(0.36%),(1.89%),(0.55%),2.35%,0.00%
Diluted EPS,26.98%,13.68%,4.56%,,0.00%
Diluted EPS - Continuing Ops,26.98%,13.68%,4.56%,,0.00%
Diluted Weighted Average Shares Outst.,(0.29%),(1.92%),(0.77%),2.10%,0.00%
Normalized Basic EPS,23.67%,12.59%,6.93%,,0.00%
Normalized Diluted EPS,23.69%,12.77%,7.06%,,0.00%
Dividend Per Share,26.32%,20.37%,13.85%,(73.65%),0.00%
Payout Ratio,(0.30%),8.20%,10.11%,,0.00%
EBITDA,13.22%,8.65%,14.07%,,0.00%
EBITA,17.39%,8.76%,11.08%,,0.00%
EBIT,17.39%,8.64%,10.55%,,0.00%
EBITDAR,13.07%,8.67%,16.99%,,
Effective Tax Rate,(27.69%),2.51%,47.39%,(84.58%),0.00%
Normalized Net Income,23.23%,10.56%,6.28%,,0.00%
Interest Capitalized,(4.35%),104.96%,13.91%,4.60%,
Interest on Long-Term Debt,,,,(2.04%),
Foreign Sales,,8.04%,14.32%,(80.69%),
