Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,16.71%,(9.35%),27.25%,24.38%,0.00%
Other Revenues,184.37%,(61.88%),34.88%,112.82%,0.00%
Total Revenues,20.82%,(12.37%),27.44%,26.73%,0.00%
Cost Of Revenues,5.11%,(23.70%),70.44%,19.90%,0.00%
Gross Profit,35.54%,(4.14%),2.55%,33.30%,0.00%
Selling General & Admin Expenses,12.12%,(14.63%),15.92%,10.28%,0.00%
Other Operating Expense/(Income),,,-48.00%,(34.03%),0.00%
Total Operating Expenses,12.12%,(45.10%),51.40%,5.75%,0.00%
Operating Income,56.28%,21.87%,(11.42%),46.77%,0.00%
Interest Expense,(248.61%),(12.35%),(7.09%),(88.41%),0.00%
Net Interest Expenses,(248.61%),(12.35%),(7.09%),(88.41%),0.00%
Other Non Operating Income (Expenses),49.07%,271.67%,47.09%,(49.92%),0.00%
"EBT, Excl. Unusual Items",55.16%,24.87%,(9.61%),40.82%,0.00%
"EBT, Incl. Unusual Items",56.30%,22.85%,(4.87%),56.86%,0.00%
Income Tax Expense,102.62%,(87.60%),187.17%,(5.14%),0.00%
Earnings From Continuing Operations,33.84%,103.95%,(13.44%),66.05%,0.00%
Net Income to Company,33.84%,103.95%,(13.44%),66.05%,0.00%
Net Income,33.84%,103.95%,(13.44%),66.05%,0.00%
NI to Common Incl Extra Items,33.84%,103.95%,(13.44%),66.05%,0.00%
NI to Common Excl. Extra Items,33.84%,103.95%,(13.44%),66.05%,0.00%
Revenue Per Share,19.00%,(13.67%),25.92%,28.62%,0.00%
Basic EPS,31.87%,101.01%,(14.46%),68.48%,0.00%
Basic EPS - Continuing Ops,31.87%,101.01%,(14.46%),68.48%,0.00%
Basic Weighted Average Shares Outst.,1.53%,1.51%,1.20%,(1.47%),0.00%
Diluted EPS,34.29%,105.90%,(13.29%),65.33%,0.00%
Diluted EPS - Continuing Ops,34.29%,105.90%,(13.29%),65.33%,0.00%
Diluted Weighted Average Shares Outst.,(0.34%),(0.95%),(0.17%),0.44%,0.00%
Normalized Basic EPS,52.76%,23.02%,(10.66%),42.89%,0.00%
Normalized Diluted EPS,55.67%,26.05%,(9.45%),40.26%,0.00%
EBITDA,55.02%,20.56%,(8.47%),43.80%,0.00%
EBITA,56.28%,21.87%,(11.42%),46.77%,0.00%
EBIT,56.28%,21.87%,(11.42%),46.77%,0.00%
Effective Tax Rate,29.63%,(89.91%),202.05%,(39.54%),0.00%
Normalized Net Income,55.16%,24.87%,(9.61%),40.82%,0.00%
Interest on Long-Term Debt,,,,(43.12%),
R&D Expense From Footnotes,1.11%,(29.22%),66.80%,11.63%,0.00%
Foreign Sales,,19.85%,9.24%,4.24%,
