Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,448.4,950.2,1083.8,1094.3,980.2,980.2
Tenant Reimbursements,140.6,,,,,
Other Revenue,31.5,44.7,48.1,40.7,41.3,41.3
Total Revenues,645.9,1021.1,1160.3,1164.7,1047.9,1047.9
Property Expenses,161.4,253.7,305.9,306.1,313.1,313.1
Selling General & Admin Exp.,65.3,67.6,65.5,75.0,75.0,75.0
Depreciation & Amortization,162.3,334.2,359.7,374.3,345.9,345.9
Other Operating Expenses,7.6,8.5,9.0,7.1,13.0,13.0
Total Operating Expenses,396.7,664.1,740.1,762.5,747.0,747.0
Operating Income,249.2,357.0,420.2,402.2,301.0,301.0
Total Interest Expense,(132.5),(132.6),(148.5),(152.3),(158.3),(158.3)
Interest and Investment Income,2.9,4.0,,6.6,6.9,6.9
Net Interest Expenses,(129.6),(128.6),(148.5),(145.7),(151.4),(151.4)
"EBT, Excl. Unusual Items",119.6,228.4,271.8,256.5,149.6,149.6
Impairment of Goodwill,,,,,(132.1),(132.1)
Gain (Loss) on Sale of Assets,43.1,27.4,28.3,24.2,67.5,67.5
Asset Writedown,,,(38.4),(54.2),(18.5),(18.5)
Other Unusual Items,(14.2),(12.4),(11.2),(12.0),(21.8),(21.8)
"EBT, Incl. Unusual Items",167.0,169.2,253.0,244.0,47.0,47.0
Income Tax Expense,,(9.7),0.7,0.8,(0.4),(0.4)
Earnings From Continuing Operations,167.0,179.0,252.3,243.3,47.3,47.3
Net Income to Company,167.0,179.0,252.3,243.3,47.3,47.3
Minority Interest,(2.1),(2.9),(3.2),(3.8),(2.4),(2.4)
Net Income,164.9,176.1,249.1,239.4,44.9,44.9
Pref. Dividends and Other Adj.,21.1,16.1,,,,
NI to Common Incl Extra Items,143.9,159.9,249.1,239.4,44.9,44.9
NI to Common Excl. Extra Items,143.9,159.9,249.1,239.4,44.9,44.9
Revenue Per Share,$6.40,$6.40,$6.84,$6.95,$6.19,$6.19
Basic EPS,$1.43,$1.00,$1.47,$1.43,$0.27,$0.27
Basic EPS - Continuing Ops,$1.43,$1.00,$1.47,$1.43,$0.27,$0.27
Basic Weighted Average Shares Outst.,100.9,159.5,169.7,167.5,169.2,169.2
Diluted EPS,$1.42,$1.00,$1.46,$1.43,$0.26,$0.26
Diluted EPS - Continuing Ops,$1.42,$1.00,$1.46,$1.43,$0.26,$0.26
Diluted Weighted Average Shares Outst.,101.3,160.0,170.1,167.8,169.5,169.5
Normalized Basic EPS,$0.72,$0.88,$0.98,$0.93,$0.54,$0.54
Normalized Diluted EPS,$0.72,$0.87,$0.98,$0.93,$0.54,$0.54
Dividend Per Share,$2.00,$2.10,$2.22,$2.34,$2.38,$2.38
Payout Ratio,134.66%,186.10%,150.92%,163.14%,669.51%,669.51%
FFO,277.3,494.8,652.9,654.4,502.0,502.0
FFO Payout Ratio %,72.49%,65.20%,57.59%,59.69%,59.87%,59.87%
AFFO,277.3,494.8,652.9,654.4,502.0,502.0
Funds Available for Distribution,277.3,494.8,652.9,654.4,502.0,502.0
EBITDA,407.7,668.1,746.6,732.6,606.3,606.3
EBITA,256.9,422.2,463.6,418.6,308.7,308.7
EBIT,249.2,357.0,420.2,402.2,301.0,301.0
EBITDAR,420.8,686.5,765.7,753.1,626.0,626.0
Effective Tax Rate,,NM,0.3%,0.3%,NM,NM
Normalized Net Income,72.7,139.8,166.7,156.5,91.1,91.1
Interest Capitalized,3.5,7.9,7.0,4.2,4.4,4.4
Interest on Long-Term Debt,87.0,,,149.0,158.3,158.3
