Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,11.60%,16.74%,6.81%,17.26%,0.00%
Total Interest And Dividend Income,5.73%,6.21%,10.96%,(2.16%),0.00%
Gain (Loss) on Sale of Investments,,,,44.67%,0.00%
Other Revenues,27.91%,(23.18%),71.81%,10.55%,0.00%
Total Revenues,14.13%,10.88%,12.03%,16.51%,0.00%
Policy Benefits,44.05%,24.96%,(12.89%),33.07%,0.00%
Policy Acquisition / Underwriting Costs,8.81%,16.50%,13.44%,11.18%,0.00%
Selling General & Admin Expenses,(4.80%),18.32%,7.48%,24.73%,0.00%
Total Operating Expenses,32.48%,22.71%,(6.24%),26.42%,0.00%
Operating Income,(59.74%),,,(45.02%),0.00%
"Interest Expense, Total",-12.77%,-1.81%,(2.13%),(14.61%),0.00%
Currency Exchange Gains,-46.70%,,,-45.52%,0.00%
"EBT, Excl. Unusual Items",(61.87%),,,(46.74%),0.00%
"EBT, Incl. Unusual Items",(61.87%),,,(46.74%),0.00%
Income Tax Expense,,(422.93%),,(20.47%),0.00%
Earnings From Continuing Operations,(51.55%),(81.56%),"1,033.70%",(49.07%),0.00%
Net Income to Company,(51.55%),(81.56%),"1,033.70%",(49.07%),0.00%
Net Income,(51.55%),(81.56%),"1,033.70%",(49.07%),0.00%
Pref. Dividends and Other Adj.,(52.64%),(83.90%),"1,306.36%",(43.90%),0.00%
NI to Common Incl Extra Items,(51.54%),(81.53%),"1,031.23%",(49.13%),0.00%
NI to Common Excl. Extra Items,(51.54%),(81.53%),"1,031.23%",(49.13%),0.00%
Revenue Per Share,16.19%,11.44%,12.30%,18.37%,0.00%
Basic EPS,(50.65%),(81.44%),"1,036.44%",(48.30%),0.00%
Basic EPS - Continuing Ops,(50.65%),(81.44%),"1,036.44%",(48.30%),0.00%
Basic Weighted Average Shares Outst.,(1.78%),(0.51%),(0.24%),(1.58%),0.00%
Diluted EPS,(50.59%),(81.45%),"1,038.25%",(48.26%),0.00%
Diluted EPS - Continuing Ops,(50.59%),(81.45%),"1,038.25%",(48.26%),0.00%
Diluted Weighted Average Shares Outst.,(1.89%),(0.63%),(0.41%),(1.70%),0.00%
Normalized Basic EPS,(61.17%),,,(45.89%),0.00%
Normalized Diluted EPS,(61.13%),,,(45.81%),0.00%
Dividend Per Share,7.45%,4.95%,8.49%,7.83%,0.00%
Payout Ratio,118.92%,465.65%,(90.44%),108.74%,0.00%
EBITA,(59.74%),,,(45.02%),0.00%
EBIT,(59.74%),,,(45.02%),0.00%
Effective Tax Rate,,,,49.24%,0.00%
Normalized Net Income,(61.87%),,,(46.74%),0.00%
Interest on Long-Term Debt,(10.88%),(1.82%),2.14%,14.51%,
Foreign Sales,14.59%,15.44%,4.86%,16.68%,
