Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,3207.0,3338.0,3628.0,3883.0,3638.0,3596.0
Total Interest Income,3814.0,3987.0,4337.0,4596.0,4262.0,4196.0
Interest On Deposits,117.0,156.0,250.0,447.0,180.0,115.0
Total Interest On Borrowings,196.0,217.0,352.0,404.0,188.0,148.0
Total Interest Expense,313.0,373.0,602.0,851.0,368.0,263.0
Net Interest Income,3501.0,3614.0,3735.0,3745.0,3894.0,3933.0
Service Charges On Deposits,664.0,683.0,710.0,729.0,621.0,600.0
Trust Income,213.0,230.0,235.0,243.0,253.0,260.0
Total Mortgage Banking Activities,173.0,149.0,137.0,163.0,333.0,355.0
Gain (Loss) on Sale of Invest. & Securities,6.0,19.0,1.0,(28.0),54.0,58.0
Total Other Non Interest Income,897.0,880.0,928.0,1008.0,1130.0,1276.0
Total Non Interest Income,1953.0,1961.0,2011.0,2115.0,2391.0,2549.0
Revenue Before Loan Losses,5454.0,5575.0,5746.0,5860.0,6285.0,6482.0
Provision For Loan Losses,262.0,150.0,229.0,387.0,1330.0,815.0
Total Revenues,5192.0,5425.0,5517.0,5473.0,4955.0,5667.0
Salaries And Other Employee Benefits,1769.0,1802.0,1836.0,1860.0,2016.0,2093.0
Occupancy Expense,445.0,414.0,335.0,240.0,228.0,226.0
Total Selling General & Admin Expenses,465.0,481.0,467.0,554.0,580.0,585.0
Total Other Non Interest Expense,814.0,837.0,860.0,789.0,735.0,751.0
Total Non Interest Expense,3493.0,3534.0,3498.0,3443.0,3559.0,3655.0
"EBT, Excl. Unusual Items",1699.0,1891.0,2019.0,2030.0,1396.0,2012.0
Restructuring Charges,(79.0),(32.0),(72.0),(30.0),(62.0),(58.0)
Other Unusual Items,(6.0),1.0,8.0,(15.0),(20.0),(22.0)
"EBT, Incl. Unusual Items",1664.0,1860.0,1955.0,1985.0,1314.0,1932.0
Income Tax Expense,510.0,619.0,387.0,403.0,220.0,358.0
Earnings From Continuing Operations,1154.0,1241.0,1568.0,1582.0,1094.0,1574.0
Earnings Of Discontinued Operations,9.0,22.0,191.0,,,
Net Income to Company,1163.0,1263.0,1759.0,1582.0,1094.0,1574.0
Net Income,1163.0,1263.0,1759.0,1582.0,1094.0,1574.0
Preferred Dividend and Other Adjustments,64.0,64.0,64.0,79.0,103.0,108.0
Net Income to Common Incl Extra Items,1099.0,1199.0,1695.0,1503.0,991.0,1466.0
Net Income to Common Excl. Extra Items,1090.0,1177.0,1504.0,1503.0,991.0,1466.0
Revenue Per Share,$4.14,$4.57,$5.05,$5.50,$5.17,$5.90
Basic EPS,$0.88,$1.01,$1.55,$1.51,$1.03,$1.53
Basic EPS - Continuing Ops,$0.87,$0.99,$1.38,$1.51,$1.03,$1.53
Basic Weighted Average Shares Outst.,1255.0,1186.0,1092.0,995.0,959.0,960.0
Diluted EPS,$0.87,$1.00,$1.53,$1.50,$1.03,$1.52
Diluted EPS - Continuing Ops,$0.86,$0.98,$1.36,$1.50,$1.03,$1.52
Diluted Weighted Average Shares Outst.,1261.0,1198.0,1102.0,999.0,962.0,963.8
Normalized Basic EPS,$0.85,$1.00,$1.16,$1.28,$0.91,$1.31
Normalized Diluted EPS,$0.84,$0.99,$1.15,$1.27,$0.91,$1.30
Dividend Per Share,$0.26,$0.32,$0.46,$0.59,$0.62,$0.62
Payout Ratio,32.76%,32.46%,29.33%,41.47%,63.80%,
Effective Tax Rate,30.6%,33.3%,19.8%,20.3%,16.7%,18.5%
Normalized Net Income,1061.9,1181.9,1261.9,1268.8,872.5,1257.5
Interest on Long-Term Debt,196.0,212.0,322.0,351.0,178.0,
