Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,0.31%,10.13%,4.73%,(15.89%),(18.19%)
Total Revenues,0.31%,10.13%,4.73%,(15.89%),(18.19%)
Cost Of Revenues,0.43%,9.23%,4.72%,(12.76%),(15.04%)
Gross Profit,0.15%,11.42%,4.73%,(20.30%),(22.64%)
Selling General & Admin Expenses,2.51%,9.96%,8.16%,(14.92%),(14.57%)
Total Operating Expenses,2.53%,9.96%,8.13%,(14.92%),(14.55%)
Operating Income,(6.78%),16.09%,(5.55%),(38.93%),(48.42%)
Interest And Investment Income,102.59%,143.58%,"1,270.20%",27.46%,"1,810.31%"
Net Interest Expenses,102.59%,143.58%,"1,270.20%",27.46%,"1,810.31%"
"EBT, Excl. Unusual Items",(6.60%),16.54%,3.72%,(32.55%),(34.44%)
"EBT, Incl. Unusual Items",(6.60%),14.32%,5.73%,(32.55%),(27.82%)
Income Tax Expense,7.69%,(30.68%),8.75%,(32.43%),(35.40%)
Earnings From Continuing Operations,(15.38%),49.45%,4.64%,(32.60%),(24.76%)
Net Income to Company,(15.38%),49.45%,4.64%,(32.60%),(24.76%)
Net Income,(15.38%),49.45%,4.64%,(32.60%),(24.76%)
NI to Common Incl Extra Items,(15.38%),49.45%,4.64%,(32.60%),(24.76%)
NI to Common Excl. Extra Items,(15.38%),49.45%,4.64%,(32.60%),(24.76%)
Revenue Per Share,3.42%,13.46%,9.12%,(13.71%),(16.44%)
Basic EPS,(12.67%),54.00%,9.14%,(30.87%),(23.15%)
Basic EPS - Continuing Ops,(12.67%),54.00%,9.14%,(30.87%),(23.15%)
Basic Weighted Average Shares Outst.,(3.00%),(2.93%),(4.03%),(2.53%),(2.09%)
Diluted EPS,(12.73%),53.22%,9.24%,(30.77%),(23.27%)
Diluted EPS - Continuing Ops,(12.73%),53.22%,9.24%,(30.77%),(23.27%)
Diluted Weighted Average Shares Outst.,(3.01%),(2.63%),(4.27%),(2.66%),(2.09%)
Normalized Basic EPS,(3.87%),19.84%,8.00%,(30.80%),(33.04%)
Normalized Diluted EPS,(3.72%),19.68%,8.33%,(30.75%),(33.04%)
Dividend Per Share,9.09%,16.67%,10.71%,9.68%,10.24%
Payout Ratio,25.23%,(24.56%),2.03%,58.86%,
EBITDA,(5.88%),14.36%,(5.05%),(35.22%),(44.07%)
EBITA,(6.71%),16.07%,(5.59%),(38.86%),(48.53%)
EBIT,(6.78%),16.09%,(5.55%),(38.93%),(48.42%)
EBITDAR,(5.13%),12.76%,(6.00%),(30.82%),
Effective Tax Rate,15.30%,(39.36%),2.86%,0.19%,(10.51%)
Normalized Net Income,(6.60%),16.54%,3.72%,(32.55%),(34.44%)
Foreign Sales,11.18%,19.34%,(0.06%),(17.68%),
