Income Statement,Apr 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,(10.16%),(7.07%),2.11%,(2.43%),(31.35%)
Total Revenues,(10.16%),(7.07%),2.11%,(2.43%),(31.35%)
Cost Of Revenues,(12.33%),(13.58%),(0.13%),(3.01%),(35.96%)
Gross Profit,(8.51%),(2.33%),3.56%,(2.07%),(28.53%)
Selling General & Admin Expenses,(7.72%),7.14%,2.71%,(2.00%),(11.40%)
Depreciation & Amortization,(0.81%),,,,(97.44%)
Other Operating Expense/(Income),,,,62.64%,(61.23%)
Total Operating Expenses,(7.08%),(2.38%),2.94%,0.76%,(15.69%)
Operating Income,(14.67%),(2.09%),6.46%,(14.80%),(85.10%)
Interest Expense,-40.95%,(46.77%),(13.74%),-14.98%,(120.11%)
Interest And Investment Income,15.87%,68.49%,231.71%,(15.69%),(66.33%)
Net Interest Expenses,-65.31%,(15.69%),,(16.42%),
Currency Exchange Gains (Loss),,309.09%,,-60.71%,-32.31%
Other Non Operating Income (Expenses),(112.50%),-8.82%,,40.00%,552.63%
"EBT, Excl. Unusual Items",(12.86%),(1.59%),11.09%,(14.96%),(87.87%)
"EBT, Incl. Unusual Items",,,19.07%,(43.97%),
Income Tax Expense,,,(53.55%),,(91.88%)
Earnings From Continuing Operations,,,164.68%,(10.81%),
Net Income to Company,,,164.68%,(10.81%),
Net Income,,,164.68%,(10.81%),
NI to Common Incl Extra Items,,,164.68%,(10.81%),
NI to Common Excl. Extra Items,,,164.68%,(10.81%),
Revenue Per Share,(7.45%),(5.93%),3.51%,3.75%,(27.91%)
Basic EPS,,,168.65%,(5.24%),
Basic EPS - Continuing Ops,,,168.65%,(5.24%),
Basic Weighted Average Shares Outst.,(2.93%),(1.21%),(1.35%),(5.96%),(4.76%)
Diluted EPS,,,167.51%,(5.50%),
Diluted EPS - Continuing Ops,,,167.51%,(5.50%),
Diluted Weighted Average Shares Outst.,(3.73%),(0.24%),(0.97%),(5.51%),(6.28%)
Normalized Basic EPS,(10.20%),(0.41%),12.58%,(9.56%),(87.26%)
Normalized Diluted EPS,(9.56%),(1.38%),12.19%,(9.93%),(87.06%)
Dividend Per Share,0.00%,0.00%,25.00%,10.00%,(74.42%)
Payout Ratio,,,(55.63%),19.88%,
EBITDA,(10.73%),(4.12%),3.07%,(10.50%),(63.67%)
EBITA,(14.20%),(2.04%),6.16%,(14.41%),(82.53%)
EBIT,(14.67%),(2.09%),6.46%,(14.80%),(85.10%)
EBITDAR,(8.27%),(4.01%),2.54%,4.99%,
Effective Tax Rate,(81.04%),,(60.99%),,
Normalized Net Income,(12.86%),(1.59%),11.09%,(14.96%),(87.87%)
Foreign Sales,(2.00%),3.47%,6.49%,(2.80%),
