Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,12.40%,13.23%,11.38%,13.44%,11.04%
Total Revenues,12.40%,13.23%,11.38%,13.44%,11.04%
Cost Of Revenues,12.01%,13.07%,9.40%,11.18%,9.61%
Gross Profit,12.68%,13.35%,12.80%,15.02%,12.01%
Selling General & Admin Expenses,13.50%,8.38%,7.44%,4.91%,(1.70%)
R&D Expenses,21.76%,7.39%,16.44%,11.79%,8.50%
Total Operating Expenses,18.14%,7.64%,12.31%,6.41%,(0.04%)
Operating Income,4.79%,22.67%,13.52%,27.21%,28.57%
Interest Expense,(151.97%),(0.42%),(27.51%),(11.67%),-30.84%
Interest And Investment Income,1.33%,(4.14%),(85.96%),(55.59%),(54.04%)
Net Interest Expenses,,(7.41%),(182.68%),(16.24%),-30.15%
Currency Exchange Gains (Loss),30.34%,,,(22.25%),(22.25%)
Other Non Operating Income (Expenses),(59.96%),645.06%,(44.12%),(59.87%),(77.09%)
"EBT, Excl. Unusual Items",0.98%,22.08%,7.12%,26.49%,34.38%
"EBT, Incl. Unusual Items",(4.74%),24.49%,(0.47%),41.29%,47.45%
Income Tax Expense,(12.27%),169.06%,(44.46%),(2.49%),21.48%
Earnings From Continuing Operations,(2.87%),(7.80%),28.20%,53.65%,53.62%
Net Income to Company,(2.87%),(7.80%),28.20%,53.65%,53.62%
Net Income,(2.87%),(7.80%),28.20%,53.65%,53.62%
NI to Common Incl Extra Items,(2.87%),(7.80%),28.20%,53.65%,53.62%
NI to Common Excl. Extra Items,(2.87%),(7.80%),28.20%,53.65%,53.62%
Revenue Per Share,11.52%,12.12%,11.13%,12.50%,10.13%
Basic EPS,(3.53%),(8.65%),27.92%,52.19%,52.37%
Basic EPS - Continuing Ops,(3.53%),(8.65%),27.92%,52.19%,52.37%
Basic Weighted Average Shares Outst.,0.80%,0.99%,0.24%,0.86%,0.83%
Diluted EPS,(3.61%),(8.75%),27.85%,52.50%,52.90%
Diluted EPS - Continuing Ops,(3.61%),(8.75%),27.85%,52.50%,52.90%
Diluted Weighted Average Shares Outst.,0.55%,1.08%,0.35%,0.81%,0.74%
Normalized Basic EPS,0.34%,20.68%,7.02%,25.37%,33.28%
Normalized Diluted EPS,0.58%,20.87%,6.89%,25.70%,33.39%
Dividend Per Share,8.94%,5.97%,5.63%,4.00%,1.30%
Payout Ratio,14.11%,16.12%,(17.22%),(30.81%),(32.61%)
EBITDA,8.83%,16.05%,14.04%,22.58%,26.19%
EBITA,9.47%,16.55%,15.41%,25.22%,28.65%
EBIT,4.79%,22.67%,13.52%,27.21%,28.57%
EBITDAR,9.05%,15.67%,13.94%,22.30%,
Effective Tax Rate,(7.92%),116.12%,(44.19%),(30.98%),(17.61%)
Normalized Net Income,0.98%,22.08%,7.12%,26.49%,34.38%
Interest on Long-Term Debt,151.97%,0.42%,27.51%,11.67%,
R&D Expense From Footnotes,21.76%,7.39%,16.44%,11.79%,8.50%
Foreign Sales,7.06%,18.80%,2.30%,10.86%,
