Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,5879.5,6311.3,6666.0,6694.8,6329.8,6210.6
Total Revenues,5879.5,6311.3,6666.0,6694.8,6329.8,6210.6
Cost Of Revenues,3404.0,3643.4,3781.1,3794.7,3734.6,3671.8
Gross Profit,2475.5,2667.9,2884.9,2900.1,2595.2,2538.8
Selling General & Admin Expenses,1466.5,1634.7,1612.9,1528.8,1515.8,1486.0
Total Operating Expenses,1466.5,1634.7,1612.9,1528.8,1515.8,1486.0
Operating Income,1009.0,1033.2,1272.0,1371.3,1079.4,1052.8
Interest Expense,(71.3),(76.2),(73.0),(98.2),(103.5),(99.7)
Interest And Investment Income,12.7,19.6,24.4,11.1,5.5,3.4
Net Interest Expenses,(58.6),(56.6),(48.6),(87.1),(98.0),(96.3)
Currency Exchange Gains (Loss),(12.0),(9.1),1.1,0.3,(13.2),(12.7)
Other Non Operating Income (Expenses),4.7,9.1,16.3,(15.0),14.0,15.1
"EBT, Excl. Unusual Items",943.1,976.6,1240.8,1269.5,982.2,958.9
"EBT, Incl. Unusual Items",943.1,1037.4,1330.8,901.0,1136.1,1502.2
Income Tax Expense,213.4,211.7,795.3,205.2,112.9,204.0
Earnings From Continuing Operations,729.7,825.7,535.5,695.8,1023.2,1298.2
Net Income to Company,729.7,825.7,535.5,695.8,1023.2,1298.2
Minority Interest,,,,,0.2,7.8
Net Income,729.7,825.7,535.5,695.8,1023.4,1306.0
Preferred Dividend and Other Adjustments,0.7,0.9,0.5,0.7,1.0,1.4
NI to Common Incl Extra Items,729.0,824.8,535.0,695.1,1022.4,1304.6
NI to Common Excl. Extra Items,729.0,824.8,535.0,695.1,1022.4,1304.6
Revenue Per Share,$45.16,$49.15,$53.16,$56.59,$54.66,$53.59
Basic EPS,$5.60,$6.42,$4.27,$5.88,$8.83,$11.26
Basic EPS - Continuing Ops,$5.60,$6.42,$4.27,$5.88,$8.83,$11.26
Basic Weighted Average Shares Outst.,130.2,128.4,125.4,118.3,115.8,115.9
Diluted EPS,$5.56,$6.35,$4.21,$5.83,$8.77,$11.18
Diluted EPS - Continuing Ops,$5.56,$6.35,$4.21,$5.83,$8.77,$11.18
Diluted Weighted Average Shares Outst.,131.1,129.9,126.9,119.3,116.6,116.7
Normalized Basic EPS,$4.53,$4.75,$6.18,$6.71,$5.30,$5.24
Normalized Diluted EPS,$4.50,$4.70,$6.11,$6.65,$5.27,$5.20
Dividend Per Share,$2.90,$3.04,$3.51,$3.88,$4.08,$4.13
Payout Ratio,51.83%,47.32%,82.32%,66.08%,46.20%,36.69%
EBITDA,1169.7,1192.3,1424.8,1513.1,1241.9,1217.4
EBITA,1026.4,1053.6,1288.4,1386.9,1119.4,1095.2
EBIT,1009.0,1033.2,1272.0,1371.3,1079.4,1052.8
EBITDAR,1285.2,1307.4,1545.1,1632.1,1362.1,
Effective Tax Rate,22.6%,20.4%,59.8%,22.8%,9.9%,13.6%
Normalized Net Income,589.4,610.4,775.5,793.4,614.1,607.1
R&D Expense From Footnotes,319.3,348.2,371.8,378.9,371.5,371.5
Foreign Sales,2666.1,6311.3,6666.0,6694.8,2904.7,
