Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,21.57%,12.67%,3.38%,2.99%,5.06%
Total Revenues,21.57%,12.67%,3.38%,2.99%,5.06%
Cost Of Revenues,19.57%,9.70%,1.46%,2.29%,3.47%
Gross Profit,22.83%,14.48%,4.50%,3.38%,5.95%
Selling General & Admin Expenses,30.36%,(8.97%),0.36%,10.20%,(11.19%)
R&D Expenses,,,7.06%,10.56%,
Total Operating Expenses,30.36%,13.81%,1.70%,10.28%,11.43%
Operating Income,13.84%,15.39%,8.28%,(5.35%),(1.25%)
Interest Expense,(61.83%),(0.83%),(2.47%),(17.31%),(24.32%)
Net Interest Expenses,(61.83%),(0.83%),(2.47%),(17.31%),(24.32%)
Currency Exchange Gains (Loss),-51.72%,,,(16.22%),
Other Non Operating Income (Expenses),,-93.10%,(600.00%),,
"EBT, Excl. Unusual Items",7.93%,18.43%,8.73%,(8.41%),(3.06%)
"EBT, Incl. Unusual Items",10.00%,15.82%,85.86%,(45.71%),(39.81%)
Income Tax Expense,(77.70%),303.82%,80.91%,(43.50%),(42.39%)
Earnings From Continuing Operations,47.56%,(2.82%),87.20%,(46.28%),(39.07%)
Net Income to Company,47.56%,(2.82%),87.20%,(46.28%),(39.07%)
Net Income,47.56%,(2.82%),87.20%,(46.28%),(39.07%)
NI to Common Incl Extra Items,47.56%,(2.82%),87.20%,(46.28%),(39.07%)
NI to Common Excl. Extra Items,47.56%,(2.82%),87.20%,(46.28%),(39.07%)
Revenue Per Share,20.51%,11.58%,2.69%,2.30%,4.36%
Basic EPS,46.29%,(3.77%),85.96%,(46.65%),(39.48%)
Basic EPS - Continuing Ops,46.29%,(3.77%),85.96%,(46.65%),(39.48%)
Basic Weighted Average Shares Outst.,0.89%,0.98%,0.68%,0.67%,0.67%
Diluted EPS,46.03%,(3.62%),85.86%,(46.61%),(39.41%)
Diluted EPS - Continuing Ops,46.03%,(3.62%),85.86%,(46.61%),(39.41%)
Diluted Weighted Average Shares Outst.,0.98%,0.87%,0.67%,0.57%,0.59%
Normalized Basic EPS,7.00%,17.29%,8.06%,(9.00%),(3.70%)
Normalized Diluted EPS,6.93%,17.44%,8.00%,(8.91%),(3.63%)
Dividend Per Share,17.00%,16.44%,11.76%,10.53%,(18.59%)
Payout Ratio,(20.10%),22.61%,(39.79%),107.97%,83.03%
EBITDA,19.30%,13.39%,9.33%,1.24%,5.82%
EBITA,18.91%,13.83%,9.62%,1.05%,5.71%
EBIT,13.84%,15.39%,8.28%,(5.35%),(1.25%)
EBITDAR,20.12%,13.00%,8.94%,1.33%,
Effective Tax Rate,(79.72%),248.60%,(2.65%),4.06%,(4.27%)
Normalized Net Income,7.93%,18.43%,8.73%,(8.41%),(3.06%)
R&D Expense From Footnotes,43.86%,34.08%,7.06%,10.56%,31.55%
Foreign Sales,37.55%,3.22%,1.00%,2.54%,
