Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,9.85%,6.01%,7.04%,(21.87%),(21.87%)
Total Revenues,9.85%,6.01%,7.04%,(21.87%),(21.87%)
Cost Of Revenues,9.71%,6.80%,5.57%,(16.09%),(16.09%)
Gross Profit,10.15%,4.38%,10.15%,(33.53%),(33.53%)
Selling General & Admin Expenses,7.53%,8.16%,13.79%,(2.08%),(2.08%)
Total Operating Expenses,7.53%,8.16%,13.79%,(2.08%),(2.08%)
Operating Income,13.63%,(0.38%),5.17%,(79.98%),(79.98%)
Interest Expense,-3.69%,-12.95%,-40.64%,(804.15%),(804.15%)
Interest And Investment Income,262.58%,137.84%,4.81%,(83.30%),(83.30%)
Net Interest Expenses,-53.44%,,78.17%,,
"EBT, Excl. Unusual Items",14.25%,0.50%,5.53%,(84.00%),(84.00%)
"EBT, Incl. Unusual Items",14.25%,0.50%,5.53%,(95.09%),(95.09%)
Income Tax Expense,1.42%,(31.65%),8.62%,(95.84%),(95.84%)
Earnings From Continuing Operations,21.93%,16.49%,4.63%,(94.86%),(94.86%)
Net Income to Company,21.93%,16.49%,4.63%,(94.86%),(94.86%)
Net Income,21.93%,16.49%,4.63%,(94.86%),(94.86%)
NI to Common Incl Extra Items,21.93%,16.49%,4.63%,(94.86%),(94.86%)
NI to Common Excl. Extra Items,21.93%,16.49%,4.63%,(94.86%),(94.86%)
Revenue Per Share,13.02%,9.35%,10.34%,(20.52%),(20.52%)
Basic EPS,25.44%,20.00%,7.76%,(94.77%),(94.77%)
Basic EPS - Continuing Ops,25.44%,20.00%,7.76%,(94.77%),(94.77%)
Basic Weighted Average Shares Outst.,(2.79%),(3.05%),(3.00%),(1.69%),(1.69%)
Diluted EPS,25.44%,20.00%,7.98%,(94.78%),(94.78%)
Diluted EPS - Continuing Ops,25.44%,20.00%,7.98%,(94.78%),(94.78%)
Diluted Weighted Average Shares Outst.,(2.69%),(3.03%),(3.08%),(1.82%),(1.82%)
Normalized Basic EPS,17.41%,3.54%,8.75%,(83.71%),(83.72%)
Normalized Diluted EPS,17.27%,3.60%,8.87%,(83.72%),(83.70%)
Dividend Per Share,23.68%,30.99%,12.90%,(72.86%),(72.86%)
Payout Ratio,(5.40%),16.96%,4.82%,433.54%,433.43%
EBITDA,12.18%,0.40%,5.31%,(68.20%),(68.20%)
EBITA,13.63%,(0.38%),5.17%,(79.98%),(79.98%)
EBIT,13.63%,(0.38%),5.17%,(79.98%),(79.98%)
EBITDAR,10.86%,1.62%,12.59%,(50.61%),
Effective Tax Rate,(11.24%),(31.98%),2.91%,(15.41%),(15.40%)
Normalized Net Income,14.25%,0.50%,5.53%,(84.00%),(84.00%)
Interest Capitalized,"2,630.77%",251.69%,74.89%,180.54%,
Interest on Long-Term Debt,0.03%,(3.65%),(26.60%),573.90%,
