Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.96%,(0.01%),2.57%,(1.42%),0.00%
Total Revenues,6.96%,(0.01%),2.57%,(1.42%),0.00%
Cost Of Revenues,7.82%,(1.04%),1.11%,(3.11%),0.00%
Gross Profit,5.61%,1.67%,4.89%,1.16%,0.00%
Selling General & Admin Expenses,9.03%,0.20%,12.15%,(4.14%),0.00%
Depreciation & Amortization,4.56%,(0.28%),0.69%,3.40%,0.00%
Other Operating Expense/(Income),0.88%,1.13%,1.49%,1.22%,0.00%
Total Operating Expenses,6.54%,0.00%,6.30%,(0.55%),0.00%
Operating Income,4.40%,3.86%,3.09%,3.39%,0.00%
Interest Expense,-2.56%,(6.31%),-1.36%,-9.35%,0.00%
Interest And Investment Income,11.11%,60.00%,300.00%,(18.75%),0.00%
Net Interest Expenses,-2.59%,(6.16%),-2.61%,-9.19%,0.00%
Other Non Operating Income (Expenses),,54.39%,,"(2,135.29%)",0.00%
"EBT, Excl. Unusual Items",5.31%,2.85%,(1.82%),4.10%,0.00%
"EBT, Incl. Unusual Items",32.74%,3.03%,(1.90%),(11.82%),0.00%
Income Tax Expense,(99.12%),"9,038.71%",(21.64%),(22.03%),0.00%
Earnings From Continuing Operations,108.58%,(18.87%),3.49%,(9.70%),0.00%
Net Income to Company,108.58%,(18.87%),3.49%,(9.70%),0.00%
Minority Interest,0.00%,(16.67%),-28.57%,(380.00%),0.00%
Net Income,108.68%,(18.89%),3.51%,(9.89%),0.00%
NI to Common Incl Extra Items,108.68%,(18.89%),3.51%,(9.89%),0.00%
NI to Common Excl. Extra Items,108.68%,(18.89%),3.51%,(9.89%),0.00%
Revenue Per Share,8.85%,3.11%,4.43%,(0.87%),0.00%
Basic EPS,111.89%,(16.31%),5.46%,(9.30%),0.00%
Basic EPS - Continuing Ops,111.89%,(16.31%),5.46%,(9.30%),0.00%
Basic Weighted Average Shares Outst.,(1.74%),(3.01%),(1.79%),(0.55%),0.00%
Diluted EPS,111.80%,(16.18%),5.38%,(9.31%),0.00%
Diluted EPS - Continuing Ops,111.80%,(16.18%),5.38%,(9.31%),0.00%
Diluted Weighted Average Shares Outst.,(1.57%),(3.13%),(1.95%),(0.67%),0.00%
Normalized Basic EPS,7.16%,5.89%,(0.07%),4.37%,0.00%
Normalized Diluted EPS,7.04%,6.32%,0.04%,4.61%,0.00%
Dividend Per Share,7.26%,8.27%,8.33%,6.41%,0.00%
Payout Ratio,(49.61%),29.24%,2.75%,18.03%,0.00%
EBITDA,4.36%,2.24%,0.96%,3.22%,0.00%
EBITA,4.23%,6.99%,0.99%,3.31%,0.00%
EBIT,4.40%,3.86%,3.09%,3.39%,0.00%
EBITDAR,,,,2.76%,
Effective Tax Rate,(99.34%),"8,836.42%",(20.13%),(11.57%),0.00%
Normalized Net Income,5.32%,2.84%,(1.80%),3.87%,0.00%
Interest Capitalized,4.84%,4.62%,5.88%,(13.89%),
Interest on Long-Term Debt,7.75%,,,(8.34%),
