Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,1538.1,1623.2,1740.4,1860.9,1954.5,1967.2
Other Revenue,95.1,104.5,125.3,153.8,128.7,147.6
Total Revenues,1633.1,1727.7,1865.7,2014.6,2083.1,2114.8
Property Expenses,434.0,458.7,479.8,508.3,493.1,508.6
Selling General & Admin Exp.,125.2,130.7,142.5,191.8,193.4,195.4
Depreciation & Amortization,638.2,643.1,672.1,697.1,722.0,723.3
Other Operating Expenses,6.3,4.4,2.0,4.1,2.0,2.0
Total Operating Expenses,1203.7,1236.9,1296.4,1401.2,1410.4,1429.2
Operating Income,429.4,490.8,569.3,613.4,672.7,685.6
Total Interest Expense,(352.5),(348.6),(399.1),(415.7),(412.8),(416.2)
Interest and Investment Income,10.9,11.3,6.7,5.5,3.0,2.7
Net Interest Expenses,(341.6),(337.2),(392.4),(410.2),(409.8),(413.5)
Other Non Operating Income,4.3,(2.4),(85.6),3.4,(1.8),136.1
"EBT, Excl. Unusual Items",182.1,151.1,91.3,217.3,40.7,187.9
Gain (Loss) on Sale of Assets,8.9,,,,,
Asset Writedown,(32.2),(32.3),(25.1),(29.9),(39.0),(29.6)
Other Unusual Items,(71.5),(2.0),(14.4),(0.5),(19.5),(14.3)
"EBT, Incl. Unusual Items",87.3,116.9,51.7,186.9,(17.7),144.1
Income Tax Expense,11.1,13.2,4.2,39.6,(41.8),3.8
Earnings From Continuing Operations,76.2,103.7,47.5,147.3,24.0,140.2
Net Income to Company,76.2,103.7,47.5,147.3,24.0,140.2
Minority Interest,,,,(0.3),0.1,(0.8)
Net Income,76.2,103.7,47.5,147.0,24.1,139.4
NI to Common Incl Extra Items,76.2,103.7,47.5,147.0,24.1,139.4
NI to Common Excl. Extra Items,76.2,103.7,47.5,147.0,24.1,139.4
Revenue Per Share,$13.12,$14.41,$16.24,$17.86,$18.68,$19.07
Basic EPS,$0.61,$0.86,$0.41,$1.30,$0.22,$1.26
Basic EPS - Continuing Ops,$0.61,$0.86,$0.41,$1.30,$0.22,$1.26
Basic Weighted Average Shares Outst.,124.4,119.9,114.9,112.8,111.5,110.9
Diluted EPS,$0.61,$0.86,$0.41,$1.28,$0.21,$1.23
Diluted EPS - Continuing Ops,$0.61,$0.86,$0.41,$1.28,$0.21,$1.23
Diluted Weighted Average Shares Outst.,125.1,121.0,116.5,114.7,113.5,112.9
Normalized Basic EPS,$0.91,$0.79,$0.50,$1.20,$0.23,$1.05
Normalized Diluted EPS,$0.91,$0.78,$0.49,$1.18,$0.22,$1.03
Dividend Per Share,,,,$1.21,$1.98,$2.09
Payout Ratio,,,,56.73%,861.64%,157.01%
EBITDA,1067.6,1133.9,1241.4,1310.5,1394.7,1408.9
EBITA,799.3,874.9,971.9,1028.6,1107.1,1120.0
EBIT,429.4,490.8,569.3,613.4,672.7,685.6
EBITDAR,1346.3,,,1615.7,1697.9,
Effective Tax Rate,12.7%,11.3%,8.2%,21.2%,NM,2.7%
Normalized Net Income,113.8,94.4,57.0,135.5,25.5,116.6
Interest Capitalized,1.0,1.1,0.9,0.7,0.6,
Interest on Long-Term Debt,366.3,349.7,400.0,417.0,423.8,
Foreign Earnings,18.8,,,,,
Foreign Sales,264.2,217.4,221.5,226.7,222.6,
