Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,5.53%,7.22%,6.92%,5.03%,3.48%
Other Revenue,9.94%,19.87%,22.77%,(16.33%),7.43%
Total Revenues,5.79%,7.99%,7.98%,3.40%,3.75%
Property Expenses,5.68%,4.60%,5.94%,(2.98%),1.45%
Selling General & Admin Exp.,4.39%,9.05%,34.55%,0.83%,2.60%
Depreciation & Amortization,0.77%,4.51%,3.71%,3.57%,2.07%
Other Operating Expenses,(29.13%),(55.27%),105.98%,(51.43%),(55.57%)
Total Operating Expenses,2.76%,4.81%,8.09%,0.66%,1.74%
Operating Income,14.28%,16.01%,7.75%,9.66%,8.21%
Total Interest Expense,-1.12%,(14.51%),(4.15%),-0.70%,(1.32%)
Interest and Investment Income,3.74%,(40.63%),(18.29%),(45.80%),(40.50%)
Net Interest Expenses,-1.27%,(16.36%),(4.53%),-0.09%,(1.80%)
Other Non Operating Income,,"(3,441.11%)",,,
"EBT, Excl. Unusual Items",(17.03%),(39.60%),138.07%,(81.26%),"1,500.19%"
Asset Writedown,(0.21%),-22.03%,(19.11%),(30.25%),-22.62%
Other Unusual Items,-97.26%,(636.51%),-96.84%,"(4,158.86%)",-17.72%
"EBT, Incl. Unusual Items",33.89%,(55.78%),261.60%,,
Income Tax Expense,19.63%,(68.02%),835.62%,,
Earnings From Continuing Operations,35.96%,(54.22%),210.39%,(83.67%),
Net Income to Company,35.96%,(54.22%),210.39%,(83.67%),
Net Income,35.96%,(54.22%),209.77%,(83.60%),
NI to Common Incl Extra Items,35.96%,(54.22%),209.77%,(83.60%),
NI to Common Excl. Extra Items,35.96%,(54.22%),209.77%,(83.60%),
Revenue Per Share,9.86%,12.67%,9.97%,4.58%,5.33%
Basic EPS,41.77%,(51.98%),217.81%,(83.38%),
Basic EPS - Continuing Ops,41.77%,(51.98%),217.81%,(83.38%),
Basic Weighted Average Shares Outst.,(3.69%),(4.13%),(1.83%),(1.13%),(1.50%)
Diluted EPS,40.98%,(52.33%),212.20%,(83.59%),
Diluted EPS - Continuing Ops,40.98%,(52.33%),212.20%,(83.59%),
Diluted Weighted Average Shares Outst.,(3.29%),(3.72%),(1.56%),(1.07%),0.22%
Normalized Basic EPS,(13.42%),(37.16%),140.26%,(80.94%),"1,394.66%"
Normalized Diluted EPS,(14.25%),(37.23%),141.13%,(80.95%),"1,369.06%"
Dividend Per Share,,,,63.22%,25.15%
Payout Ratio,,,,"1,418.84%",
EBITDA,6.20%,9.49%,5.57%,6.42%,4.97%
EBITA,9.45%,11.09%,5.84%,7.63%,5.89%
EBIT,14.28%,16.01%,7.75%,9.66%,8.21%
EBITDAR,,,,5.09%,
Effective Tax Rate,(10.62%),(27.65%),158.75%,"1,011.30%",(96.87%)
Normalized Net Income,(17.03%),(39.60%),137.56%,(81.18%),"1,372.26%"
Interest Capitalized,10.00%,(18.18%),(22.22%),(14.29%),
Interest on Long-Term Debt,(4.54%),14.41%,4.23%,1.65%,
Foreign Sales,(17.72%),1.89%,2.35%,(1.81%),
