Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9.46%,7.80%,0.31%,(28.30%),(34.24%)
Total Revenues,9.46%,7.80%,0.31%,(28.30%),(34.24%)
Cost Of Revenues,9.08%,8.29%,0.85%,(26.88%),(33.50%)
Gross Profit,11.95%,4.71%,(3.23%),(38.03%),(39.31%)
Selling General & Admin Expenses,7.20%,2.78%,15.09%,(28.57%),(39.35%)
R&D Expenses,(22.23%),(10.80%),2.14%,(19.11%),(24.41%)
Total Operating Expenses,(13.85%),(5.99%),7.16%,(23.05%),(30.73%)
Operating Income,27.92%,9.17%,(6.96%),(44.22%),(43.04%)
Interest Expense,-0.70%,(1.59%),(5.91%),-7.55%,-5.69%
Interest And Investment Income,16.36%,(53.13%),(31.67%),(19.51%),
Net Interest Expenses,-4.78%,(17.58%),(10.29%),-6.69%,(1.99%)
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",39.36%,7.13%,(93.06%),533.85%,966.67%
"EBT, Incl. Unusual Items",-37.90%,,,(8.45%),-85.15%
Income Tax Expense,,35.45%,,(161.09%),-98.47%
Earnings From Continuing Operations,-7.01%,,,(3.75%),-84.33%
Net Income to Company,-7.01%,,,(3.75%),-84.33%
Minority Interest,,,-23.08%,(6.67%),(27.59%)
Net Income,-10.79%,,,(3.76%),-84.15%
NI to Common Incl Extra Items,-10.79%,,,(3.76%),-84.15%
NI to Common Excl. Extra Items,-10.79%,,,(3.76%),-84.15%
Revenue Per Share,7.03%,8.04%,0.32%,(28.57%),(34.58%)
Basic EPS,-12.56%,,,(3.37%),-84.23%
Basic EPS - Continuing Ops,-12.56%,,,(3.37%),-84.23%
Basic Weighted Average Shares Outst.,2.28%,(0.22%),0.00%,0.36%,0.52%
Diluted EPS,-12.56%,,,(3.42%),-84.22%
Diluted EPS - Continuing Ops,-12.56%,,,(3.42%),-84.22%
Diluted Weighted Average Shares Outst.,2.28%,0.36%,(0.57%),0.36%,0.52%
Normalized Basic EPS,44.19%,4.24%,(94.67%),773.65%,"1,575.12%"
Normalized Diluted EPS,44.19%,3.64%,(94.63%),773.65%,"1,575.12%"
Dividend Per Share,0.00%,0.00%,0.00%,(56.25%),(75.00%)
EBITDA,5.97%,(0.19%),(2.80%),(35.62%),(36.18%)
EBITA,25.74%,7.75%,(0.34%),(42.85%),(56.70%)
EBIT,27.92%,9.17%,(6.96%),(44.22%),(43.04%)
EBITDAR,7.67%,3.52%,(2.24%),(31.92%),
Effective Tax Rate,,,(82.48%),,(89.69%)
Normalized Net Income,47.71%,4.19%,(94.67%),709.58%,"1,583.85%"
R&D Expense From Footnotes,(22.23%),(10.80%),2.14%,(19.11%),(24.41%)
Foreign Sales,43.43%,9.64%,0.31%,(28.30%),
