Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,7.48%,1.46%,(0.29%),(3.69%),2.85%
Other Revenues,11.37%,5.20%,2.43%,3.55%,4.26%
Total Revenues,7.77%,1.75%,(0.07%),(3.09%),2.97%
Cost Of Revenues,8.61%,0.68%,0.39%,(2.34%),2.67%
Gross Profit,6.99%,2.78%,(0.49%),(3.79%),3.26%
Selling General & Admin Expenses,10.15%,(1.86%),(1.01%),(3.00%),1.26%
Total Operating Expenses,10.15%,(1.86%),(1.01%),(3.00%),1.26%
Operating Income,3.08%,8.90%,0.13%,(4.71%),5.65%
Interest Expense,(0.39%),-3.84%,-2.59%,(10.25%),(19.33%)
Interest And Investment Income,(50.00%),100.00%,150.00%,13.33%,13.33%
Net Interest Expenses,(0.97%),-4.44%,-4.44%,(10.15%),(19.52%)
Currency Exchange Gains (Loss),(438.46%),-44.29%,-7.69%,(8.33%),-45.00%
Other Non Operating Income (Expenses),,(260.00%),,(83.33%),100.00%
"EBT, Excl. Unusual Items",2.27%,9.96%,0.70%,(5.65%),5.22%
"EBT, Incl. Unusual Items",2.39%,10.63%,1.36%,(9.48%),4.18%
Income Tax Expense,2.70%,(14.55%),(1.21%),(10.72%),2.77%
Earnings From Continuing Operations,2.25%,21.67%,2.15%,(9.11%),4.60%
Net Income to Company,2.25%,21.67%,2.15%,(9.11%),4.60%
Minority Interest,(9.85%),(12.41%),(8.59%),(9.60%),(7.10%)
Net Income,2.07%,21.91%,2.00%,(9.59%),4.53%
NI to Common Incl Extra Items,2.07%,21.91%,2.00%,(9.59%),4.53%
NI to Common Excl. Extra Items,2.07%,21.91%,2.00%,(9.59%),4.53%
Revenue Per Share,9.08%,3.74%,2.11%,(1.65%),4.18%
Basic EPS,3.36%,24.24%,4.19%,(8.28%),5.76%
Basic EPS - Continuing Ops,3.36%,24.24%,4.19%,(8.28%),5.76%
Basic Weighted Average Shares Outst.,(1.20%),(1.92%),(2.13%),(1.45%),(1.16%)
Diluted EPS,3.48%,24.68%,4.55%,(7.82%),6.04%
Diluted EPS - Continuing Ops,3.48%,24.68%,4.55%,(7.82%),6.04%
Diluted Weighted Average Shares Outst.,(1.35%),(2.22%),(2.44%),(1.97%),(1.38%)
Normalized Basic EPS,3.32%,12.03%,2.63%,(4.79%),6.39%
Normalized Diluted EPS,3.41%,12.40%,2.96%,(4.22%),6.63%
Dividend Per Share,16.14%,15.59%,15.25%,13.74%,13.79%
Payout Ratio,12.54%,(7.02%),10.60%,24.25%,7.77%
EBITDA,3.56%,8.40%,0.27%,(3.97%),5.54%
EBITA,3.33%,8.66%,0.15%,(4.58%),5.65%
EBIT,3.08%,8.90%,0.13%,(4.71%),5.65%
EBITDAR,3.86%,7.88%,(0.48%),(3.92%),
Effective Tax Rate,0.30%,(22.75%),(2.52%),(1.38%),(1.36%)
Normalized Net Income,2.07%,9.89%,0.46%,(6.14%),5.15%
Interest on Long-Term Debt,,,,(20.00%),
R&D Expense From Footnotes,12.50%,(1.32%),(7.24%),(1.88%),(1.88%)
Foreign Sales,15.49%,3.51%,(5.12%),(8.15%),
