Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,2422.5,2724.9,3121.1,3360.7,3685.3,3821.2
Total Revenues,2422.5,2724.9,3121.1,3360.7,3685.3,3821.2
Cost Of Revenues,440.8,578.1,651.9,693.3,742.2,758.7
Gross Profit,1981.7,2146.8,2469.2,2667.4,2943.0,3062.6
Selling General & Admin Expenses,668.3,738.5,859.5,880.4,916.5,943.1
R&D Expenses,856.7,908.8,1084.8,1136.9,1279.0,1322.2
Total Operating Expenses,1654.7,1755.1,2070.0,2118.3,2286.8,2354.3
Operating Income,327.0,391.7,399.2,549.1,656.2,708.3
Interest Expense,(3.8),(7.3),(15.6),(11.7),(5.1),(4.3)
Interest And Investment Income,3.7,7.2,5.3,6.9,3.6,2.4
Net Interest Expenses,(0.1),(0.1),(10.3),(4.8),(1.6),(1.9)
Currency Exchange Gains (Loss),0.2,3.4,3.6,3.6,5.5,5.1
Other Non Operating Income (Expenses),12.0,33.6,10.0,26.5,14.1,31.5
"EBT, Excl. Unusual Items",339.2,428.6,402.5,574.4,674.2,743.0
"EBT, Incl. Unusual Items",329.5,383.1,363.5,545.5,638.2,715.7
Income Tax Expense,62.7,246.5,(69.0),13.1,(25.3),(5.7)
Earnings From Continuing Operations,266.8,136.6,432.5,532.4,663.4,721.4
Net Income to Company,266.8,136.6,432.5,532.4,663.4,721.4
Minority Interest,,,,,0.9,1.2
Net Income,266.8,136.6,432.5,532.4,664.3,722.6
NI to Common Incl Extra Items,266.8,136.6,432.5,532.4,664.3,722.6
NI to Common Excl. Extra Items,266.8,136.6,432.5,532.4,664.3,722.6
Revenue Per Share,$15.94,$18.11,$20.94,$22.42,$24.38,$25.19
Basic EPS,$1.76,$0.91,$2.90,$3.55,$4.40,$4.76
Basic EPS - Continuing Ops,$1.76,$0.91,$2.90,$3.55,$4.40,$4.76
Basic Weighted Average Shares Outst.,152.0,150.5,149.0,149.9,151.1,151.7
Diluted EPS,$1.73,$0.88,$2.82,$3.45,$4.27,$4.62
Diluted EPS - Continuing Ops,$1.73,$0.88,$2.82,$3.45,$4.27,$4.62
Diluted Weighted Average Shares Outst.,154.7,154.9,153.4,154.2,155.7,156.4
Normalized Basic EPS,$1.39,$1.78,$1.69,$2.40,$2.79,$3.07
Normalized Diluted EPS,$1.37,$1.73,$1.64,$2.33,$2.71,$2.98
EBITDA,445.0,511.3,526.0,691.8,814.6,866.2
EBITA,371.3,433.6,446.0,593.9,699.6,750.7
EBIT,327.0,391.7,399.2,549.1,656.2,708.3
EBITDAR,508.9,579.4,,,913.4,
Effective Tax Rate,19.0%,64.4%,NM,2.4%,NM,NM
Normalized Net Income,212.0,267.9,251.6,359.0,422.3,465.6
R&D Expense From Footnotes,945.7,978.7,1167.2,1196.0,1330.6,1372.7
Foreign Sales,1216.7,1367.5,1612.8,1684.5,1910.9,
