Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10183.0,9640.0,10102.0,10829.0,11370.0,11370.0
Total Revenues,10183.0,9640.0,10102.0,10829.0,11370.0,11370.0
Fuel & Purchased Power,3532.0,2483.0,2566.0,2327.0,2112.0,2112.0
Operations And Maintenance,2894.0,2831.0,3028.0,3466.0,3940.0,3940.0
Depreciation & Amortization,1312.0,1436.0,1491.0,1569.0,1666.0,1666.0
Other Operating Expenses,742.0,747.0,864.0,972.0,921.0,921.0
Total Operating Expenses,8557.0,7604.0,8071.0,8334.0,8639.0,8639.0
Operating Income,1626.0,2036.0,2031.0,2495.0,2731.0,2731.0
"Interest Expense, Total",(556.0),(623.0),(887.0),"(1,078.0)","(1,082.0)","(1,082.0)"
Interest and Investment Income,30.0,27.0,87.0,101.0,110.0,110.0
Net Interest Expenses,(526.0),(596.0),(800.0),(977.0),(972.0),(972.0)
Allow. For Equity Funds Used For Const.,116.0,168.0,98.0,94.0,128.0,128.0
Other Non-Operating Inc. (Exp.),15.0,102.0,(4.0),55.0,(7.0),(7.0)
"EBT, Excl. Unusual Items",1314.0,1749.0,1497.0,2293.0,2814.0,2814.0
Gain (Loss) on Sale of Assets,3.0,2.0,513.0,63.0,(3.0),(3.0)
"EBT, Incl. Unusual Items",1907.0,1319.0,888.0,2313.0,2503.0,2503.0
Income Tax Expense,389.0,938.0,(49.0),315.0,249.0,249.0
Earnings From Continuing Operations,1518.0,381.0,937.0,1998.0,2254.0,2254.0
Earnings Of Discontinued Operations,,(31.0),188.0,363.0,1850.0,1850.0
Net Income to Company,1518.0,350.0,1125.0,2361.0,4104.0,4104.0
Minority Interest,(148.0),(94.0),(76.0),(164.0),(172.0),(172.0)
Net Income,1370.0,256.0,1049.0,2197.0,3932.0,3932.0
Pref. Dividends and Other Adj.,,,125.0,142.0,168.0,168.0
NI to Common Incl Extra Items,1370.0,256.0,924.0,2055.0,3764.0,3764.0
NI to Common Excl. Extra Items,1370.0,287.0,736.0,1692.0,1914.0,1914.0
Revenue Per Share,$40.70,$38.32,$37.68,$38.97,$39.06,$39.06
Basic EPS,$5.48,$1.02,$3.45,$7.39,$12.93,$12.93
Basic EPS - Continuing Ops,$5.48,$1.14,$2.75,$6.09,$6.58,$6.58
Basic Weighted Average Shares Outst.,250.2,251.5,268.1,277.9,291.1,291.1
Diluted EPS,$5.46,$1.01,$3.42,$7.29,$12.88,$12.88
Diluted EPS - Continuing Ops,$5.46,$1.13,$2.72,$6.00,$6.55,$6.55
Diluted Weighted Average Shares Outst.,251.2,252.3,269.9,282.0,292.3,292.3
Normalized Basic EPS,$2.69,$3.97,$3.21,$4.57,$5.45,$5.45
Normalized Diluted EPS,$2.68,$3.96,$3.19,$4.50,$5.43,$5.43
Dividend Per Share,$3.02,$3.29,$3.58,$3.87,$4.18,$4.18
Payout Ratio,50.07%,294.92%,92.09%,51.66%,33.85%,33.85%
EBITDA,2938.0,3422.0,3517.0,4057.0,4388.0,4388.0
EBITA,1637.0,2054.0,2047.0,2506.0,2742.0,2742.0
EBIT,1626.0,2036.0,2031.0,2495.0,2731.0,2731.0
EBITDAR,3015.0,3529.0,3639.0,,,
Effective Tax Rate,20.4%,71.1%,NM,13.6%,9.9%,9.9%
Normalized Net Income,673.3,999.1,859.6,1269.1,1586.8,1586.8
Interest Capitalized,120.0,79.0,95.0,89.0,74.0,74.0
Interest on Long-Term Debt,,,,356.0,390.0,390.0
Foreign Sales,2179.0,1093.0,1262.0,1255.0,1165.0,1165.0
