Income Statement,Feb 2018,Feb 2019,Feb 2020,Feb 2021,TTM
Revenues,3.54%,7.07%,2.80%,3.25%,3.25%
Total Revenues,3.54%,7.07%,2.80%,3.25%,3.25%
Cost Of Revenues,(1.37%),7.58%,1.13%,(0.43%),(0.43%)
Gross Profit,8.79%,6.57%,4.44%,6.74%,6.74%
Selling General & Admin Expenses,6.69%,8.12%,7.12%,2.05%,2.05%
Other Operating Expense/(Income),,-3.81%,(85.15%),-73.26%,-73.26%
Total Operating Expenses,5.88%,8.21%,6.58%,2.94%,2.94%
Operating Income,10.46%,5.68%,3.24%,8.93%,8.93%
Interest Expense,-0.39%,(10.57%),(16.78%),-10.03%,-10.03%
Net Interest Expenses,-0.39%,(10.57%),(16.78%),-10.03%,-10.03%
Currency Exchange Gains (Loss),,,-87.17%,(123.08%),(123.08%)
"EBT, Excl. Unusual Items",37.55%,62.83%,,,
"EBT, Incl. Unusual Items",12.24%,77.29%,,,
Income Tax Expense,(95.87%),"2,921.59%",,,
Earnings From Continuing Operations,51.06%,49.40%,(99.38%),"9,394.39%","9,394.39%"
Net Income to Company,51.06%,49.40%,(99.38%),"9,394.39%","9,394.39%"
Minority Interest,(190.24%),(94.96%),(43.10%),(1.81%),(1.81%)
Net Income,50.69%,49.17%,,,
NI to Common Incl Extra Items,50.69%,49.17%,,,
NI to Common Excl. Extra Items,50.69%,49.17%,,,
Revenue Per Share,5.92%,9.45%,2.22%,2.24%,2.25%
Basic EPS,54.17%,52.53%,,,
Basic EPS - Continuing Ops,54.17%,52.53%,,,
Basic Weighted Average Shares Outst.,(2.26%),(2.17%),0.56%,0.98%,0.98%
Diluted EPS,53.14%,53.18%,,,
Diluted EPS - Continuing Ops,53.14%,53.18%,,,
Diluted Weighted Average Shares Outst.,(1.64%),(2.60%),(1.99%),0.98%,0.98%
Normalized Basic EPS,40.13%,66.24%,,,
Normalized Diluted EPS,39.22%,66.98%,,,
Dividend Per Share,30.00%,42.31%,1.35%,0.00%,0.00%
Payout Ratio,(15.72%),(6.55%),,,
EBITDA,11.49%,6.16%,2.69%,7.14%,7.14%
EBITA,10.21%,5.67%,3.22%,8.90%,8.90%
EBIT,10.46%,5.68%,3.24%,8.93%,8.93%
EBITDAR,,,,0.71%,
Effective Tax Rate,(96.33%),"1,605.94%",517.91%,,(80.35%)
Normalized Net Income,37.02%,62.60%,,,
Interest on Long-Term Debt,,,,(28.57%),
Foreign Sales,(51.34%),(13.22%),2.76%,(3.92%),
