Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,3289.0,3651.4,3868.0,3376.8,3355.7,3969.6
Total Revenues,3289.0,3651.4,3868.0,3376.8,3355.7,3969.6
Cost Of Revenues,1623.8,1809.6,1917.3,1706.9,1719.4,2015.9
Gross Profit,1665.2,1841.8,1950.7,1669.9,1636.3,1953.7
Selling General & Admin Expenses,195.9,205.9,207.8,198.3,231.4,242.6
R&D Expenses,312.4,355.2,404.5,424.1,464.1,478.0
Total Operating Expenses,541.7,588.7,630.6,645.0,707.3,732.1
Operating Income,1123.5,1253.1,1320.1,1024.9,929.0,1221.6
Other Non Operating Income (Expenses),(6.6),3.2,12.8,9.0,(0.1),(1.3)
"EBT, Excl. Unusual Items",1116.9,1256.3,1332.9,1033.9,928.9,1220.3
"EBT, Incl. Unusual Items",1200.6,1257.0,1332.1,961.0,891.7,1183.9
Income Tax Expense,205.4,246.8,413.7,107.4,76.9,116.9
Earnings From Continuing Operations,995.2,1010.2,918.4,853.6,814.8,1067.0
Net Income to Company,995.2,1010.2,918.4,853.6,814.8,1067.0
Net Income,995.2,1010.2,918.4,853.6,814.8,1067.0
NI to Common Incl Extra Items,995.2,1010.2,918.4,853.6,814.8,1067.0
NI to Common Excl. Extra Items,995.2,1010.2,918.4,853.6,814.8,1067.0
Revenue Per Share,$17.43,$19.81,$21.33,$19.46,$19.92,$23.73
Basic EPS,$5.27,$5.48,$5.07,$4.92,$4.84,$6.38
Basic EPS - Continuing Ops,$5.27,$5.48,$5.07,$4.92,$4.84,$6.38
Basic Weighted Average Shares Outst.,188.7,184.3,181.3,173.5,168.5,167.3
Diluted EPS,$5.18,$5.41,$5.01,$4.89,$4.80,$6.33
Diluted EPS - Continuing Ops,$5.18,$5.41,$5.01,$4.89,$4.80,$6.33
Diluted Weighted Average Shares Outst.,192.1,186.7,183.2,174.5,169.9,168.8
Normalized Basic EPS,$3.70,$4.26,$4.59,$3.72,$3.45,$4.56
Normalized Diluted EPS,$3.63,$4.21,$4.55,$3.70,$3.42,$4.52
Dividend Per Share,$1.06,$1.16,$1.34,$1.58,$1.82,$1.88
Payout Ratio,20.20%,21.24%,26.48%,32.09%,37.68%,29.51%
EBITDA,1371.3,1507.9,1610.9,1362.4,1259.1,1546.9
EBITA,1156.9,1280.7,1338.4,1047.5,940.8,1230.0
EBIT,1123.5,1253.1,1320.1,1024.9,929.0,1221.6
EBITDAR,1390.8,1528.5,1631.4,1381.1,1294.8,
Effective Tax Rate,17.1%,19.6%,31.1%,11.2%,8.6%,9.9%
Normalized Net Income,698.1,785.2,833.1,646.2,580.6,762.7
R&D Expense From Footnotes,312.4,355.2,404.5,424.1,464.1,478.0
Foreign Sales,1834.0,2036.0,1921.8,1516.4,1342.9,
