Income Statement,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,11.02%,5.93%,(12.70%),(0.62%),20.26%
Total Revenues,11.02%,5.93%,(12.70%),(0.62%),20.26%
Cost Of Revenues,11.44%,5.95%,(10.97%),0.73%,20.58%
Gross Profit,10.61%,5.91%,(14.39%),(2.01%),19.93%
Selling General & Admin Expenses,5.10%,0.92%,(4.57%),16.69%,17.82%
R&D Expenses,13.70%,13.88%,4.85%,9.43%,13.11%
Total Operating Expenses,8.68%,7.12%,2.28%,9.66%,13.19%
Operating Income,11.54%,5.35%,(22.36%),(9.36%),24.36%
Other Non Operating Income (Expenses),,300.00%,(29.69%),,
"EBT, Excl. Unusual Items",12.48%,6.10%,(22.43%),(10.16%),23.29%
"EBT, Incl. Unusual Items",4.70%,5.97%,(27.86%),(7.21%),29.26%
Income Tax Expense,20.16%,67.63%,(74.04%),(28.40%),29.74%
Earnings From Continuing Operations,1.51%,(9.09%),(7.06%),(4.55%),29.21%
Net Income to Company,1.51%,(9.09%),(7.06%),(4.55%),29.21%
Net Income,1.51%,(9.09%),(7.06%),(4.55%),29.21%
NI to Common Incl Extra Items,1.51%,(9.09%),(7.06%),(4.55%),29.21%
NI to Common Excl. Extra Items,1.51%,(9.09%),(7.06%),(4.55%),29.21%
Revenue Per Share,13.67%,7.70%,(8.75%),2.34%,23.56%
Basic EPS,4.01%,(7.56%),(2.96%),(1.72%),32.76%
Basic EPS - Continuing Ops,4.01%,(7.56%),(2.96%),(1.72%),32.76%
Basic Weighted Average Shares Outst.,(2.33%),(1.63%),(4.30%),(2.88%),(2.68%)
Diluted EPS,4.44%,(7.39%),(2.40%),(1.84%),32.41%
Diluted EPS - Continuing Ops,4.44%,(7.39%),(2.40%),(1.84%),32.41%
Diluted Weighted Average Shares Outst.,(2.81%),(1.87%),(4.75%),(2.64%),(2.44%)
Normalized Basic EPS,15.15%,7.86%,(18.86%),(7.38%),26.68%
Normalized Diluted EPS,15.86%,8.01%,(18.61%),(7.65%),26.37%
Dividend Per Share,9.43%,15.52%,17.91%,15.19%,14.63%
Payout Ratio,5.16%,24.67%,21.18%,17.41%,(13.55%)
EBITDA,9.96%,6.83%,(15.43%),(7.58%),17.37%
EBITA,10.70%,4.51%,(21.73%),(10.19%),22.90%
EBIT,11.54%,5.35%,(22.36%),(9.36%),24.36%
EBITDAR,9.90%,6.73%,(15.34%),(6.25%),
Effective Tax Rate,14.75%,58.21%,(64.02%),(22.86%),0.37%
Normalized Net Income,12.48%,6.10%,(22.43%),(10.16%),23.29%
R&D Expense From Footnotes,13.70%,13.88%,4.85%,9.43%,13.11%
Foreign Sales,11.01%,(5.61%),(21.09%),(11.44%),
